,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2019-09-06 00:01:00,0.6823,28.51,1.2329,10790.0,359.75,2234.0,0.75685,59.35,2979.0,1.1041,119.7265625,131.4,65.5,0.009345000000000001,95.2,393.25,97.2,1877.1,1005.4,21220.0,21080.0,7872.0,445.3,1512.8,864.0,11.0,1.0137,291.4,143.546875,107.9765625,131.203125,194.1875,163.6875,17.3,464.5,26777.0,174.42,136.17,214.52,56.44,61.13,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.47,1522.6,2.6275,1.8924,2.419,946.5,1.5513,18.615,301.8
2019-09-06 00:02:00,0.6825,28.51,1.2331,10790.0,359.5,2234.0,0.757,59.35,2979.25,1.1041,119.7265625,131.4,65.5,0.009345000000000001,95.2,393.25,97.2,1877.1,1005.4,21220.0,21080.0,7872.25,445.3,1512.9,864.0,11.0,1.0137,291.4,143.546875,107.9765625,131.203125,194.1875,163.6875,17.3,464.5,26778.0,174.42,136.17,214.52,56.44,61.13,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.47,1522.8,2.6285,1.8924,2.42,946.1,1.5513,18.62,301.8
2019-09-06 00:03:00,0.6824,28.51,1.2331,10790.0,359.5,2234.0,0.757,59.35,2979.25,1.1041,119.734375,131.4,65.5,0.0093455,95.2,393.25,97.2,1877.1,1005.4,21220.0,21080.0,7872.25,445.3,1512.7,863.75,11.0,1.0137,291.4,143.546875,107.9765625,131.203125,194.21875,163.6875,17.3,464.5,26779.0,174.42,136.17,214.52,56.44,61.12,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.47,1522.9,2.628,1.8924,2.42,945.8,1.5513,18.62,301.8
2019-09-06 00:04:00,0.6824,28.51,1.2331,10790.0,359.75,2234.0,0.757,59.35,2979.0,1.1042,119.734375,131.4,65.5,0.009346,95.2,393.25,97.2,1877.1,1005.4,21220.0,21080.0,7872.5,445.3,1512.7,863.75,11.0,1.0137,291.4,143.546875,107.9765625,131.203125,194.21875,163.6875,17.3,464.5,26777.0,174.41,136.17,214.52,56.44,61.1,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.45,1523.2,2.6275,1.8924,2.419,945.8,1.5513,18.62,301.8
2019-09-06 00:05:00,0.6824,28.51,1.2331,10795.0,359.75,2234.0,0.75695,59.35,2979.25,1.10425,119.734375,131.4,65.5,0.0093475,95.2,393.25,97.2,1877.1,1005.4,21215.0,21080.0,7872.5,445.3,1512.7,863.75,11.0,1.0139,291.4,143.546875,107.9765625,131.203125,194.25,163.6875,17.3,464.5,26778.0,174.41,136.17,214.52,56.44,61.1,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.45,1523.1,2.6275,1.8924,2.42,946.0,1.5513,18.62,301.8
2019-09-06 00:06:00,0.6824,28.51,1.233,10795.0,359.75,2234.0,0.75695,59.35,2979.0,1.10425,119.7265625,131.4,65.5,0.009346,95.2,393.25,97.2,1877.1,1005.4,21215.0,21080.0,7872.5,445.3,1512.8,863.75,11.0,1.0138,291.4,143.5625,107.9765625,131.21875,194.25,163.71875,17.3,464.5,26776.0,174.43,136.17,214.52,56.44,61.1,3484.0,112.53,16.0,580.5,1.8876,1.5454,170.51,61.09,1661.0,56.45,1523.0,2.628,1.8924,2.42,946.0,1.5513,18.62,301.8
2019-09-06 00:07:00,0.6824,28.51,1.233,10795.0,359.75,2234.0,0.7569,59.35,2979.0,1.10425,119.7265625,131.4,65.5,0.009346,95.2,393.25,97.2,1877.1,1005.4,21220.0,21080.0,7872.5,445.3,1512.8,863.75,11.0,1.0137,291.4,143.5625,107.9765625,131.203125,194.25,163.71875,17.3,464.5,26775.0,174.43,136.17,214.52,56.44,61.1,3484.0,112.53,16.0,580.5,1.8876,1.5454,170.51,61.09,1661.0,56.45,1523.0,2.628,1.8924,2.42,946.8,1.5513,18.605,301.8
2019-09-06 00:08:00,0.6825,28.51,1.2331,10795.0,359.75,2234.0,0.7569,59.35,2979.5,1.10425,119.7265625,131.4,65.5,0.009346,95.2,393.25,97.2,1877.1,1005.6,21215.0,21080.0,7873.0,445.3,1512.8,864.0,11.0,1.0137,291.4,143.546875,107.9765625,131.203125,194.25,163.71875,17.3,464.75,26777.0,174.43,136.17,214.52,56.44,61.12,3484.0,112.53,16.0,580.5,1.8876,1.5454,170.51,61.09,1661.0,56.45,1523.1,2.6275,1.8924,2.42,947.4,1.5513,18.6,301.8
2019-09-06 00:09:00,0.6824,28.51,1.2331,10795.0,359.75,2234.0,0.7569,59.35,2980.0,1.10425,119.7265625,131.4,65.5,0.009346,95.2,393.25,97.2,1877.1,1005.6,21215.0,21080.0,7874.75,445.3,1513.1,864.25,11.0,1.0137,291.4,143.546875,107.9765625,131.203125,194.25,163.71875,17.25,464.75,26781.0,174.43,136.17,214.52,56.44,61.11,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.45,1523.3,2.6275,1.8924,2.42,947.4,1.5513,18.6,301.8
2019-09-06 00:10:00,0.6824,28.51,1.2331,10800.0,359.75,2234.0,0.75685,59.35,2979.75,1.1042,119.734375,131.4,65.5,0.009347,95.2,393.25,97.2,1877.1,1005.6,21220.0,21080.0,7874.5,445.3,1513.1,864.25,11.0,1.0137,291.4,143.5625,107.9765625,131.21875,194.28125,163.71875,17.25,464.75,26780.0,174.43,136.17,214.52,56.44,61.09,3484.0,112.53,16.0,580.75,1.8876,1.5454,170.51,61.09,1661.0,56.44,1523.5,2.628,1.8924,2.419,947.4,1.5513,18.605,301.8
