,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2017-11-03 00:01:00,0.7683,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.75,1.1684,117.2265625,160.25,66.1,0.008786,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.1875,166.375,153.59375,11.2,427.5,23467.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.79,1277.4,3.1485,1.8591,2.9339999999999997,928.0,1.7878,17.14,375.4
2017-11-03 00:02:00,0.7682,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.75,1.1684,117.234375,160.25,66.1,0.008786,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.34375,107.65625,125.1875,166.375,153.59375,11.2,427.5,23468.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.79,1277.6,3.1485,1.8591,2.9339999999999997,928.0,1.7878,17.14,375.4
2017-11-03 00:03:00,0.7682,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.75,1.1684,117.234375,160.25,66.1,0.008786,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.34375,107.65625,125.1875,166.375,153.625,11.2,427.5,23467.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.5,3.149,1.8591,2.9330000000000003,928.0,1.7878,17.14,375.4
2017-11-03 00:04:00,0.7683,34.8,1.3085,350.75,2059.0,0.78075,68.94,2577.75,1.1685,117.2265625,160.25,66.1,0.0087875,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.34375,107.65625,125.1875,166.375,153.59375,11.2,427.5,23467.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.6,3.149,1.8591,2.9339999999999997,928.2,1.7878,17.14,375.4
2017-11-03 00:05:00,0.7683,34.8,1.3085,350.75,2059.0,0.78075,68.94,2578.0,1.1685,117.234375,160.25,66.1,0.008787,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.34375,107.65625,125.171875,166.375,153.59375,11.2,427.5,23466.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.5,3.149,1.8591,2.9330000000000003,928.2,1.7878,17.14,375.4
2017-11-03 00:06:00,0.7682,34.8,1.3084,350.75,2059.0,0.78075,68.94,2578.0,1.16845,117.2265625,160.25,66.1,0.008786,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.171875,166.34375,153.59375,11.2,427.5,23466.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.79,1277.4,3.149,1.8591,2.935,928.2,1.7878,17.14,375.4
2017-11-03 00:07:00,0.7682,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.75,1.1684,117.2265625,160.25,66.1,0.008787,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.5,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.171875,166.34375,153.59375,11.2,427.5,23466.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.79,1277.5,3.149,1.8591,2.932,928.2,1.7878,17.14,375.4
2017-11-03 00:08:00,0.7682,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.5,1.16845,117.2265625,160.25,66.1,0.0087865,127.2,428.25,127.1,2013.8,1129.8,22525.0,22550.0,6253.5,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.171875,166.34375,153.625,11.2,427.5,23465.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.5,3.149,1.8591,2.932,928.2,1.7878,17.14,375.4
2017-11-03 00:09:00,0.7683,34.8,1.3084,350.75,2059.0,0.7807,68.94,2577.75,1.1684,117.2265625,160.25,66.1,0.0087865,127.2,428.25,127.1,2013.8,1129.8,22525.0,22545.0,6253.75,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.171875,166.34375,153.625,11.2,427.5,23466.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.5,3.149,1.8591,2.932,928.2,1.7878,17.14,375.4
2017-11-03 00:10:00,0.7683,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.75,1.1684,117.2265625,160.25,66.1,0.0087865,127.2,428.25,127.1,2013.8,1129.8,22520.0,22545.0,6252.5,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.171875,166.34375,153.59375,11.2,427.75,23464.0,162.66,131.79,165.62,54.82,60.83,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.5,3.1495,1.8591,2.932,928.2,1.7878,17.14,375.4
2017-11-03 00:11:00,0.7683,34.8,1.3083,350.75,2059.0,0.78075,68.94,2577.75,1.1684,117.2265625,160.25,66.1,0.0087865,127.2,428.25,127.1,2013.8,1129.8,22520.0,22540.0,6252.5,512.7,1494.8,997.5,14.22,1.0038,316.4,134.328125,107.65625,125.171875,166.34375,153.59375,11.2,427.5,23464.0,162.66,131.79,165.62,54.82,60.84,3693.0,112.275,13.05,543.75,1.8564,1.7909,1923.0,157.47,60.85,1550.0,54.8,1277.5,3.1495,1.8591,2.932,928.2,1.788,17.14,375.4
