,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-06-05 00:01:00,112.046875,0.8034,40.09,1.6126,447.0,2720.0,0.9106,56.6,941.5,1.4201,114.28906200000002,97.425,61.25,0.010338,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.40625,30.1,625.0,8734.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.27,979.5,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.855,444.4
2009-06-05 00:02:00,112.046875,0.8033,40.09,1.6125,447.0,2720.0,0.9106,56.6,941.25,1.4201,114.28906200000002,97.425,61.25,0.010337,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.84375,114.390625,30.1,625.0,8732.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.29,979.6,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.855,444.4
2009-06-05 00:03:00,112.046875,0.8036,40.09,1.6125,447.0,2720.0,0.9107,56.6,941.5,1.4202,114.28906200000002,97.425,61.25,0.010338,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.84375,114.390625,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.29,979.6,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.855,444.4
2009-06-05 00:04:00,112.046875,0.8036,40.09,1.6125,447.0,2720.0,0.9107,56.6,941.5,1.4202,114.28906200000002,97.425,61.25,0.010338,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.875,114.390625,30.1,625.0,8735.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.28,979.9,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.855,444.4
2009-06-05 00:05:00,112.046875,0.8035,40.09,1.6125,447.0,2720.0,0.9107,56.6,941.5,1.4199,114.28906200000002,97.425,61.25,0.010339,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.875,114.390625,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.28,980.0,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.875,444.4
2009-06-05 00:06:00,112.046875,0.8035,40.09,1.6122,447.0,2720.0,0.9107,56.6,941.5,1.4199,114.28906200000002,97.425,61.25,0.010339,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.875,114.390625,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.28,979.8,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.875,444.4
2009-06-05 00:07:00,112.046875,0.8035,40.09,1.6123,447.0,2720.0,0.9107,56.6,941.75,1.4199,114.28906200000002,97.425,61.25,0.01034,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.390625,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.27,979.8,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.875,444.4
2009-06-05 00:08:00,112.046875,0.8036,40.09,1.6124,447.0,2720.0,0.9108,56.6,941.75,1.4202,114.28906200000002,97.425,61.25,0.010337,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.390625,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.27,979.8,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.875,444.4
2009-06-05 00:09:00,112.046875,0.8036,40.09,1.6122,447.0,2720.0,0.9108,56.6,941.75,1.4202,114.296875,97.425,61.25,0.010339,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.390625,30.1,625.0,8735.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.27,980.8,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.88,444.4
2009-06-05 00:10:00,112.046875,0.8036,40.09,1.6125,446.75,2720.0,0.9108,56.6,941.5,1.4202,114.28906200000002,97.425,61.25,0.010338,139.2,690.0,81.4,9820.0,9900.0,1493.75,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.390625,30.1,625.0,8735.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.28,980.8,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.885,444.4
2009-06-05 00:11:00,112.046875,0.8036,40.09,1.6123,446.75,2720.0,0.9108,56.6,941.5,1.4202,114.28906200000002,97.425,61.25,0.010339,139.2,690.0,81.4,9820.0,9900.0,1494.0,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.40625,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.29,980.7,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.885,444.4
2009-06-05 00:12:00,112.046875,0.8036,40.09,1.6126,446.75,2720.0,0.9108,56.6,941.5,1.4203,114.28906200000002,97.425,61.25,0.010339,139.2,690.0,81.4,9820.0,9900.0,1494.0,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.375,30.1,625.0,8733.0,118.41,114.175,92.32,69.28,69.16,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.29,980.8,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.885,444.4
2009-06-05 00:13:00,112.046875,0.8035,40.09,1.6122,446.75,2720.0,0.9108,56.6,941.5,1.4202,114.28906200000002,97.425,61.25,0.010337,139.2,690.0,81.4,9820.0,9900.0,1494.0,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.859375,114.375,30.1,625.0,8733.0,118.41,114.175,92.32,69.3,69.14,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.31,980.7,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.885,444.4
2009-06-05 00:14:00,112.046875,0.8035,40.09,1.6124,447.0,2720.0,0.9108,56.6,941.75,1.4201,114.28906200000002,97.425,61.25,0.010337,139.2,690.0,81.4,9820.0,9900.0,1494.0,476.0,531.6,1218.5,15.13,0.9366,396.5,108.328125,114.84375,114.375,30.1,625.0,8734.0,118.41,114.175,92.32,69.31,69.14,2504.0,107.615,1.808,1.9517,1545.0,68.88,1760.0,69.32,981.0,2.3185,1.8016,3.8160000000000003,1286.0,1.9827,15.885,444.4
