,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2020-12-04 00:01:00,116.38671880000001,0.74285,37.75,1.3446,19485.0,425.25,2650.0,0.7776,71.3,3672.0,1.2144,125.8359375,139.6,66.075,0.0096235,119.95,549.0,112.05,2092.3,1253.7,26740.0,26730.0,12493.25,590.9,1850.5,1166.25,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29989.0,175.13,135.42,225.3,46.4,49.64,3505.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.39,1843.8,3.5115,1.4114,2.511,1049.6,1.2824,24.19,404.3
2020-12-04 00:02:00,116.38671880000001,0.74295,37.75,1.3445,19495.0,425.5,2650.0,0.7776,71.3,3672.0,1.21445,125.8359375,139.6,66.075,0.0096235,119.95,549.0,112.05,2092.3,1253.7,26740.0,26730.0,12493.75,590.9,1850.5,1166.5,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29989.0,175.13,135.42,225.3,46.4,49.64,3505.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.38,1843.9,3.5115,1.4114,2.511,1049.0,1.2823,24.195,404.3
2020-12-04 00:03:00,116.38671880000001,0.74285,37.75,1.3446,19495.0,425.5,2650.0,0.77755,71.3,3672.0,1.21445,125.8359375,139.6,66.075,0.009623,119.95,549.0,112.05,2092.3,1253.7,26745.0,26730.0,12493.75,590.9,1850.5,1166.5,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29989.0,175.13,135.42,225.3,46.4,49.62,3505.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.37,1844.1,3.512,1.4114,2.512,1049.7,1.2823,24.205,404.3
2020-12-04 00:04:00,116.38671880000001,0.7428,37.75,1.3446,19510.0,425.5,2650.0,0.77755,71.3,3671.75,1.2144,125.8359375,139.6,66.075,0.009623,119.95,549.0,112.05,2092.3,1253.7,26740.0,26730.0,12493.5,590.9,1850.3,1166.25,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29985.0,175.13,135.42,225.3,46.4,49.62,3505.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.37,1844.1,3.512,1.4114,2.513,1049.7,1.2823,24.205,404.3
2020-12-04 00:05:00,116.38671880000001,0.7428,37.74,1.3446,19525.0,425.5,2650.0,0.77755,71.3,3672.0,1.21445,125.8359375,139.6,66.075,0.009623,119.95,549.0,112.05,2092.3,1253.7,26740.0,26730.0,12494.25,590.9,1850.3,1166.25,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29986.0,175.13,135.42,225.3,46.4,49.63,3504.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.36,1844.3,3.5125,1.411,2.511,1049.8,1.2819,24.205,404.3
2020-12-04 00:06:00,116.38671880000001,0.7427,37.73,1.3445,19520.0,425.5,2650.0,0.77755,71.3,3671.75,1.2143,125.8359375,139.6,66.075,0.0096235,119.95,549.0,112.05,2092.3,1253.7,26740.0,26730.0,12494.5,590.9,1850.2,1166.25,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29985.0,175.13,135.42,225.3,46.4,49.63,3504.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.37,1844.3,3.5125,1.411,2.512,1049.4,1.2819,24.205,404.3
2020-12-04 00:07:00,116.38671880000001,0.7427,37.73,1.3445,19515.0,425.5,2650.0,0.77755,71.3,3672.0,1.21435,125.8359375,139.6,66.075,0.0096235,119.95,549.0,112.05,2092.3,1253.7,26740.0,26730.0,12493.75,590.9,1850.2,1166.5,14.75,1.1226,388.7,156.09375,110.3984375,137.703125,212.4375,173.03125,23.0,583.0,29985.0,175.13,135.42,225.3,46.4,49.64,3503.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.38,1844.4,3.512,1.411,2.513,1049.4,1.2819,24.205,404.3
2020-12-04 00:08:00,116.38671880000001,0.7428,37.73,1.3446,19515.0,425.5,2650.0,0.77765,71.3,3671.5,1.21435,125.8359375,139.6,66.075,0.0096235,119.95,549.0,112.05,2092.3,1253.2,26740.0,26730.0,12493.0,590.9,1850.1,1166.5,14.75,1.1227,388.7,156.09375,110.39453125,137.703125,212.4375,173.03125,23.0,583.0,29983.0,175.13,135.42,225.3,46.4,49.65,3504.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.38,1844.3,3.5125,1.411,2.513,1049.4,1.2819,24.205,404.3
2020-12-04 00:09:00,116.38671880000001,0.74295,37.72,1.3446,19515.0,425.5,2650.0,0.77765,71.3,3671.75,1.2144,125.8359375,139.6,66.075,0.009622499999999999,119.95,549.0,112.05,2092.3,1252.7,26730.0,26730.0,12494.5,590.9,1850.1,1166.5,14.75,1.1226,388.7,156.09375,110.39453125,137.71875,212.4375,173.03125,23.0,583.0,29987.0,175.13,135.42,225.3,46.4,49.65,3504.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.61,1727.0,46.4,1844.1,3.513,1.411,2.512,1049.4,1.2819,24.205,404.3
2020-12-04 00:10:00,116.38671880000001,0.74295,37.73,1.3447,19515.0,425.5,2650.0,0.77765,71.3,3672.25,1.2145,125.8359375,139.6,66.075,0.009623,119.95,549.0,112.05,2092.3,1252.7,26740.0,26730.0,12497.5,590.9,1850.1,1166.5,14.75,1.1227,388.7,156.09375,110.39453125,137.71875,212.4375,173.03125,23.0,583.0,29989.0,175.13,135.42,225.3,46.42,49.67,3505.0,112.315,20.85,405.75,1.409,1.2814,1349.0,169.74,49.64,1727.0,46.4,1844.2,3.5135,1.4119,2.512,1049.4,1.2826,24.205,404.3
