,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2015-07-02 00:01:00,0.7626,33.09,1.5605,424.5,3282.0,0.794,67.33,2069.25,1.1082,118.8515625,218.85,75.375,0.0081155,127.65,595.5,151.3,1852.0,960.1,20535.0,20580.0,4418.5,540.0,1251.0,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.75,17661.0,151.15,129.58,145.86,56.96,62.17,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.97,1167.2,2.634,1.8477,2.81,1082.0,2.0158,15.53,372.2
2015-07-02 00:02:00,0.7624,33.09,1.5605,424.75,3282.0,0.794,67.33,2069.25,1.1082,118.8515625,218.85,75.375,0.0081155,127.65,595.5,151.3,1852.0,960.1,20535.0,20580.0,4418.5,540.0,1251.0,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.75,17661.0,151.15,129.58,145.86,56.96,62.17,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.96,1167.0,2.634,1.8477,2.8110000000000004,1082.0,2.0158,15.53,372.2
2015-07-02 00:03:00,0.7624,33.09,1.5604,424.75,3282.0,0.7939,67.33,2069.5,1.1081,118.8515625,218.85,75.375,0.0081155,127.65,595.5,151.3,1852.0,960.1,20540.0,20585.0,4418.5,540.0,1251.0,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.75,17663.0,151.15,129.58,145.86,56.96,62.16,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.96,1167.1,2.634,1.8476,2.81,1082.0,2.0158,15.535,372.2
2015-07-02 00:04:00,0.7624,33.09,1.5604,424.75,3282.0,0.7938,67.33,2069.5,1.1081,118.859375,218.85,75.375,0.008116,127.65,595.5,151.3,1852.0,960.1,20535.0,20580.0,4418.75,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.75,17663.0,151.15,129.58,145.86,56.96,62.15,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.94,1167.1,2.634,1.8475,2.81,1082.0,2.0158,15.535,372.2
2015-07-02 00:05:00,0.7625,33.09,1.5604,424.5,3282.0,0.7939,67.33,2069.25,1.1081,118.859375,218.85,75.375,0.0081165,127.65,595.5,151.3,1852.0,960.1,20540.0,20580.0,4418.75,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.75,17663.0,151.15,129.58,145.86,56.96,62.16,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.95,1167.1,2.634,1.8475,2.81,1082.0,2.0158,15.535,372.2
2015-07-02 00:06:00,0.7623,33.08,1.5604,424.75,3282.0,0.7939,67.33,2069.5,1.108,118.859375,218.85,75.375,0.0081165,127.65,595.5,151.3,1852.0,960.1,20540.0,20580.0,4418.5,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.5,17662.0,151.15,129.58,145.86,56.96,62.16,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.96,1167.1,2.6335,1.8478,2.81,1082.0,2.0158,15.535,372.2
2015-07-02 00:07:00,0.7623,33.08,1.5604,424.5,3282.0,0.7939,67.33,2069.25,1.108,118.859375,218.85,75.375,0.0081165,127.65,595.5,151.3,1852.0,960.1,20535.0,20580.0,4418.5,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.78125,16.0,591.5,17662.0,151.15,129.58,145.86,56.96,62.18,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.96,1167.0,2.6335,1.8484,2.81,1082.0,2.016,15.53,372.2
2015-07-02 00:08:00,0.7624,33.08,1.5604,424.5,3282.0,0.7939,67.33,2069.25,1.1081,118.859375,218.85,75.375,0.0081165,127.65,595.5,151.3,1852.0,960.1,20535.0,20580.0,4418.25,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.75,16.0,591.5,17658.0,151.15,129.58,145.86,56.96,62.17,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.97,1167.1,2.6335,1.8484,2.81,1082.0,2.016,15.53,372.2
2015-07-02 00:09:00,0.7625,33.08,1.5604,424.5,3282.0,0.7939,67.33,2069.0,1.1081,118.859375,218.85,75.375,0.0081165,127.65,595.5,151.3,1852.0,960.1,20530.0,20575.0,4418.25,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.75,16.0,591.0,17658.0,151.15,129.58,145.86,56.96,62.18,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.97,1167.1,2.634,1.848,2.8110000000000004,1082.0,2.016,15.53,372.2
2015-07-02 00:10:00,0.7624,33.08,1.5604,424.75,3282.0,0.7939,67.33,2069.25,1.1081,118.859375,218.85,75.375,0.0081165,127.65,595.25,151.3,1852.0,960.1,20530.0,20575.0,4418.25,540.0,1251.1,1035.0,12.43,1.0591,351.4,109.34375,125.46875,151.5625,148.75,16.0,590.5,17658.0,151.15,129.58,145.86,56.96,62.18,3492.0,111.31,24.0,569.75,1.8642,2.0337,1813.0,145.35,62.22,2154.0,56.97,1167.1,2.634,1.848,2.812,1082.0,2.016,15.53,372.2
