,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2014-07-03 00:01:00,0.9328,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.75,1.3652,119.05468700000002,217.5,130.975,0.009821,173.75,681.5,154.725,1986.1,1055.7,15345.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.1249,427.5,109.72656200000002,124.46875,147.15625,135.4375,11.95,575.75,16890.0,146.57,128.03,133.62,104.05,110.98,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.06,1323.5,3.2575,2.937,4.357,1496.5,3.0182,21.105,467.1
2014-07-03 00:02:00,0.9328,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.75,1.3652,119.05468700000002,217.5,130.975,0.009822,173.75,681.5,154.725,1986.1,1055.7,15345.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.1249,427.5,109.72656200000002,124.46875,147.15625,135.4375,11.95,575.75,16890.0,146.57,128.03,133.62,104.05,110.98,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.03,1323.7,3.2575,2.937,4.355,1497.0,3.0182,21.11,467.1
2014-07-03 00:03:00,0.9328,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.75,1.3652,119.05468700000002,217.5,130.975,0.009822,173.75,681.5,154.725,1986.1,1055.7,15345.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.1249,427.5,109.72656200000002,124.46875,147.15625,135.4375,11.95,575.75,16890.0,146.57,128.03,133.62,104.05,110.98,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.04,1323.3,3.258,2.937,4.357,1496.0,3.0182,21.1,467.1
2014-07-03 00:04:00,0.9328,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.75,1.3652,119.05468700000002,217.5,130.975,0.009822,173.75,681.5,154.725,1986.1,1055.7,15345.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.1249,427.5,109.72656200000002,124.46875,147.15625,135.46875,11.95,575.75,16890.0,146.57,128.03,133.62,104.05,110.98,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.02,1323.4,3.258,2.937,4.357,1496.0,3.0182,21.105,467.1
2014-07-03 00:05:00,0.9329,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.5,1.3654,119.05468700000002,217.5,130.975,0.009822,173.75,681.5,154.725,1986.1,1055.7,15345.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.1249,427.5,109.72656200000002,124.46875,147.15625,135.4375,11.95,575.75,16891.0,146.57,128.03,133.62,104.05,110.97,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.02,1323.0,3.258,2.937,4.357,1495.4,3.0182,21.1,467.1
2014-07-03 00:06:00,0.9329,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.5,1.3654,119.05468700000002,217.5,130.975,0.009822,173.75,681.5,154.725,1986.1,1055.7,15345.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.125,427.5,109.72656200000002,124.46875,147.15625,135.4375,11.95,575.75,16891.0,146.57,128.03,133.62,104.05,110.96,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.02,1322.9,3.258,2.937,4.357,1496.1,3.0182,21.1,467.1
2014-07-03 00:07:00,0.9329,38.75,1.7148,412.5,3138.0,0.9354,72.36,1966.5,1.3654,119.05468700000002,217.5,130.975,0.009823,173.75,681.5,154.725,1986.1,1055.7,15350.0,15375.0,3889.5,468.0,1196.0,1318.25,17.89,1.125,427.5,109.72656200000002,124.46875,147.15625,135.4375,11.95,575.75,16891.0,146.57,128.03,133.62,104.05,110.99,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.03,1322.8,3.258,2.9373,4.357,1494.9,3.0182,21.095,467.1
2014-07-03 00:08:00,0.933,38.75,1.7149,412.5,3138.0,0.9354,72.36,1966.5,1.3653,119.05468700000002,217.5,130.975,0.009824,173.75,681.5,154.725,1986.1,1055.7,15335.0,15360.0,3889.0,468.0,1196.0,1318.25,17.89,1.125,427.5,109.72656200000002,124.46875,147.15625,135.46875,11.95,575.75,16888.0,146.57,128.03,133.62,104.05,110.99,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.03,1322.7,3.258,2.9372,4.357,1495.6,3.0182,21.095,467.1
2014-07-03 00:09:00,0.9332,38.75,1.7149,412.5,3138.0,0.9354,72.36,1966.25,1.3654,119.05468700000002,217.5,130.975,0.009826,173.75,681.5,154.725,1986.1,1055.7,15325.0,15355.0,3888.5,468.0,1196.0,1318.25,17.89,1.125,427.5,109.72656200000002,124.46875,147.1875,135.5,11.95,575.75,16887.0,146.57,128.03,133.62,104.09,111.02,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.08,1323.0,3.2575,2.9379,4.357,1495.3,3.0182,21.105,467.1
2014-07-03 00:10:00,0.9334,38.75,1.7149,412.5,3138.0,0.9354,72.36,1966.25,1.3654,119.05468700000002,217.5,130.975,0.009825,173.75,681.5,154.725,1986.1,1055.7,15325.0,15355.0,3888.5,468.0,1196.0,1318.25,17.89,1.125,427.5,109.72656200000002,124.46875,147.1875,135.5,11.95,575.75,16887.0,146.57,128.03,133.62,104.1,111.01,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.09,1322.7,3.2575,2.9379,4.357,1495.7,3.0182,21.095,467.1
2014-07-03 00:11:00,0.9333,38.75,1.7149,412.5,3138.0,0.9354,72.35,1966.25,1.3654,119.05468700000002,217.5,130.975,0.009824,173.75,681.5,154.725,1986.1,1055.7,15330.0,15360.0,3888.5,468.0,1196.0,1318.25,17.89,1.125,427.5,109.72656200000002,124.46875,147.1875,135.5,11.95,575.75,16887.0,146.57,128.03,133.62,104.1,111.05,3251.0,110.67,14.55,921.75,2.93,3.0143,2055.0,140.01,110.99,1966.0,104.1,1322.8,3.2575,2.9379,4.357,1496.4,3.0182,21.1,467.1
