time,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AFL,AIG,AMAT,AMGN,AMT,AMZN,ANTM,ATVI,AVGO,AXP,BA,BAC,BDX,BIIB,BK,BKNG,BLK,BMY,BRK-B,BSX,C,CAT,CB,CCI,CHTR,CI,CL,CMCSA,CME,COF,COP,COST,CRM,CSCO,CSX,CTSH,CVS,CVX,D,DAL,DE,DHR,DIS,DUK,EA,ECL,EEM,EFA,EMR,EOG,EWZ,EXC,F,FB,FDX,FOXA,FXI,GD,GDX,GE,GILD,GM,GOOG,GOOGL,GOVT,GS,HAL,HD,HON,HPQ,HUM,IBM,ICE,ILMN,INTC,INTU,ISRG,ITW,JNJ,JPM,KHC,KMB,KO,KR,LLY,LMT,LOW,LULU,LYB,MA,MAR,MCD,MDLZ,MDT,MET,MMC,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOC,NSC,NVDA,ORCL,OXY,PEP,PFE,PG,PGR,PM,PNC,PRU,PSX,PX,PYPL,QCOM,QQQ,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SPY,STZ,SYK,T,TGT,TJX,TLT,TMO,TSLA,TWTR,TXN,UNH,UNP,UPS,USB,V,VLO,VRTX,VXX,VZ,WBA,WFC,WM,WMT,X,XLE,XLF,XLI,XLK,XLP,XOM,ZTS
2021-11-05 04:11:00+00:00,150.82,,,,,,,,61.41,,,,,,68.26,,,212.83,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.6858,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.3,72.24,83.0,665.75,175.92,,,303.01,,,,43.85,,,,,,,,,155.47,398.15,,,,,,,,466.87,,,24.87,,,,,1225.0,,,,,,,,,,,,,50.7,,,26.01,,,,,,63.7066,
2021-11-05 04:12:00+00:00,150.82,,,,,,,,61.41,,,,,,68.26,,,212.83,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.6858,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.6,72.25,83.0,665.75,175.92,,,302.5,,,,43.71,,,,,,,,,155.47,398.26,,,,,,,,466.87,,,24.87,,,,,1226.6,,,,,,,,,,,,,50.7,,,26.01,,,,,,63.7066,
2021-11-05 04:13:00+00:00,150.82,,,,,,,,61.41,,,,,,68.26,,,212.83,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.63,,,,,,,,,,119.6858,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,91.75,100.5,337.6,72.31,83.0,665.75,175.92,,,302.5,,,,43.71,,,,,,,,,155.47,398.22,,,,,,,,466.89,,,24.87,,,,,1226.6,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.7066,
2021-11-05 04:14:00+00:00,150.74,,,,,,,,61.41,,,,3463.46,,68.26,,,212.83,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.67,,,,,,,,,,119.6858,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.4,100.5,337.2,72.25,83.0,665.75,175.92,,,302.61,,,,43.71,,,,,,,,,155.47,398.32,,,,,,,,466.93,,,24.87,,,,,1226.6,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.7066,
2021-11-05 04:15:00+00:00,150.74,,,,,,,,61.41,,,,3463.46,,68.26,,,213.0,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.75,,,39.76,,,,,58.67,,,,,,,,,,119.6858,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.4,100.5,337.15,72.27,83.0,665.75,175.92,,,303.0,,,,43.71,,,,,,,,,155.47,398.32,,,,,,,,467.0,,,24.87,,,,,1226.6,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.7066,
2021-11-05 04:16:00+00:00,150.74,,,,,,,,61.41,,,,3463.46,,68.24,,,213.0,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.7,,,39.81,,,,,58.67,,,,,,,,,,119.6858,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.49,100.5,337.15,72.27,83.0,665.75,175.92,,,302.81,,,,43.71,,,,,,,,,155.94,398.32,,,,,,,,467.0,,,24.87,,,147.36,,1226.6,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.7757,
2021-11-05 04:17:00+00:00,150.87,,,,,,,,61.41,,,,3463.46,,68.24,,,213.0,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,112.8,,41.17,,,170.1,,,,,,,,,,19.69,337.63,,,39.81,,,,,58.67,,,,,,,,,,119.6858,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,302.0,,,,43.71,,,,,,,,,155.67,398.32,,,,,,,,467.0,,,24.87,,,147.36,,1226.6,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.7757,
2021-11-05 04:18:00+00:00,150.8,,,,,,,,61.41,,,,3463.46,,68.24,,,213.0,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.69,337.63,,,39.78,,,,,58.67,,,,,,,,,,119.6858,,,50.27,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,301.82,,,,43.71,,,,,,,,,155.67,398.32,,,,,,,,467.02,,,24.86,,,147.36,,1226.69,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.8842,
2021-11-05 04:19:00+00:00,150.8,,,,,,,,61.41,,,,3463.46,,68.21,,,213.0,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.69,337.63,,,39.81,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,302.42,,,,43.71,,,,,,,,,155.67,398.32,,,,,,,,467.1,,,24.85,,,147.36,,1228.0,,,,,,,,,,,,,50.7,,,26.01,,40.02,,,,63.8842,
2021-11-05 04:20:00+00:00,150.85,,,,,,,,61.41,,,,3463.46,,68.21,,,213.0,47.34,,,59.1,,,,,,,,,,,,,,,,,,,,,,,113.86,,41.17,,,170.1,,,,,,,,,,19.69,337.63,,,39.81,,,,,58.67,,,,,,,,,,119.6858,,,50.28,,,,,,,,,,,,,,,,,,,,,,,,,91.5,100.5,337.15,72.27,83.0,665.75,175.92,,,302.53,,,,43.71,,,,,,,,,155.67,398.32,,,,33.35,,,,467.09,,,24.85,,,147.36,,1230.09,,,,,,,,,,,,,50.7,,,26.01,,40.04,,,,63.8842,
