,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-12-03 00:01:00,0.9749,52.89,1.5593,561.75,2901.0,0.9964,128.95,1220.5,1.3201,118.88281200000002,118.675,76.0,0.011951999999999999,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.4,1283.0,28.4,1.006,347.8,109.49218700000002,122.5625,128.9375,124.875,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.73,1390.8,3.97,2.4439,4.3260000000000005,1712.0,2.3455,28.76,729.8
2010-12-03 00:02:00,0.9749,52.89,1.5593,561.75,2901.0,0.9964,128.95,1220.25,1.3201,118.88281200000002,118.675,76.0,0.011953,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.4,1283.0,28.4,1.006,347.8,109.49218700000002,122.5625,128.9375,124.875,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.72,1390.9,3.9695,2.4439,4.322,1712.0,2.3455,28.76,729.8
2010-12-03 00:03:00,0.9746,52.89,1.5593,561.75,2901.0,0.9962,128.95,1220.5,1.3203,118.875,118.65,76.0,0.011951999999999999,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.25,549.0,750.4,1283.0,28.4,1.006,347.8,109.49218700000002,122.5625,128.9375,124.875,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.71,1390.6,3.9695,2.4439,4.322,1712.0,2.3455,28.755,729.8
2010-12-03 00:04:00,0.9746,52.89,1.5593,561.75,2901.0,0.9962,129.0,1220.5,1.3202,118.875,118.65,76.0,0.011951,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.4,1283.0,28.4,1.006,347.8,109.49218700000002,122.5625,128.9375,124.875,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.71,1390.7,3.9695,2.4439,4.322,1712.0,2.3455,28.76,729.8
2010-12-03 00:05:00,0.9748,52.89,1.5595,561.75,2901.0,0.9962,128.93,1220.25,1.3203,118.875,118.65,76.0,0.011951,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.4,1283.0,28.4,1.006,347.8,109.49218700000002,122.5625,128.9375,124.875,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.7,1390.8,3.9695,2.4439,4.322,1712.0,2.3455,28.76,729.8
2010-12-03 00:06:00,0.9747,52.89,1.5595,561.75,2901.0,0.9962,128.93,1220.5,1.3203,118.875,118.65,76.0,0.01195,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.4,1283.5,28.4,1.006,347.8,109.49218700000002,122.5625,128.9375,124.875,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.71,1390.7,3.97,2.4439,4.322,1712.0,2.3455,28.76,729.8
2010-12-03 00:07:00,0.9747,52.89,1.5594,561.5,2901.0,0.9962,129.0,1220.5,1.3202,118.875,118.65,76.0,0.011951999999999999,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.5,1283.5,28.4,1.006,347.9,109.49218700000002,122.546875,128.9375,124.875,20.15,757.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.69,1390.8,3.9695,2.4439,4.322,1712.0,2.3455,28.76,729.8
2010-12-03 00:08:00,0.9747,52.89,1.5594,561.5,2901.0,0.9962,129.0,1220.5,1.3201,118.875,118.65,76.0,0.01195,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.5,1283.75,28.4,1.006,348.1,109.49218700000002,122.546875,128.9375,124.875,20.15,756.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.7,1390.9,3.9695,2.4439,4.328,1712.0,2.3455,28.765,729.8
2010-12-03 00:09:00,0.9747,52.89,1.5594,561.75,2901.0,0.9962,129.0,1220.5,1.3203,118.875,118.65,76.0,0.011951,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.5,1283.75,28.4,1.006,348.1,109.49218700000002,122.546875,128.9375,124.875,20.15,756.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.72,1391.3,3.9705,2.4439,4.328,1712.4,2.3455,28.785,729.8
2010-12-03 00:10:00,0.9747,52.89,1.5594,561.5,2901.0,0.9962,129.0,1220.5,1.3201,118.875,118.65,76.0,0.011951,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.5,549.0,750.5,1283.75,28.4,1.006,348.1,109.49218700000002,122.546875,128.9375,124.875,20.15,756.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.71,1391.1,3.97,2.4439,4.328,1712.6,2.3455,28.77,729.8
2010-12-03 00:11:00,0.9747,52.89,1.5594,561.5,2901.0,0.9962,129.0,1220.5,1.3202,118.875,118.65,76.0,0.011951,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.25,549.0,750.5,1283.75,28.4,1.006,348.1,109.49218700000002,122.53125,128.9375,124.875,20.15,756.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.69,1391.1,3.97,2.4439,4.333,1712.6,2.3455,28.775,729.8
2010-12-03 00:12:00,0.9747,52.89,1.5592,562.0,2901.0,0.9963,129.0,1220.25,1.3203,118.875,118.65,76.0,0.011951,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.25,549.0,750.5,1284.0,28.4,1.0061,348.1,109.49218700000002,122.53125,128.9375,124.875,20.15,756.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.68,1391.4,3.97,2.4439,4.333,1712.6,2.3455,28.775,729.8
2010-12-03 00:13:00,0.9746,52.89,1.5592,562.0,2901.0,0.9963,129.0,1220.5,1.3203,118.86718700000002,118.65,76.0,0.01195,203.3,806.0,106.3,1610.5,1118.0,10180.0,10225.0,2186.25,549.0,750.5,1283.75,28.4,1.0061,348.0,109.49218700000002,122.515625,128.9375,124.84375,20.15,756.0,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.68,1391.4,3.968,2.4439,4.332,1712.6,2.3455,28.77,729.8
2010-12-03 00:14:00,0.9746,52.88,1.5592,562.5,2901.0,0.9962,129.0,1220.5,1.3203,118.85156200000002,118.65,76.0,0.011951999999999999,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.5,1283.75,28.4,1.0061,348.0,109.49218700000002,122.5,128.9375,124.78125,20.15,756.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.68,1391.4,3.9705,2.4439,4.332,1712.6,2.3455,28.765,729.8
2010-12-03 00:15:00,0.9744,52.92,1.5592,562.0,2901.0,0.9959,129.0,1220.5,1.3203,118.83593700000002,118.65,76.0,0.01195,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.5,1284.0,28.4,1.0061,348.0,109.484375,122.46875,128.9375,124.65625,20.15,756.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.68,1391.4,3.97,2.4439,4.332,1712.6,2.3455,28.775,729.8
2010-12-03 00:16:00,0.9746,52.95,1.5592,562.0,2901.0,0.9959,129.0,1220.5,1.3204,118.828125,118.65,76.0,0.011951,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.5,1283.25,28.4,1.0061,347.6,109.484375,122.453125,128.9375,124.65625,20.15,756.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.68,1391.5,3.97,2.4439,4.332,1712.6,2.3455,28.775,729.8
2010-12-03 00:17:00,0.9746,52.95,1.5592,561.75,2901.0,0.9959,129.0,1220.5,1.3203,118.828125,118.65,76.0,0.011951999999999999,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.5,1282.5,28.4,1.0061,347.6,109.484375,122.453125,128.9375,124.65625,20.15,756.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.69,1391.5,3.971,2.4439,4.331,1712.6,2.3455,28.775,729.8
2010-12-03 00:18:00,0.9745,52.95,1.5592,561.5,2901.0,0.9959,129.0,1220.5,1.3203,118.83593700000002,118.65,76.0,0.011951999999999999,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1282.5,28.4,1.0061,347.6,109.49218700000002,122.46875,128.9375,124.65625,20.15,756.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.7,1391.6,3.9705,2.4439,4.331,1712.6,2.3455,28.765,729.8
2010-12-03 00:19:00,0.9748,52.95,1.5594,561.25,2901.0,0.9959,129.0,1220.5,1.3205,118.83593700000002,118.65,76.0,0.011953,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1282.75,28.4,1.0061,347.6,109.49218700000002,122.453125,128.9375,124.65625,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.69,1391.7,3.9705,2.4439,4.328,1712.6,2.3455,28.775,729.8
2010-12-03 00:20:00,0.9745,52.95,1.5593,561.5,2901.0,0.9959,129.0,1220.5,1.3203,118.828125,118.65,76.0,0.011951999999999999,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1282.75,28.4,1.0062,347.6,109.484375,122.453125,128.9375,124.65625,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.69,1391.5,3.9705,2.4439,4.328,1712.6,2.3455,28.77,729.8
2010-12-03 00:21:00,0.9745,52.95,1.5593,561.5,2901.0,0.9959,128.97,1220.5,1.3203,118.828125,118.65,76.0,0.011951999999999999,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1282.25,28.4,1.0062,347.6,109.484375,122.453125,128.9375,124.65625,20.15,755.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.69,1391.6,3.971,2.4439,4.327,1714.3,2.3455,28.77,729.8
2010-12-03 00:22:00,0.9747,52.95,1.5593,561.5,2901.0,0.9958,128.97,1220.5,1.3203,118.83593700000002,118.65,76.0,0.011951,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1282.0,28.4,1.0062,347.6,109.484375,122.453125,128.9375,124.6875,20.15,755.25,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.7,1391.7,3.9705,2.4439,4.327,1714.8,2.3455,28.77,729.8
2010-12-03 00:23:00,0.9747,52.95,1.5598,561.5,2901.0,0.9959,128.97,1220.5,1.3205,118.828125,118.65,76.0,0.011953,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1282.0,28.4,1.0062,347.6,109.484375,122.453125,128.9375,124.65625,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.71,1391.7,3.9705,2.4439,4.338,1714.8,2.3455,28.77,729.8
2010-12-03 00:24:00,0.9747,52.95,1.5598,561.75,2901.0,0.9959,129.0,1220.25,1.3204,118.828125,118.65,76.0,0.011953,203.3,806.75,106.3,1610.5,1118.0,10175.0,10225.0,2186.25,549.0,750.6,1283.0,28.4,1.0062,347.6,109.484375,122.453125,128.9375,124.625,20.15,755.5,11283.0,126.51,119.33,111.34,87.61,90.57,2783.0,109.255,2.4521,1866.0,90.67,1938.0,87.71,1391.9,3.9705,2.4439,4.3389999999999995,1715.3,2.3455,28.78,729.8
