,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-05-06 00:01:00,1.0653,56.04,1.6381,706.25,3042.0,1.0345,147.32,1335.5,1.4527,118.78906200000002,131.3,92.725,0.012440000000000001,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2376.75,829.7,1329.5,20.79,1.1489,347.8,109.625,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.26,111.82,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.27,1488.9,4.0205,2.9161,4.258,1801.7,3.1254,35.115,576.0
2011-05-06 00:02:00,1.0651,56.04,1.6379,706.25,3042.0,1.0343,147.32,1335.5,1.4526,118.78906200000002,131.3,92.725,0.012439,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2376.75,829.7,1329.5,20.79,1.1486,347.8,109.61718700000002,122.015625,128.59375,124.3125,18.15,753.0,12565.0,123.15,115.38,103.5,100.26,111.78,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.27,1488.4,4.02,2.9161,4.258,1801.7,3.1254,34.895,576.0
2011-05-06 00:03:00,1.0653,56.04,1.6382,705.75,3042.0,1.0344,147.32,1335.5,1.4529,118.796875,131.3,92.725,0.012437,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2376.25,829.7,1329.5,20.79,1.1488,347.8,109.625,122.015625,128.59375,124.3125,18.15,753.0,12565.0,123.15,115.38,103.5,100.25,111.85,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.26,1488.3,4.0215,2.9161,4.258,1801.7,3.1254,34.95,576.0
2011-05-06 00:04:00,1.0654,56.04,1.638,705.5,3042.0,1.0345,147.35,1335.5,1.4528,118.796875,131.3,92.725,0.012438,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2376.25,829.7,1328.5,20.79,1.1487,347.8,109.625,122.0,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.25,111.81,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.27,1488.2,4.0215,2.9161,4.258,1801.5,3.1254,34.915,576.0
2011-05-06 00:05:00,1.0653,56.04,1.6381,705.5,3042.0,1.0345,147.31,1335.5,1.4527,118.796875,131.3,92.725,0.012439,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2376.25,829.7,1328.5,20.79,1.1487,347.8,109.625,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.25,111.85,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.26,1488.4,4.0215,2.9161,4.257,1800.2,3.1254,34.95,576.0
2011-05-06 00:06:00,1.0654,56.04,1.6381,705.5,3042.0,1.0346,147.31,1335.75,1.4529,118.796875,131.3,92.725,0.012439,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2377.0,829.7,1328.5,20.79,1.149,347.8,109.625,122.015625,128.59375,124.34375,18.15,753.5,12565.0,123.15,115.38,103.5,100.25,111.85,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.25,1488.7,4.0215,2.9161,4.257,1800.7,3.1254,35.015,576.0
2011-05-06 00:07:00,1.0655,56.04,1.6385,705.5,3042.0,1.0348,147.31,1335.5,1.453,118.78125,131.3,92.725,0.012435,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2377.0,829.7,1329.0,20.79,1.1487,347.8,109.625,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.3,111.88,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.28,1488.2,4.0205,2.9173,4.257,1800.6,3.1267,34.975,576.0
2011-05-06 00:08:00,1.0654,56.04,1.6384,705.75,3042.0,1.0348,147.31,1335.75,1.453,118.796875,131.3,92.725,0.012435,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2377.0,829.7,1329.0,20.79,1.1487,347.8,109.625,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.3,111.86,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.29,1488.5,4.02,2.9181,4.258,1800.6,3.128,34.975,576.0
2011-05-06 00:09:00,1.0652,56.04,1.6384,705.5,3042.0,1.0347,147.31,1335.75,1.453,118.796875,131.3,92.725,0.012435,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2377.0,829.7,1329.0,20.79,1.1487,347.8,109.625,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.21,111.89,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.22,1488.4,4.0185,2.9181,4.258,1800.6,3.128,34.945,576.0
2011-05-06 00:10:00,1.0651,56.04,1.6384,705.25,3042.0,1.0345,147.28,1335.5,1.4531,118.796875,131.3,92.725,0.012436,286.65,855.25,109.55,1753.5,1164.9,9835.0,9845.0,2377.0,829.7,1329.0,20.79,1.1487,347.8,109.61718700000002,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.21,111.89,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.22,1488.6,4.0175,2.9181,4.256,1800.2,3.128,34.9,576.0
2011-05-06 00:11:00,1.0649,56.04,1.6383,705.5,3042.0,1.0345,147.28,1335.5,1.4531,118.796875,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.5,829.7,1329.5,20.79,1.1486,347.8,109.61718700000002,122.015625,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.21,111.89,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1488.2,4.018,2.9181,4.256,1799.9,3.128,34.95,576.0
2011-05-06 00:12:00,1.0648,56.04,1.6383,705.5,3042.0,1.0344,147.28,1335.75,1.4531,118.78906200000002,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9840.0,9840.0,2376.5,829.7,1329.75,20.79,1.1486,347.8,109.61718700000002,122.03125,128.59375,124.34375,18.15,753.0,12565.0,123.15,115.38,103.5,100.21,111.87,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1488.3,4.019,2.9181,4.255,1799.9,3.128,34.935,576.0
2011-05-06 00:13:00,1.0648,56.04,1.6383,705.5,3042.0,1.0344,147.28,1335.75,1.4531,118.796875,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9840.0,9840.0,2376.5,829.7,1329.75,20.79,1.1486,347.8,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12568.0,123.15,115.38,103.5,100.21,111.91,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.26,1488.3,4.0205,2.9181,4.257,1799.9,3.128,34.935,576.0
2011-05-06 00:14:00,1.0642,56.04,1.638,705.5,3042.0,1.0342,147.28,1335.0,1.4524,118.796875,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9840.0,9840.0,2376.25,829.7,1329.25,20.79,1.1482,347.8,109.625,122.015625,128.59375,124.375,18.15,753.0,12562.0,123.15,115.38,103.5,100.21,111.85,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.17,1488.2,4.0205,2.9181,4.257,1799.9,3.128,34.865,576.0
2011-05-06 00:15:00,1.0642,56.04,1.6378,705.5,3042.0,1.0341,147.28,1335.0,1.4523,118.80468700000002,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.5,829.7,1329.5,20.79,1.1483,347.8,109.625,122.03125,128.59375,124.375,18.15,753.0,12566.0,123.15,115.38,103.5,100.21,111.81,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.17,1487.8,4.0165,2.9162,4.257,1798.0,3.1244,34.82,576.0
2011-05-06 00:16:00,1.0638,56.04,1.6377,705.5,3042.0,1.0339,147.28,1335.25,1.4521,118.80468700000002,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.5,829.7,1329.5,20.79,1.1483,347.8,109.61718700000002,122.03125,128.59375,124.34375,18.15,753.0,12567.0,123.15,115.38,103.5,100.33,111.97,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.26,1488.1,4.016,2.9184,4.255,1798.0,3.1252,34.845,576.0
2011-05-06 00:17:00,1.0636,56.04,1.6377,705.25,3042.0,1.0339,147.28,1334.75,1.4522,118.80468700000002,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.0,829.7,1329.5,20.79,1.1481,347.8,109.61718700000002,122.03125,128.59375,124.34375,18.15,753.0,12564.0,123.15,115.38,103.5,100.33,111.9,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.24,1488.0,4.0185,2.9184,4.255,1798.8,3.1252,34.83,576.0
2011-05-06 00:18:00,1.0636,56.04,1.6378,705.75,3042.0,1.0339,147.28,1335.0,1.4525,118.796875,131.3,92.725,0.012438,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.0,829.7,1329.0,20.79,1.1483,347.8,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12562.0,123.15,115.38,103.5,100.33,111.94,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.21,1487.9,4.0165,2.9184,4.255,1797.5,3.1252,34.82,576.0
2011-05-06 00:19:00,1.0634,56.04,1.6378,705.0,3042.0,1.0341,147.28,1335.0,1.4525,118.796875,131.3,92.725,0.012439,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.0,829.7,1327.25,20.79,1.1483,347.8,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12562.0,123.15,115.38,103.5,100.23,111.94,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1487.8,4.015,2.9184,4.255,1797.5,3.1252,34.8,576.0
2011-05-06 00:20:00,1.0634,55.99,1.6378,704.75,3042.0,1.0342,147.28,1335.0,1.4524,118.80468700000002,131.3,92.725,0.012440000000000001,286.65,855.25,109.55,1753.5,1164.9,9835.0,9840.0,2376.0,829.7,1327.25,20.79,1.1483,348.1,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12561.0,123.15,115.38,103.5,100.23,111.95,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1487.4,4.01,2.9166,4.255,1797.5,3.1252,34.725,576.0
2011-05-06 00:21:00,1.0635,55.94,1.638,704.75,3042.0,1.0343,147.28,1335.5,1.4525,118.796875,131.3,92.725,0.012438,286.65,855.25,109.55,1753.5,1164.9,9840.0,9845.0,2376.0,829.7,1327.0,20.79,1.1481,347.8,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12561.0,123.15,115.38,103.5,100.22,111.92,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1486.7,4.008,2.9161,4.255,1796.6,3.1223,34.68,576.0
2011-05-06 00:22:00,1.064,55.95,1.6383,704.75,3042.0,1.0343,147.9,1335.0,1.4527,118.796875,131.3,92.725,0.012437,286.65,855.25,109.55,1753.5,1164.9,9840.0,9845.0,2376.5,829.7,1327.75,20.79,1.1483,348.3,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12561.0,123.15,115.38,103.5,100.24,111.88,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.2,1486.5,4.01,2.9174,4.255,1796.0,3.1223,34.63,576.0
2011-05-06 00:23:00,1.0637,55.94,1.6383,705.0,3042.0,1.0343,147.9,1335.0,1.4527,118.80468700000002,131.3,92.725,0.012436,286.65,855.25,109.55,1753.5,1164.9,9840.0,9845.0,2375.0,829.7,1326.5,20.79,1.1483,348.2,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12564.0,123.15,115.38,103.5,100.28,111.88,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.29,1486.2,4.0115,2.9172,4.255,1796.0,3.127,34.615,576.0
2011-05-06 00:24:00,1.0635,55.92,1.638,704.25,3042.0,1.0343,147.9,1335.0,1.4525,118.80468700000002,131.3,92.725,0.012436,286.65,855.25,109.55,1753.5,1164.9,9840.0,9845.0,2375.0,829.7,1326.5,20.79,1.1482,348.1,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12564.0,123.15,115.38,103.5,100.25,111.88,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.26,1486.3,4.0135,2.9172,4.251,1796.0,3.127,34.645,576.0
2011-05-06 00:25:00,1.0634,55.88,1.638,704.25,3042.0,1.0343,147.9,1335.0,1.4525,118.796875,131.3,92.725,0.012436,286.65,855.25,109.55,1753.5,1164.9,9840.0,9845.0,2375.75,829.7,1326.5,20.79,1.1483,348.0,109.61718700000002,122.03125,128.59375,124.375,18.15,753.0,12564.0,123.15,115.38,103.5,100.25,111.83,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1487.0,4.0115,2.9165,4.251,1796.0,3.127,34.755,576.0
2011-05-06 00:26:00,1.0638,55.9,1.6381,704.25,3042.0,1.0342,147.9,1334.75,1.4527,118.80468700000002,131.3,92.725,0.012434,286.65,855.25,109.55,1753.5,1164.9,9840.0,9845.0,2375.25,829.7,1327.25,20.79,1.1483,348.2,109.61718700000002,122.03125,128.625,124.34375,18.15,753.0,12564.0,123.15,115.38,103.5,100.25,111.88,2880.0,107.325,2.9159,3.1257,2540.0,110.0,1867.0,100.23,1486.7,4.0115,2.9178,4.251,1796.0,3.1256,34.81,576.0
