,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2014-01-10 00:01:00,0.8867,37.99,1.6473,411.0,2676.0,0.9203,83.05,1835.25,1.3613,119.21093700000002,169.1,85.65,0.009531999999999999,118.6,642.25,136.6,1901.9,966.6,15870.0,15920.0,3553.5,1156.5,1274.25,15.46,1.1035,414.5,109.828125,123.28125,137.6875,129.1875,13.59,585.75,16409.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.46,1233.0,3.2995,2.9269,4.012,1421.3,2.649,19.65,426.5
2014-01-10 00:02:00,0.8867,37.99,1.6473,411.0,2676.0,0.9203,83.14,1835.25,1.3612,119.21093700000002,169.1,85.65,0.009533,118.6,642.25,136.6,1901.9,966.6,15870.0,15925.0,3553.5,1156.5,1274.25,15.46,1.1035,414.5,109.828125,123.28125,137.6875,129.1875,13.59,585.75,16410.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.46,1232.6,3.2995,2.9269,4.012,1421.4,2.649,19.645,426.5
2014-01-10 00:03:00,0.8867,37.99,1.6473,411.0,2676.0,0.9203,83.14,1835.0,1.3611,119.21093700000002,169.1,85.65,0.009534,118.6,642.25,136.6,1901.9,966.6,15870.0,15925.0,3553.75,1156.5,1274.25,15.46,1.1035,414.5,109.828125,123.28125,137.6875,129.1875,13.59,585.75,16411.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.47,1232.5,3.3,2.9269,4.013,1421.6,2.649,19.645,426.5
2014-01-10 00:04:00,0.8867,37.99,1.6471,411.0,2676.0,0.9202,83.14,1835.5,1.3611,119.21093700000002,169.1,85.65,0.009535,118.6,642.25,136.6,1901.9,966.6,15870.0,15925.0,3553.5,1156.7,1274.25,15.46,1.1035,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16412.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.47,1232.6,3.2995,2.9269,4.0089999999999995,1421.6,2.649,19.645,426.5
2014-01-10 00:05:00,0.8867,38.0,1.6471,411.0,2676.0,0.9203,83.14,1835.25,1.3611,119.21093700000002,169.1,85.65,0.009534,118.6,642.25,136.6,1901.9,966.6,15870.0,15925.0,3553.5,1156.5,1274.25,15.46,1.1035,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16410.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.46,1232.8,3.2995,2.9269,4.011,1421.6,2.649,19.64,426.5
2014-01-10 00:06:00,0.8867,38.0,1.6471,411.0,2676.0,0.9202,83.14,1835.25,1.3611,119.203125,169.1,85.65,0.009534,118.6,642.25,136.6,1901.9,966.6,15870.0,15925.0,3553.5,1156.5,1274.25,15.46,1.1035,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16412.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.44,1232.8,3.3,2.9269,4.008,1422.5,2.649,19.645,426.5
2014-01-10 00:07:00,0.8866,38.0,1.6471,411.0,2676.0,0.9205,83.14,1835.0,1.3612,119.203125,169.1,85.65,0.009534,118.6,642.25,136.6,1901.9,966.6,15865.0,15910.0,3553.25,1156.5,1274.25,15.46,1.1037,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16411.0,139.59,124.66,121.66,92.49,106.69,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.44,1232.7,3.3,2.9269,4.006,1422.5,2.649,19.645,426.5
2014-01-10 00:08:00,0.8866,38.0,1.6471,411.0,2676.0,0.9205,83.14,1835.25,1.3612,119.203125,169.1,85.65,0.009534,118.6,642.25,136.6,1901.9,966.6,15860.0,15910.0,3553.25,1156.5,1274.25,15.46,1.1037,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16411.0,139.59,124.66,121.66,92.49,106.72,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.44,1232.9,3.3,2.9269,4.003,1421.7,2.649,19.65,426.5
2014-01-10 00:09:00,0.8866,38.0,1.6471,411.0,2676.0,0.9205,83.14,1835.25,1.3611,119.203125,169.1,85.65,0.009534,118.6,642.25,136.6,1901.9,966.6,15860.0,15910.0,3553.25,1156.5,1274.25,15.46,1.1037,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16411.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.45,1232.9,3.2995,2.9269,4.004,1421.7,2.649,19.65,426.5
2014-01-10 00:10:00,0.8866,38.0,1.6471,411.0,2676.0,0.9205,83.14,1835.25,1.3611,119.203125,169.1,85.65,0.009533,118.6,642.25,136.6,1901.9,966.6,15860.0,15915.0,3553.5,1156.6,1274.25,15.46,1.1037,414.5,109.828125,123.265625,137.6875,129.1875,13.59,586.25,16412.0,139.59,124.66,121.66,92.49,106.71,3103.0,110.305,17.1,2.9356,2.6617,1737.0,131.66,106.88,1723.0,92.44,1232.9,3.3,2.9269,4.003,1421.7,2.649,19.65,426.5
