,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2017-01-06 00:01:00,0.7306,35.25,1.2398,361.75,2261.0,0.7547,73.95,2263.75,1.061,117.9921875,123.2,64.65,0.008647499999999999,143.75,436.5,114.55,1708.4,889.4,19425.0,19485.0,4961.75,1369.9,1011.0,20.54,0.9918,317.3,134.953125,108.375,124.875,163.25,152.59375,13.05,427.0,19816.0,163.61,133.46,171.78,53.71,56.83,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.7,1177.9,2.536,1.6966,3.3110000000000004,969.1,1.6389,16.57,540.3
2017-01-06 00:02:00,0.7306,35.25,1.2398,361.75,2261.0,0.7547,73.95,2263.5,1.06085,117.9921875,123.2,64.65,0.008647499999999999,143.75,436.75,114.55,1708.4,889.4,19425.0,19485.0,4961.5,1369.9,1011.0,20.54,0.9918,317.3,134.953125,108.375,124.875,163.25,152.625,13.05,427.25,19814.0,163.61,133.46,171.78,53.71,56.87,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.73,1177.4,2.5345,1.6966,3.3110000000000004,967.7,1.6389,16.415,540.3
2017-01-06 00:03:00,0.7306,35.25,1.2397,361.75,2261.0,0.75465,73.95,2263.5,1.06095,118.0078125,123.2,64.65,0.008647,143.75,436.75,114.55,1708.4,889.4,19430.0,19490.0,4961.75,1369.9,1011.25,20.54,0.9917,317.3,134.984375,108.375,124.90625,163.3125,152.65625,13.05,427.25,19815.0,163.61,133.46,171.78,53.71,56.87,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.73,1176.7,2.534,1.6966,3.3089999999999997,967.8,1.6389,16.4,540.3
2017-01-06 00:04:00,0.7307,35.25,1.2398,361.75,2261.0,0.7547,73.95,2263.5,1.061,118.0078125,123.2,64.65,0.008648000000000001,143.75,436.75,114.55,1708.4,889.4,19430.0,19485.0,4961.75,1369.8,1011.25,20.54,0.9918,317.3,134.984375,108.375,124.921875,163.3125,152.65625,13.05,427.0,19814.0,163.61,133.46,171.78,53.71,56.88,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.73,1177.1,2.534,1.6966,3.312,968.1,1.6389,16.405,540.3
2017-01-06 00:05:00,0.7305,35.24,1.2398,361.75,2261.0,0.75465,73.95,2263.5,1.0611,118.0078125,123.2,64.65,0.008647499999999999,143.75,436.75,114.55,1708.4,889.4,19430.0,19485.0,4961.75,1369.8,1011.25,20.54,0.9918,317.3,134.984375,108.375,124.921875,163.3125,152.65625,13.05,427.0,19814.0,163.61,133.46,171.78,53.71,56.86,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.72,1177.4,2.533,1.6966,3.3110000000000004,968.2,1.6389,16.43,540.3
2017-01-06 00:06:00,0.7305,35.24,1.2398,361.75,2261.0,0.7546,73.95,2263.75,1.06095,118.0078125,123.2,64.65,0.008646,143.75,436.75,114.55,1708.4,889.2,19430.0,19485.0,4962.0,1369.7,1011.0,20.54,0.9918,317.3,134.984375,108.375,124.921875,163.3125,152.65625,13.05,427.0,19815.0,163.61,133.46,171.78,53.71,56.87,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.73,1177.0,2.5325,1.6966,3.3089999999999997,967.9,1.6389,16.44,540.3
2017-01-06 00:07:00,0.7304,35.24,1.2397,361.75,2261.0,0.75465,73.95,2263.75,1.06095,118.0078125,123.2,64.65,0.008646,143.75,436.75,114.55,1708.4,888.6,19430.0,19485.0,4962.0,1369.7,1010.75,20.54,0.9917,317.3,135.0,108.375,124.921875,163.3125,152.65625,13.05,427.0,19815.0,163.61,133.46,171.78,53.71,56.86,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.72,1177.2,2.532,1.6966,3.3089999999999997,968.5,1.6389,16.455,540.3
2017-01-06 00:08:00,0.7304,35.24,1.2397,361.75,2261.0,0.7547,73.95,2263.5,1.0612,118.0078125,123.2,64.65,0.008648000000000001,143.75,436.75,114.55,1708.4,888.6,19420.0,19480.0,4961.75,1369.7,1011.25,20.54,0.9917,317.3,134.984375,108.375,124.90625,163.28125,152.625,13.05,427.0,19815.0,163.61,133.46,171.78,53.71,56.86,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.71,1177.5,2.53,1.6966,3.306,968.7,1.6389,16.46,540.3
2017-01-06 00:09:00,0.7306,35.24,1.2397,361.75,2261.0,0.7547,73.95,2263.5,1.061,118.0,123.2,64.65,0.008648000000000001,143.75,436.75,114.55,1708.4,888.6,19415.0,19480.0,4961.75,1369.7,1011.25,20.54,0.9918,317.3,134.953125,108.375,124.875,163.21875,152.59375,13.05,427.0,19814.0,163.61,133.46,171.78,53.71,56.86,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.71,1177.2,2.53,1.6966,3.304,968.2,1.6389,16.47,540.3
2017-01-06 00:10:00,0.7307,35.23,1.2399,361.75,2261.0,0.75475,73.91,2263.5,1.0611,118.0,123.2,64.65,0.008648000000000001,143.75,436.75,114.55,1708.4,888.6,19415.0,19475.0,4961.75,1369.7,1010.75,20.54,0.9917,317.3,134.953125,108.375,124.875,163.25,152.59375,13.05,427.0,19814.0,163.61,133.46,171.78,53.71,56.86,3304.0,112.26,17.75,499.75,1.7002,1.6565,2168.0,150.59,56.84,1815.0,53.71,1177.3,2.5285,1.6966,3.306,968.2,1.6389,16.47,540.3
