,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2014-09-05 00:01:00,0.9334,31.98,1.6309,348.75,3131.0,0.9189,65.26,1995.75,1.2934,118.38281200000002,222.75,103.6,0.009493000000000001,202.0,626.25,158.175,1919.0,1094.4,15715.0,15660.0,4064.75,413.8,1164.9,1006.25,15.11,1.0725,353.6,109.41406200000002,124.953125,152.375,138.1875,13.6,536.75,17063.0,148.69,127.71,140.84,94.47,101.79,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.4,1263.8,3.16,2.8398,3.818,1407.3,2.6008,19.095,418.4
2014-09-05 00:02:00,0.9335,31.98,1.6309,348.75,3131.0,0.9189,65.26,1995.5,1.2934,118.38281200000002,222.75,103.6,0.009493000000000001,202.0,626.25,158.175,1919.0,1094.4,15715.0,15660.0,4065.0,413.8,1164.9,1006.25,15.11,1.0725,353.6,109.41406200000002,124.953125,152.375,138.1875,13.6,536.75,17063.0,148.69,127.71,140.84,94.47,101.79,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.43,1263.9,3.1595,2.8398,3.818,1407.3,2.6008,19.1,418.4
2014-09-05 00:03:00,0.9336,31.98,1.6309,348.75,3131.0,0.9189,65.26,1995.5,1.2934,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15710.0,15660.0,4064.5,413.8,1164.9,1006.25,15.11,1.0726,353.6,109.41406200000002,124.953125,152.375,138.1875,13.6,536.75,17062.0,148.69,127.71,140.84,94.47,101.79,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.41,1264.1,3.1595,2.8398,3.818,1407.3,2.6008,19.105,418.4
2014-09-05 00:04:00,0.9336,31.98,1.6309,348.75,3131.0,0.9189,65.26,1995.5,1.2934,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15705.0,15660.0,4064.5,413.8,1164.9,1006.25,15.11,1.0726,353.6,109.41406200000002,124.9375,152.375,138.1875,13.6,536.75,17062.0,148.69,127.71,140.84,94.47,101.79,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.38,1264.1,3.1595,2.8398,3.818,1407.3,2.6008,19.105,418.4
2014-09-05 00:05:00,0.9336,31.98,1.6309,349.0,3131.0,0.9189,65.26,1995.25,1.2934,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15695.0,15660.0,4064.25,413.8,1164.7,1006.25,15.11,1.0726,353.6,109.41406200000002,124.9375,152.375,138.1875,13.6,536.75,17060.0,148.69,127.71,140.84,94.47,101.79,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.39,1264.2,3.1595,2.8398,3.82,1407.3,2.6008,19.105,418.4
2014-09-05 00:06:00,0.9336,31.98,1.6309,349.0,3131.0,0.9189,65.26,1995.25,1.2933,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15690.0,15660.0,4064.0,413.8,1164.6,1006.25,15.11,1.0725,353.6,109.41406200000002,124.9375,152.375,138.1875,13.6,537.0,17061.0,148.69,127.71,140.84,94.47,101.78,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.4,1264.4,3.1595,2.8398,3.82,1407.3,2.6008,19.11,418.4
2014-09-05 00:07:00,0.9336,31.98,1.6309,348.75,3131.0,0.9189,65.26,1995.25,1.2934,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15690.0,15660.0,4064.0,413.8,1164.6,1006.25,15.11,1.0725,353.6,109.41406200000002,124.9375,152.375,138.1875,13.6,537.0,17059.0,148.69,127.71,140.84,94.47,101.78,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.39,1264.5,3.1595,2.8398,3.82,1407.3,2.6008,19.11,418.4
2014-09-05 00:08:00,0.9337,31.98,1.631,348.75,3131.0,0.919,65.26,1995.25,1.2934,118.38281200000002,222.75,103.6,0.009493999999999999,202.0,626.25,158.175,1919.0,1094.4,15690.0,15660.0,4064.0,413.8,1164.5,1006.25,15.11,1.0725,353.6,109.41406200000002,124.9375,152.375,138.1875,13.6,537.0,17060.0,148.69,127.71,140.84,94.47,101.78,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.41,1264.3,3.1595,2.8398,3.82,1407.3,2.6008,19.11,418.4
2014-09-05 00:09:00,0.9337,31.98,1.6309,348.75,3131.0,0.919,65.26,1995.25,1.2934,118.38281200000002,222.75,103.6,0.009493999999999999,202.0,626.25,158.175,1919.0,1094.4,15695.0,15660.0,4064.5,413.8,1164.5,1006.25,15.11,1.0725,353.6,109.41406200000002,124.953125,152.375,138.1875,13.6,536.75,17061.0,148.69,127.71,140.84,94.47,101.78,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.41,1264.4,3.1595,2.8398,3.82,1407.3,2.6008,19.11,418.4
2014-09-05 00:10:00,0.9337,31.98,1.631,348.75,3131.0,0.919,65.26,1995.5,1.2935,118.38281200000002,222.75,103.6,0.009493999999999999,202.0,626.25,158.175,1919.0,1094.4,15695.0,15660.0,4064.5,413.8,1164.6,1006.25,15.11,1.0726,353.6,109.41406200000002,124.953125,152.40625,138.1875,13.6,536.75,17062.0,148.69,127.71,140.84,94.47,101.78,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.41,1264.5,3.159,2.8398,3.82,1407.3,2.6008,19.11,418.4
2014-09-05 00:11:00,0.9337,31.98,1.631,348.75,3131.0,0.919,65.26,1995.5,1.2935,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15685.0,15660.0,4064.75,413.8,1164.6,1006.25,15.11,1.0726,353.6,109.41406200000002,124.953125,152.40625,138.1875,13.6,536.75,17063.0,148.69,127.71,140.84,94.47,101.77,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.4,1264.4,3.1585,2.8398,3.82,1407.3,2.6008,19.105,418.4
2014-09-05 00:12:00,0.9337,31.98,1.6309,348.75,3131.0,0.919,65.26,1995.25,1.2936,118.38281200000002,222.75,103.6,0.009495,202.0,626.25,158.175,1919.0,1094.4,15690.0,15660.0,4064.5,413.8,1164.6,1006.25,15.11,1.0726,353.6,109.41406200000002,124.953125,152.40625,138.1875,13.6,536.75,17063.0,148.69,127.71,140.84,94.47,101.79,3268.0,111.01,16.2,885.0,2.846,2.6134,2065.0,145.03,101.91,1998.0,94.4,1264.3,3.1585,2.8398,3.82,1407.3,2.6008,19.105,418.4
