,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-11-04 00:01:00,1.0321,51.77,1.6007,651.25,2743.0,0.9879,98.6,1252.25,1.3802,122.99218700000002,147.4,86.775,0.012831,227.0,720.0,124.425,1479.0,995.0,8740.0,8770.0,2358.0,742.5,1225.75,25.84,1.138,315.4,110.19531200000002,130.046875,154.15625,140.6875,31.5,634.5,11948.0,136.56,123.1,121.4,93.89,110.5,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.9,3.6145,3.0377,3.812,1632.9,2.6406,34.485,683.2
2011-11-04 00:02:00,1.0319,51.77,1.6007,651.25,2743.0,0.9878,98.6,1252.0,1.3802,122.99218700000002,147.4,86.775,0.012831,227.0,720.0,124.4,1479.0,995.0,8740.0,8770.0,2358.0,742.5,1225.75,25.84,1.138,315.4,110.19531200000002,130.046875,154.15625,140.71875,31.5,634.5,11948.0,136.56,123.1,121.4,93.89,110.5,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.2,3.6145,3.0377,3.812,1632.9,2.6406,34.485,683.2
2011-11-04 00:03:00,1.0321,51.77,1.6007,651.25,2743.0,0.9878,98.6,1252.25,1.3801,122.99218700000002,147.4,86.775,0.012830000000000001,227.0,720.0,124.3,1479.0,995.0,8740.0,8770.0,2358.0,742.5,1225.75,25.84,1.138,315.4,110.19531200000002,130.046875,154.15625,140.71875,31.5,634.5,11948.0,136.56,123.1,121.4,93.89,110.5,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.4,3.6145,3.0377,3.812,1632.9,2.6406,34.485,683.2
2011-11-04 00:04:00,1.0324,51.77,1.6007,651.25,2743.0,0.9878,98.6,1252.5,1.3803,122.99218700000002,147.4,86.775,0.012830000000000001,227.0,720.0,124.225,1479.0,995.0,8740.0,8770.0,2358.0,742.7,1225.75,25.84,1.138,315.4,110.19531200000002,130.046875,154.15625,140.6875,31.5,634.5,11949.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1761.1,3.6145,3.0377,3.812,1632.9,2.6406,34.485,683.2
2011-11-04 00:05:00,1.0325,51.77,1.6007,651.25,2743.0,0.9878,98.6,1252.5,1.3803,122.99218700000002,147.4,86.775,0.012831,227.0,720.0,124.225,1479.0,995.0,8740.0,8770.0,2357.75,742.8,1225.75,25.84,1.138,315.4,110.19531200000002,130.046875,154.15625,140.6875,31.5,634.5,11951.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1761.0,3.6155,3.0377,3.812,1632.9,2.6406,34.485,683.2
2011-11-04 00:06:00,1.0325,51.77,1.6006,651.25,2743.0,0.9878,98.6,1252.5,1.3803,122.984375,147.4,86.775,0.012830000000000001,227.0,720.0,124.225,1479.0,995.0,8740.0,8770.0,2357.75,742.8,1225.75,25.84,1.138,315.4,110.19531200000002,130.015625,154.15625,140.625,31.5,634.5,11952.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.6,3.6155,3.0377,3.812,1632.9,2.6406,34.475,683.2
2011-11-04 00:07:00,1.0328,51.77,1.6004,651.25,2743.0,0.9878,98.6,1252.25,1.3804,122.99218700000002,147.4,86.775,0.012831,227.0,720.0,124.25,1479.0,995.0,8740.0,8770.0,2357.75,742.6,1225.75,25.84,1.138,315.4,110.19531200000002,130.015625,154.15625,140.59375,31.5,634.5,11952.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.9,3.6155,3.0377,3.812,1632.9,2.6406,34.48,683.2
2011-11-04 00:08:00,1.0329,51.77,1.6004,651.25,2743.0,0.9878,98.6,1252.5,1.3805,122.99218700000002,147.4,86.775,0.012831,227.0,720.0,124.4,1479.0,995.0,8740.0,8770.0,2358.0,742.6,1225.75,25.84,1.138,315.4,110.19531200000002,130.03125,154.15625,140.59375,31.5,634.5,11952.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.83,1761.0,3.615,3.0377,3.812,1632.9,2.6406,34.48,683.2
2011-11-04 00:09:00,1.0329,51.77,1.6004,651.25,2743.0,0.9877,98.6,1252.5,1.3804,122.984375,147.4,86.775,0.012830000000000001,227.0,720.0,124.25,1479.0,995.0,8740.0,8770.0,2358.0,742.6,1225.0,25.84,1.138,315.4,110.19531200000002,130.03125,154.15625,140.59375,31.5,634.5,11953.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.83,1760.7,3.615,3.0377,3.812,1632.9,2.6406,34.465,683.2
2011-11-04 00:10:00,1.0328,51.77,1.6004,651.25,2743.0,0.9877,98.6,1252.5,1.3803,122.984375,147.4,86.775,0.012830000000000001,227.0,720.0,124.25,1479.0,995.0,8745.0,8770.0,2357.75,742.6,1225.0,25.84,1.138,315.4,110.19531200000002,130.015625,154.15625,140.59375,31.5,634.5,11950.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.83,1760.8,3.615,3.0377,3.812,1632.9,2.6406,34.465,683.2
2011-11-04 00:11:00,1.0328,51.77,1.6005,651.25,2743.0,0.9878,98.6,1252.5,1.3803,122.984375,147.4,86.775,0.012830000000000001,227.0,720.0,124.4,1479.0,995.0,8745.0,8770.0,2358.0,742.6,1225.0,25.84,1.138,315.4,110.19531200000002,130.015625,154.15625,140.59375,31.5,634.5,11953.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.83,1761.1,3.615,3.0377,3.812,1632.9,2.6406,34.465,683.2
2011-11-04 00:12:00,1.0329,51.77,1.6003,651.25,2743.0,0.9878,98.6,1253.0,1.3804,122.984375,147.4,86.775,0.012832,227.0,720.0,124.25,1479.0,995.0,8745.0,8770.0,2358.5,743.2,1225.0,25.84,1.138,315.4,110.19531200000002,130.0,154.15625,140.5625,31.5,634.5,11955.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.83,1760.6,3.615,3.0377,3.812,1632.9,2.6406,34.465,683.2
2011-11-04 00:13:00,1.0328,51.77,1.6004,651.0,2743.0,0.9878,98.6,1252.75,1.3805,122.984375,147.4,86.775,0.012831,227.0,720.0,124.3,1479.0,995.0,8745.0,8770.0,2358.75,743.0,1225.0,25.84,1.138,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.75,11955.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.8,3.6145,3.0377,3.812,1632.9,2.6406,34.455,683.2
2011-11-04 00:14:00,1.0328,51.77,1.6004,651.0,2743.0,0.9878,98.6,1252.5,1.3806,122.984375,147.4,86.775,0.012831,227.0,720.0,124.375,1479.0,995.0,8745.0,8770.0,2358.0,743.2,1225.25,25.84,1.1379,315.4,110.19531200000002,130.0,154.15625,140.5625,31.5,634.75,11954.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.82,1760.9,3.6145,3.0377,3.812,1632.6,2.6406,34.46,683.2
2011-11-04 00:15:00,1.0331,51.77,1.6004,651.0,2743.0,0.9879,98.6,1252.75,1.3807,122.984375,147.4,86.775,0.012831,227.0,720.0,124.225,1479.0,995.0,8745.0,8770.0,2358.5,743.2,1225.25,25.84,1.1381,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.75,11955.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.82,1760.9,3.6145,3.0377,3.812,1632.6,2.6406,34.46,683.2
2011-11-04 00:16:00,1.0332,51.77,1.6004,651.0,2743.0,0.9879,98.6,1253.25,1.3808,122.984375,147.4,86.775,0.012831,227.0,720.0,124.125,1479.0,995.0,8745.0,8770.0,2358.75,743.2,1225.25,25.84,1.1383,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.75,11959.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.82,1760.8,3.6125,3.0377,3.812,1632.6,2.6406,34.46,683.2
2011-11-04 00:17:00,1.0332,51.76,1.6006,651.0,2743.0,0.988,98.6,1253.5,1.3809,122.97656200000002,147.4,86.775,0.012831,227.0,720.0,124.35,1479.0,995.0,8745.0,8770.0,2359.0,743.2,1225.25,25.84,1.1383,315.4,110.19531200000002,130.0,154.15625,140.5625,31.5,634.75,11959.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.85,1761.0,3.6125,3.0377,3.81,1632.6,2.6406,34.485,683.2
2011-11-04 00:18:00,1.0333,51.76,1.6007,651.0,2743.0,0.988,98.6,1253.75,1.3809,122.97656200000002,147.4,86.775,0.012831,227.0,720.0,124.35,1479.0,995.0,8750.0,8770.0,2359.5,744.0,1225.25,25.84,1.1385,315.4,110.19531200000002,130.0,154.15625,140.5625,31.5,634.75,11962.0,136.56,123.1,121.4,93.89,110.49,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.85,1761.1,3.614,3.0377,3.81,1633.1,2.6406,34.525,683.2
2011-11-04 00:19:00,1.0333,51.76,1.6006,651.0,2743.0,0.988,98.6,1254.25,1.381,122.97656200000002,147.4,86.775,0.012831,227.0,720.0,124.375,1479.0,995.0,8750.0,8770.0,2360.5,744.2,1225.25,25.84,1.1385,315.4,110.19531200000002,130.0,154.15625,140.5625,31.5,634.75,11964.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.85,1761.2,3.615,3.0377,3.81,1633.1,2.6406,34.52,683.2
2011-11-04 00:20:00,1.0329,51.76,1.6006,651.25,2743.0,0.9878,98.6,1253.5,1.3806,122.984375,147.4,86.775,0.012831,227.0,720.0,124.375,1479.0,995.0,8750.0,8770.0,2360.0,744.3,1225.25,25.84,1.1383,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.75,11962.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.84,1760.9,3.614,3.0377,3.81,1633.1,2.6406,34.52,683.2
2011-11-04 00:21:00,1.0334,51.76,1.6007,651.25,2743.0,0.988,98.6,1254.0,1.3807,122.984375,147.4,86.775,0.012832,227.0,720.0,124.375,1479.0,995.0,8750.0,8770.0,2360.25,744.1,1225.25,25.84,1.1384,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.75,11962.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.86,1760.8,3.614,3.0377,3.81,1633.1,2.6406,34.52,683.2
2011-11-04 00:22:00,1.0334,51.77,1.6007,651.25,2743.0,0.988,98.6,1253.75,1.381,122.984375,147.4,86.775,0.012832,227.0,720.0,124.275,1479.0,995.0,8750.0,8770.0,2360.0,744.1,1225.25,25.84,1.1385,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.5,11962.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.86,1761.0,3.614,3.0377,3.81,1633.1,2.6406,34.52,683.2
2011-11-04 00:23:00,1.0332,51.77,1.6007,651.25,2743.0,0.9878,98.6,1253.75,1.3808,122.984375,147.4,86.775,0.012832,227.0,720.0,124.35,1479.0,995.0,8760.0,8770.0,2360.0,744.1,1225.25,25.84,1.1385,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.5,11962.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.88,1760.8,3.614,3.0377,3.81,1633.1,2.6406,34.49,683.2
2011-11-04 00:24:00,1.0333,51.77,1.6007,651.25,2743.0,0.9878,98.6,1253.75,1.3809,122.984375,147.4,86.775,0.012832,227.0,720.0,124.275,1479.0,995.0,8760.0,8770.0,2360.5,744.1,1225.25,25.84,1.1385,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.5,11962.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.88,1760.9,3.6135,3.0377,3.81,1633.1,2.6406,34.49,683.2
2011-11-04 00:25:00,1.0334,51.77,1.6007,651.25,2743.0,0.9878,98.6,1253.75,1.3809,122.984375,147.4,86.775,0.012832,227.0,720.0,124.3,1479.0,995.0,8760.0,8770.0,2360.25,744.1,1225.25,25.84,1.1385,315.4,110.19531200000002,130.0,154.15625,140.59375,31.5,634.5,11961.0,136.56,123.1,121.4,93.89,110.54,2361.0,110.005,37.45,3.0767,2.6613,1780.0,111.37,1684.0,93.88,1760.8,3.6135,3.0377,3.8080000000000003,1633.1,2.6406,34.49,683.2
