,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2013-03-08 00:01:00,1.0235,50.62,1.4988,693.25,2070.0,0.9694,86.53,1538.0,1.3091,123.5,142.15,81.6,0.010483,143.3,734.75,128.475,1692.5,1064.7,12190.0,12275.0,2795.75,931.5,1478.0,18.73,1.0586,438.5,110.19531200000002,130.609375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.29,110.79,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.3,1575.6,3.5255,2.9704,3.585,1600.3,3.1278,28.76,533.3
2013-03-08 00:02:00,1.0236,50.62,1.4987,693.25,2070.0,0.9694,86.53,1538.0,1.3092,123.5,142.15,81.6,0.010481,143.3,734.75,128.475,1692.5,1064.7,12190.0,12275.0,2795.75,931.5,1478.0,18.73,1.0586,438.6,110.19531200000002,130.609375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.32,110.79,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.31,1575.6,3.5255,2.9704,3.583,1599.9,3.1278,28.765,533.3
2013-03-08 00:03:00,1.0235,50.62,1.4985,693.25,2070.0,0.9694,86.5,1538.0,1.3093,123.5,142.15,81.6,0.010479,143.3,734.75,128.475,1692.5,1064.7,12190.0,12280.0,2795.75,931.5,1478.0,18.73,1.0586,438.6,110.19531200000002,130.609375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.3,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.3,1575.6,3.526,2.9704,3.5839999999999996,1600.3,3.1278,28.765,533.3
2013-03-08 00:04:00,1.0236,50.62,1.4986,693.25,2070.0,0.9694,86.5,1538.0,1.3093,123.5,142.15,81.6,0.010479,143.3,734.75,128.475,1692.5,1064.7,12190.0,12280.0,2795.75,931.5,1478.0,18.73,1.0586,438.6,110.19531200000002,130.59375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.3,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.3,1575.5,3.5255,2.9704,3.5839999999999996,1599.9,3.1278,28.76,533.3
2013-03-08 00:05:00,1.0237,50.62,1.4988,693.25,2070.0,0.9694,86.5,1538.25,1.3093,123.5,142.15,81.6,0.010478,143.3,734.75,128.475,1692.5,1064.7,12190.0,12280.0,2795.25,931.5,1478.0,18.73,1.0586,438.6,110.19531200000002,130.609375,154.6875,141.75,14.1,696.75,14260.0,142.77,125.55,132.14,91.3,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.31,1575.5,3.5255,2.9704,3.585,1599.9,3.1297,28.76,533.3
2013-03-08 00:06:00,1.0238,50.62,1.4988,693.25,2070.0,0.9694,86.5,1538.25,1.3093,123.49218700000002,142.15,81.5,0.010479,143.3,734.75,128.475,1692.5,1064.7,12190.0,12280.0,2795.25,931.5,1478.0,18.73,1.0586,438.6,110.19531200000002,130.59375,154.6875,141.75,14.1,696.75,14260.0,142.77,125.55,132.14,91.3,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.32,1575.6,3.5255,2.9711,3.5839999999999996,1599.9,3.1297,28.76,533.3
2013-03-08 00:07:00,1.0237,50.62,1.4988,693.25,2070.0,0.9694,86.5,1538.25,1.3092,123.50781200000002,142.15,81.5,0.010479,143.3,734.75,128.475,1692.5,1064.7,12200.0,12285.0,2795.25,931.5,1478.0,18.73,1.0586,438.7,110.19531200000002,130.59375,154.6875,141.75,14.1,696.75,14260.0,142.77,125.55,132.14,91.33,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.33,1575.7,3.5255,2.9711,3.5839999999999996,1599.9,3.1297,28.76,533.3
2013-03-08 00:08:00,1.0237,50.64,1.4989,693.25,2070.0,0.9694,86.5,1538.25,1.3092,123.50781200000002,142.15,81.5,0.01048,143.3,734.75,128.475,1692.5,1064.7,12200.0,12285.0,2795.75,931.5,1478.0,18.73,1.0586,438.7,110.19531200000002,130.59375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.33,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.34,1575.8,3.5255,2.9711,3.583,1600.0,3.1297,28.77,533.3
2013-03-08 00:09:00,1.0237,50.61,1.4989,693.25,2070.0,0.9694,86.5,1538.25,1.3092,123.49218700000002,142.15,81.5,0.010479,143.3,734.75,128.475,1692.5,1064.7,12195.0,12285.0,2795.75,931.5,1478.5,18.73,1.0586,438.8,110.19531200000002,130.609375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.33,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.34,1576.1,3.526,2.9711,3.583,1600.0,3.1297,28.77,533.3
2013-03-08 00:10:00,1.0237,50.61,1.4986,693.25,2070.0,0.9694,86.5,1538.25,1.3092,123.49218700000002,142.15,81.5,0.010479,143.3,734.75,128.475,1692.5,1064.7,12195.0,12285.0,2795.5,931.5,1478.5,18.73,1.0586,438.8,110.19531200000002,130.609375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.33,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.35,1576.2,3.526,2.9711,3.583,1600.0,3.1297,28.77,533.3
2013-03-08 00:11:00,1.0237,50.64,1.4988,693.0,2070.0,0.9694,86.5,1538.25,1.3092,123.49218700000002,142.15,81.5,0.01048,143.3,734.75,128.475,1692.5,1064.7,12195.0,12285.0,2795.75,931.5,1478.5,18.73,1.0585,438.8,110.19531200000002,130.59375,154.6875,141.75,14.1,696.75,14261.0,142.77,125.55,132.14,91.33,110.81,2698.0,110.585,18.75,2.9536,3.1396,2122.0,134.75,110.85,1386.0,91.35,1576.3,3.5255,2.9711,3.583,1600.4,3.1297,28.77,533.3
