,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2018-08-03 00:01:00,0.7369,28.31,1.304,7310.0,367.5,2078.0,0.7691,89.01,2827.0,1.16255,113.109375,150.9,49.425,0.008979000000000001,107.15,576.0,109.55,1970.6,1068.7,22490.0,22505.0,7385.75,495.8,1684.0,882.25,10.57,1.008,329.3,126.890625,105.703125,119.3125,155.90625,142.4375,13.95,566.75,25292.0,161.45,131.63,175.04,69.06,73.46,3481.0,111.905,14.55,650.75,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.07,1215.4,2.729,2.1285,2.8139999999999996,825.5,2.069,15.295,317.1
2018-08-03 00:02:00,0.7369,28.31,1.304,7310.0,367.5,2078.0,0.76895,89.01,2827.0,1.1625,113.109375,150.9,49.425,0.008979000000000001,107.15,576.0,109.55,1970.6,1068.7,22490.0,22505.0,7386.0,495.8,1684.0,882.25,10.57,1.008,329.3,126.890625,105.703125,119.296875,155.90625,142.4375,13.95,566.75,25291.0,161.45,131.63,175.04,69.06,73.45,3481.0,111.905,14.55,650.75,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.4,2.729,2.1285,2.8139999999999996,825.5,2.0688,15.3,317.1
2018-08-03 00:03:00,0.7369,28.31,1.3039,7310.0,367.5,2078.0,0.769,89.01,2827.0,1.16255,113.109375,150.9,49.425,0.008978,107.15,576.0,109.55,1970.6,1068.7,22495.0,22510.0,7386.25,495.8,1684.0,882.25,10.57,1.008,329.3,126.890625,105.703125,119.3125,155.90625,142.4375,13.95,566.75,25293.0,161.45,131.63,175.04,69.06,73.44,3481.0,111.905,14.55,650.75,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.05,1215.4,2.729,2.1283,2.8139999999999996,825.5,2.0684,15.3,317.1
2018-08-03 00:04:00,0.7369,28.31,1.3039,7310.0,367.5,2078.0,0.769,89.01,2827.25,1.1626,113.1015625,150.9,49.425,0.008978,107.15,576.0,109.55,1970.6,1068.7,22495.0,22510.0,7386.5,495.8,1684.0,882.25,10.57,1.008,329.3,126.875,105.703125,119.296875,155.90625,142.40625,13.95,566.75,25292.0,161.45,131.63,175.04,69.06,73.44,3481.0,111.905,14.55,650.75,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.5,2.729,2.1283,2.8139999999999996,825.5,2.0684,15.3,317.1
2018-08-03 00:05:00,0.7369,28.31,1.3039,7310.0,367.5,2078.0,0.76895,89.01,2827.5,1.1625,113.109375,150.9,49.425,0.008978,107.15,576.0,109.55,1970.6,1068.7,22500.0,22520.0,7387.0,495.8,1684.0,882.25,10.57,1.008,329.3,126.875,105.703125,119.296875,155.90625,142.40625,13.95,566.75,25294.0,161.45,131.63,175.04,69.06,73.43,3481.0,111.905,14.55,650.75,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.5,2.729,2.1283,2.8139999999999996,825.4,2.0684,15.295,317.1
2018-08-03 00:06:00,0.7369,28.31,1.3039,7310.0,367.5,2078.0,0.76895,89.01,2827.5,1.16255,113.109375,150.9,49.425,0.008978,107.15,576.0,109.55,1970.6,1068.7,22495.0,22515.0,7387.25,495.8,1684.0,882.25,10.57,1.008,329.3,126.875,105.703125,119.296875,155.90625,142.40625,13.95,566.5,25294.0,161.45,131.63,175.04,69.06,73.43,3481.0,111.905,14.55,650.75,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.5,2.728,2.1283,2.8139999999999996,825.3,2.0684,15.3,317.1
2018-08-03 00:07:00,0.7369,28.31,1.3039,7295.0,367.5,2078.0,0.76895,89.01,2827.5,1.16255,113.109375,150.9,49.425,0.008977500000000001,107.15,576.0,109.55,1970.6,1068.7,22495.0,22515.0,7387.25,495.8,1684.0,882.25,10.57,1.008,329.3,126.875,105.703125,119.296875,155.90625,142.40625,13.95,566.5,25292.0,161.45,131.63,175.04,69.06,73.43,3481.0,111.905,14.55,650.5,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.6,2.7285,2.1283,2.8139999999999996,825.5,2.0684,15.3,317.1
2018-08-03 00:08:00,0.7369,28.31,1.304,7285.0,367.5,2078.0,0.769,89.01,2827.5,1.16265,113.109375,150.9,49.425,0.008977500000000001,107.15,576.0,109.55,1970.6,1068.7,22505.0,22520.0,7387.5,495.8,1684.2,882.25,10.57,1.0081,329.3,126.875,105.703125,119.296875,155.90625,142.40625,13.95,566.5,25295.0,161.45,131.63,175.04,69.06,73.43,3481.0,111.905,14.55,650.5,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.7,2.729,2.1283,2.815,826.1,2.0684,15.305,317.1
2018-08-03 00:09:00,0.737,28.31,1.3041,7290.0,367.5,2078.0,0.769,89.03,2827.75,1.16265,113.109375,150.9,49.425,0.008978,107.15,576.0,109.55,1970.6,1068.9,22505.0,22525.0,7388.25,495.8,1684.2,882.25,10.57,1.0081,329.3,126.875,105.703125,119.296875,155.90625,142.40625,13.95,566.75,25297.0,161.45,131.63,175.04,69.06,73.43,3481.0,111.905,14.55,650.5,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.06,1215.8,2.7305,2.1278,2.815,826.2,2.0684,15.305,317.1
2018-08-03 00:10:00,0.737,28.31,1.304,7280.0,367.5,2078.0,0.76905,89.03,2827.5,1.1627,113.109375,150.9,49.425,0.008978,107.15,576.0,109.55,1970.6,1068.9,22505.0,22520.0,7388.0,495.8,1684.2,882.25,10.57,1.0081,329.3,126.875,105.703125,119.3125,155.90625,142.40625,13.95,566.75,25296.0,161.45,131.63,175.04,69.06,73.43,3481.0,111.905,14.55,650.5,2.1264,2.0679,1645.0,153.16,73.42,1540.0,69.07,1215.9,2.7305,2.1278,2.815,826.3,2.0684,15.31,317.1
