,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2019-06-07 00:01:00,0.6974,27.75,1.2699,7840.0,419.0,2436.0,0.74895,68.45,2850.0,1.12745,117.5703125,139.0,85.75,0.0092235,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.5,454.7,1505.9,867.0,12.49,1.009,315.3,136.671875,107.43359375,126.953125,174.8125,153.65625,16.45,505.25,25781.0,171.34,133.94,198.9,53.28,62.5,3346.0,112.085,15.65,556.75,1.8061,1.7272,1433.0,163.13,62.49,1781.0,53.29,1337.1,2.6585,1.8066,2.339,804.2,1.7273,14.87,339.0
2019-06-07 00:02:00,0.6975,27.75,1.27,7840.0,419.0,2436.0,0.7489,68.45,2850.0,1.1275,117.5703125,139.0,85.75,0.0092235,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.75,454.7,1505.9,867.0,12.49,1.009,315.3,136.671875,107.43359375,126.96875,174.8125,153.65625,16.45,505.25,25782.0,171.34,133.94,198.9,53.31,62.51,3346.0,112.085,15.65,556.75,1.8061,1.7272,1433.0,163.13,62.49,1781.0,53.3,1337.2,2.658,1.8066,2.338,804.2,1.7273,14.87,339.0
2019-06-07 00:03:00,0.6975,27.75,1.27,7850.0,419.0,2436.0,0.7489,68.45,2850.0,1.12745,117.5703125,139.0,85.75,0.009223,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7291.0,454.7,1506.0,867.0,12.49,1.009,315.3,136.671875,107.43359375,126.96875,174.8125,153.65625,16.45,505.25,25780.0,171.34,133.94,198.86,53.31,62.5,3346.0,112.085,15.65,556.75,1.8061,1.7272,1433.0,163.13,62.5,1781.0,53.3,1337.3,2.658,1.8066,2.338,804.2,1.7273,14.87,339.0
2019-06-07 00:04:00,0.6976,27.75,1.27,7850.0,419.0,2436.0,0.7489,68.45,2849.75,1.1275,117.5703125,139.0,85.75,0.0092235,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.5,454.7,1505.9,867.0,12.49,1.009,315.3,136.671875,107.43359375,126.96875,174.84375,153.65625,16.45,505.25,25779.0,171.34,133.94,198.86,53.3,62.51,3346.0,112.085,15.65,556.75,1.8061,1.7272,1433.0,163.13,62.49,1781.0,53.3,1337.3,2.658,1.8066,2.338,804.2,1.7273,14.87,339.0
2019-06-07 00:05:00,0.6976,27.75,1.2699,7850.0,419.0,2436.0,0.7489,68.45,2849.5,1.12745,117.5703125,139.0,85.75,0.009224,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.25,454.7,1505.9,867.0,12.49,1.009,315.3,136.671875,107.43359375,126.96875,174.84375,153.65625,16.45,505.0,25779.0,171.34,133.94,198.88,53.29,62.49,3346.0,112.085,15.65,556.5,1.8061,1.7272,1433.0,163.13,62.48,1781.0,53.29,1337.4,2.658,1.8065,2.338,804.2,1.7273,14.87,339.0
2019-06-07 00:06:00,0.6976,27.75,1.2699,7850.0,418.75,2436.0,0.7489,68.45,2849.75,1.1275,117.5703125,139.0,85.75,0.0092245,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.25,454.7,1505.9,867.0,12.49,1.009,315.1,136.671875,107.43359375,126.96875,174.84375,153.65625,16.45,505.0,25778.0,171.34,133.94,198.88,53.31,62.5,3346.0,112.085,15.65,556.5,1.8061,1.7272,1433.0,163.13,62.49,1781.0,53.3,1337.5,2.658,1.8063,2.339,804.2,1.7273,14.87,339.0
2019-06-07 00:07:00,0.6976,27.75,1.2699,7850.0,418.75,2436.0,0.74895,68.45,2849.75,1.1275,117.5703125,139.0,85.75,0.009225,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.25,454.7,1505.9,867.0,12.49,1.009,315.1,136.671875,107.43359375,126.96875,174.84375,153.65625,16.45,505.0,25777.0,171.34,133.94,198.88,53.28,62.49,3346.0,112.085,15.65,556.25,1.8061,1.7272,1433.0,163.13,62.48,1781.0,53.28,1337.5,2.6585,1.8056,2.338,804.2,1.7273,14.87,339.0
2019-06-07 00:08:00,0.6976,27.75,1.27,7860.0,419.0,2436.0,0.74895,68.45,2850.0,1.1275,117.5703125,139.0,85.75,0.0092255,104.85,452.5,104.7,1859.7,1005.2,20890.0,20860.0,7290.75,454.7,1505.9,867.0,12.49,1.009,315.1,136.671875,107.43359375,126.953125,174.78125,153.65625,16.45,505.0,25780.0,171.34,133.94,198.88,53.28,62.49,3346.0,112.085,15.65,556.25,1.8061,1.7272,1433.0,163.13,62.47,1781.0,53.28,1337.5,2.6585,1.8056,2.338,804.2,1.7273,14.875,339.0
2019-06-07 00:09:00,0.6976,27.76,1.27,7860.0,419.25,2436.0,0.74895,68.45,2849.5,1.12745,117.5703125,139.0,85.75,0.0092255,104.85,452.5,104.7,1859.7,1005.1,20890.0,20860.0,7290.25,454.7,1505.8,867.0,12.49,1.009,315.1,136.671875,107.43359375,126.953125,174.78125,153.65625,16.45,505.0,25780.0,171.34,133.94,198.88,53.29,62.49,3346.0,112.085,15.65,556.25,1.8061,1.7272,1433.0,163.13,62.48,1781.0,53.28,1337.6,2.6585,1.8056,2.3369999999999997,804.7,1.7273,14.875,339.0
2019-06-07 00:10:00,0.6976,27.75,1.27,7845.0,419.25,2436.0,0.7489,68.45,2849.5,1.1275,117.5703125,139.0,85.75,0.009226,104.85,452.5,104.7,1859.7,1005.1,20885.0,20860.0,7289.5,454.7,1505.8,867.0,12.49,1.009,315.1,136.671875,107.43359375,126.953125,174.78125,153.65625,16.45,505.25,25778.0,171.34,133.94,198.88,53.28,62.48,3346.0,112.085,15.65,556.25,1.8061,1.7272,1433.0,163.13,62.48,1781.0,53.27,1337.6,2.659,1.8056,2.338,804.7,1.7273,14.875,339.0
