,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2013-01-04 00:01:00,1.0379,50.71,1.607,687.75,2255.0,1.0101,75.4,1452.0,1.304,123.85156200000002,155.05,86.575,0.011405,145.75,812.5,133.825,1629.6,1082.3,10690.0,10715.0,2722.5,600.0,870.8,1389.0,19.05,1.0792,405.2,110.17968700000002,131.421875,157.09375,144.28125,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.43,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.19,1650.8,3.6735,3.0041,3.21,1552.1,2.7798,29.74,510.2
2013-01-04 00:02:00,1.0379,50.7,1.607,687.75,2255.0,1.0101,75.4,1452.0,1.3041,123.85156200000002,155.05,86.575,0.011405,145.75,812.5,133.825,1629.6,1082.3,10690.0,10715.0,2722.75,600.0,870.8,1388.5,19.05,1.0792,405.2,110.17968700000002,131.421875,157.09375,144.28125,15.8,755.0,13300.0,143.08,126.68,131.54,92.17,111.43,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.17,1650.4,3.673,3.0041,3.21,1552.1,2.7798,29.725,510.2
2013-01-04 00:03:00,1.0379,50.58,1.607,687.75,2255.0,1.0101,75.4,1452.0,1.304,123.85156200000002,155.05,86.575,0.011405,145.75,812.5,133.825,1629.6,1082.3,10690.0,10715.0,2723.0,600.0,870.8,1388.0,19.05,1.0792,405.2,110.17968700000002,131.421875,157.09375,144.28125,15.8,755.0,13300.0,143.08,126.68,131.54,92.17,111.41,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.18,1650.5,3.6735,3.0041,3.21,1552.1,2.7798,29.74,510.2
2013-01-04 00:04:00,1.0379,50.6,1.6069,688.0,2255.0,1.0101,75.4,1451.75,1.304,123.85156200000002,155.05,86.575,0.011405,145.75,812.5,133.825,1629.6,1082.3,10690.0,10715.0,2722.5,600.0,870.8,1388.5,19.05,1.0792,405.5,110.17968700000002,131.421875,157.09375,144.28125,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.4,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.17,1649.7,3.673,3.0041,3.208,1551.5,2.7798,29.665,510.2
2013-01-04 00:05:00,1.0379,50.64,1.6069,688.0,2255.0,1.0101,75.39,1451.75,1.3039,123.85156200000002,155.05,86.575,0.011404000000000001,145.75,812.5,133.85,1629.6,1082.3,10690.0,10715.0,2722.5,600.0,870.8,1389.25,19.05,1.0791,405.5,110.17968700000002,131.4375,157.09375,144.28125,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.4,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.17,1648.9,3.6735,3.0041,3.207,1551.1,2.7803,29.62,510.2
2013-01-04 00:06:00,1.0379,50.67,1.6069,688.0,2255.0,1.0101,75.39,1451.75,1.3039,123.85156200000002,155.05,86.575,0.011403,145.75,812.5,133.85,1629.6,1082.3,10690.0,10715.0,2722.5,600.0,870.8,1389.75,19.05,1.0791,405.7,110.17968700000002,131.453125,157.15625,144.3125,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.4,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.17,1648.9,3.674,3.0041,3.207,1551.2,2.7803,29.64,510.2
2013-01-04 00:07:00,1.0379,50.62,1.6068,688.0,2255.0,1.0101,75.39,1451.75,1.3039,123.85156200000002,155.05,86.575,0.011404000000000001,145.75,812.5,133.85,1629.6,1082.3,10690.0,10715.0,2722.5,600.0,870.8,1389.75,19.05,1.079,405.8,110.17968700000002,131.453125,157.1875,144.3125,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.41,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.17,1649.1,3.674,3.0041,3.207,1551.2,2.7803,29.64,510.2
2013-01-04 00:08:00,1.0379,50.62,1.6068,688.0,2255.0,1.0101,75.39,1451.75,1.304,123.85156200000002,155.05,86.575,0.011404000000000001,145.75,812.5,133.775,1629.6,1082.3,10690.0,10715.0,2723.0,600.0,870.8,1389.25,19.05,1.079,405.3,110.17968700000002,131.453125,157.1875,144.3125,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.41,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.17,1649.2,3.6745,3.0041,3.207,1551.2,2.7803,29.655,510.2
2013-01-04 00:09:00,1.038,50.66,1.6072,688.0,2255.0,1.01,75.39,1451.75,1.3043,123.85156200000002,155.05,86.575,0.011403,145.75,812.5,133.775,1629.6,1082.3,10695.0,10715.0,2723.0,600.0,870.8,1389.25,19.05,1.0793,405.5,110.17968700000002,131.4375,157.125,144.28125,15.8,754.75,13298.0,143.08,126.68,131.54,92.17,111.45,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.2,1649.2,3.675,3.0041,3.207,1551.2,2.7803,29.655,510.2
2013-01-04 00:10:00,1.038,50.67,1.6072,688.0,2255.0,1.0101,75.39,1452.0,1.3043,123.85156200000002,155.05,86.575,0.011403,145.75,812.5,133.775,1629.6,1082.3,10695.0,10715.0,2723.25,600.0,870.8,1389.25,19.05,1.0793,405.5,110.17968700000002,131.4375,157.125,144.28125,15.8,754.75,13300.0,143.08,126.68,131.54,92.17,111.45,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.2,1649.7,3.6765,3.0056,3.207,1551.9,2.7796,29.66,510.2
2013-01-04 00:11:00,1.038,50.67,1.6072,688.25,2255.0,1.0101,75.39,1452.0,1.3042,123.85156200000002,155.05,86.575,0.011403,145.75,812.5,133.775,1629.6,1082.3,10695.0,10715.0,2723.25,600.0,870.8,1389.0,19.05,1.0793,405.5,110.17968700000002,131.453125,157.125,144.28125,15.8,754.75,13300.0,143.08,126.68,131.54,92.17,111.41,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.18,1649.8,3.6765,3.0056,3.2110000000000003,1551.9,2.7807,29.655,510.2
2013-01-04 00:12:00,1.038,50.72,1.6072,688.5,2255.0,1.0101,75.42,1451.75,1.3042,123.85156200000002,155.05,86.575,0.011401999999999999,145.75,812.5,133.775,1629.6,1082.3,10695.0,10715.0,2723.0,600.0,870.8,1390.5,19.05,1.0793,405.8,110.17968700000002,131.4375,157.125,144.28125,15.8,755.0,13300.0,143.08,126.68,131.54,92.17,111.41,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.18,1649.7,3.677,3.0056,3.2110000000000003,1552.0,2.7807,29.645,510.2
2013-01-04 00:13:00,1.0381,50.79,1.6071,688.5,2255.0,1.0101,75.42,1451.75,1.3044,123.84375,155.05,86.575,0.011401999999999999,145.75,812.5,133.775,1629.6,1082.3,10695.0,10715.0,2723.25,600.0,870.8,1390.5,19.05,1.0793,405.7,110.17968700000002,131.4375,157.125,144.25,15.8,755.0,13298.0,143.08,126.68,131.54,92.17,111.42,2687.0,110.63,18.2,3.0145,2.7618,1987.0,134.53,111.41,1426.0,92.18,1650.3,3.677,3.0056,3.2110000000000003,1552.0,2.7807,29.67,510.2
