,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2017-03-10 00:01:00,0.7509,32.92,1.2188,366.25,1894.0,0.74175,77.54,2370.0,1.06485,116.5078125,124.7,67.65,0.0087075,140.75,461.75,116.7,1761.5,922.7,19470.0,19540.0,5386.0,1365.6,1005.75,18.08,0.9938,326.8,131.125,107.859375,122.6875,155.28125,146.5,12.7,443.25,20888.0,159.52,131.56,162.9,49.66,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.63,1196.6,2.575,1.5356,2.998,936.7,1.6303,16.905,513.7
2017-03-10 00:02:00,0.7511,32.92,1.2187,366.25,1894.0,0.74175,77.54,2370.25,1.0649,116.515625,124.7,67.65,0.008707,140.75,461.75,116.7,1761.5,922.7,19475.0,19545.0,5386.0,1365.6,1005.75,18.08,0.9938,326.8,131.15625,107.859375,122.703125,155.3125,146.53125,12.7,443.25,20888.0,159.52,131.56,162.9,49.66,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.64,1196.5,2.5755,1.5356,2.998,936.3,1.6303,16.91,513.7
2017-03-10 00:03:00,0.7512,32.93,1.219,366.25,1894.0,0.74185,77.54,2370.0,1.0651,116.5078125,124.7,67.65,0.0087075,140.75,461.75,116.7,1761.5,922.7,19475.0,19545.0,5386.0,1365.6,1005.75,18.08,0.9938,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20887.0,159.52,131.56,162.9,49.66,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.65,1196.7,2.576,1.5359,3.0010000000000003,936.1,1.6303,16.915,513.7
2017-03-10 00:04:00,0.7512,32.92,1.219,366.25,1894.0,0.74185,77.54,2370.25,1.065,116.5078125,124.7,67.65,0.008708,140.75,461.75,116.7,1761.5,922.7,19470.0,19540.0,5385.75,1365.6,1005.75,18.08,0.9938,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20887.0,159.52,131.56,162.9,49.66,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.65,1196.9,2.5755,1.5362,3.0010000000000003,936.6,1.6305,16.915,513.7
2017-03-10 00:05:00,0.751,32.93,1.2189,366.25,1894.0,0.7417,77.54,2369.75,1.065,116.515625,124.7,67.65,0.008709,140.75,461.75,116.7,1761.5,922.7,19455.0,19525.0,5385.25,1365.4,1005.75,18.08,0.9939,326.8,131.140625,107.859375,122.703125,155.28125,146.53125,12.7,443.25,20887.0,159.52,131.56,162.9,49.66,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.65,1197.1,2.5765,1.5368,3.0010000000000003,936.5,1.6312,16.92,513.7
2017-03-10 00:06:00,0.7509,32.92,1.2188,366.25,1894.0,0.7417,77.54,2370.0,1.06495,116.5078125,124.7,67.65,0.0087085,140.75,461.75,116.7,1761.5,922.7,19460.0,19525.0,5385.25,1365.4,1005.75,18.08,0.9939,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20886.0,159.52,131.56,162.9,49.66,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.66,1196.9,2.5755,1.5368,3.002,936.5,1.6312,16.92,513.7
2017-03-10 00:07:00,0.7509,32.92,1.2188,366.25,1894.0,0.7417,77.54,2369.5,1.06495,116.5078125,124.7,67.65,0.0087095,140.75,461.75,116.7,1761.5,922.7,19455.0,19525.0,5384.25,1365.2,1005.75,18.08,0.9939,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20881.0,159.52,131.56,162.9,49.67,52.55,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.66,1197.0,2.575,1.5368,3.0010000000000003,936.9,1.6312,16.92,513.7
2017-03-10 00:08:00,0.7508,32.92,1.2187,366.25,1894.0,0.7417,77.54,2369.5,1.06485,116.5078125,124.7,67.65,0.008709,140.75,461.75,116.7,1761.5,922.7,19455.0,19525.0,5384.25,1365.3,1005.75,18.08,0.9939,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20881.0,159.52,131.56,162.9,49.67,52.54,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.65,1196.8,2.5755,1.5368,3.0010000000000003,936.9,1.6312,16.92,513.7
2017-03-10 00:09:00,0.7509,32.93,1.2187,366.25,1894.0,0.7417,77.54,2369.25,1.06485,116.515625,124.7,67.65,0.008709,140.75,461.75,116.7,1761.5,922.7,19455.0,19525.0,5383.5,1364.9,1005.75,18.08,0.9939,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20878.0,159.52,131.56,162.9,49.67,52.55,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.66,1197.0,2.576,1.5364,3.0010000000000003,936.8,1.6312,16.92,513.7
2017-03-10 00:10:00,0.7508,32.93,1.2187,366.25,1894.0,0.74165,77.54,2369.25,1.06485,116.515625,124.7,67.65,0.008709,140.75,461.75,116.7,1761.5,922.7,19455.0,19525.0,5383.75,1364.9,1005.75,18.08,0.9939,326.8,131.140625,107.859375,122.703125,155.28125,146.5,12.7,443.25,20878.0,159.52,131.56,162.9,49.67,52.55,3423.0,112.35,15.9,466.75,1.5323,1.631,2164.0,145.29,52.55,1570.0,49.66,1197.1,2.5765,1.5364,3.002,936.9,1.6317,16.92,513.7
