,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-06-03 00:01:00,1.0668,59.02,1.6338,766.25,2895.0,1.0239,166.99,1309.75,1.4485,119.39843700000002,124.25,88.15,0.012389,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.1852,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12217.0,125.48,116.82,106.54,100.41,115.51,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.53,1533.6,4.1235,3.0451,4.784,1815.4,2.9722,36.075,696.5
2011-06-03 00:02:00,1.0668,59.02,1.6338,766.25,2895.0,1.0239,166.99,1309.75,1.4484,119.40625,124.25,88.15,0.01239,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.1851,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12217.0,125.48,116.82,106.54,100.41,115.51,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.53,1533.4,4.1235,3.0451,4.784,1815.4,2.9722,36.075,696.5
2011-06-03 00:03:00,1.0667,59.02,1.6337,766.25,2895.0,1.0239,166.99,1310.0,1.4484,119.40625,124.25,88.15,0.012389,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.185,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.51,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.53,1533.2,4.1235,3.0451,4.784,1815.4,2.9722,36.075,696.5
2011-06-03 00:04:00,1.0667,59.02,1.6338,766.25,2895.0,1.0239,166.99,1309.75,1.4484,119.40625,124.25,88.15,0.012387,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.185,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.51,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.53,1533.0,4.125,3.0451,4.784,1815.4,2.9722,36.04,696.5
2011-06-03 00:05:00,1.0667,59.02,1.6337,766.25,2895.0,1.0239,166.99,1309.5,1.4483,119.40625,124.25,88.15,0.012387,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.1849,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.51,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.53,1532.9,4.125,3.0451,4.784,1815.4,2.9722,36.04,696.5
2011-06-03 00:06:00,1.0668,59.02,1.6337,766.25,2895.0,1.0238,166.99,1309.75,1.4485,119.40625,124.25,88.15,0.012387,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.1849,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.54,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.54,1533.0,4.125,3.0451,4.784,1815.4,2.9722,36.04,696.5
2011-06-03 00:07:00,1.0667,59.02,1.6339,766.25,2895.0,1.0238,166.99,1309.75,1.4484,119.40625,124.25,88.15,0.012386,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.1851,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.52,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.54,1533.0,4.125,3.0451,4.784,1815.4,2.9722,36.04,696.5
2011-06-03 00:08:00,1.0666,59.02,1.6342,766.25,2895.0,1.0238,166.99,1309.75,1.4481,119.40625,124.25,88.15,0.012387,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.185,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.48,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.52,1532.9,4.1245,3.0451,4.784,1815.9,2.9722,36.035,696.5
2011-06-03 00:09:00,1.0667,59.02,1.6343,766.25,2895.0,1.0238,167.0,1309.75,1.4483,119.40625,124.25,88.15,0.012387,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.185,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.48,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.52,1533.0,4.126,3.0451,4.784,1815.9,2.9722,36.035,696.5
2011-06-03 00:10:00,1.0665,59.02,1.6343,766.25,2895.0,1.0238,167.1,1309.75,1.4482,119.40625,124.25,88.15,0.012387,261.65,911.5,104.275,1692.5,1148.3,9525.0,9535.0,2322.25,597.5,818.4,1407.5,23.68,1.185,366.0,109.63281200000002,123.109375,128.96875,125.15625,17.9,774.5,12216.0,125.48,116.82,106.54,100.41,115.45,2791.0,107.71,3.0125,2.9595,2509.0,114.94,1793.0,100.43,1532.9,4.1265,3.045,4.784,1815.5,2.9722,36.02,696.5
