,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2017-02-03 00:01:00,0.7646,34.46,1.2529,367.5,2090.0,0.7677,76.67,2272.0,1.07725,117.734375,124.325,69.7,0.0088585,145.35,443.5,115.875,1735.0,915.1,18890.0,18930.0,5124.75,515.0,1351.1,1036.25,20.51,1.0088,334.2,133.734375,108.375,124.234375,159.53125,150.28125,13.0,433.5,19799.0,162.15,133.13,166.42,53.84,56.77,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.83,1215.2,2.647,1.659,3.1639999999999997,996.5,1.5393,17.355,540.7
2017-02-03 00:02:00,0.7644,34.46,1.2528,367.5,2090.0,0.7677,76.67,2272.0,1.0772,117.734375,124.325,69.7,0.008859,145.35,443.5,115.875,1735.0,915.1,18890.0,18930.0,5124.75,515.0,1351.1,1036.25,20.51,1.0088,334.2,133.734375,108.375,124.234375,159.53125,150.28125,13.0,433.5,19799.0,162.15,133.13,166.42,53.84,56.79,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.84,1215.2,2.6475,1.659,3.1630000000000003,996.5,1.5393,17.35,540.7
2017-02-03 00:03:00,0.7645,34.46,1.2527,367.5,2090.0,0.7677,76.67,2272.25,1.0772,117.734375,124.325,69.7,0.0088585,145.35,443.5,115.875,1735.0,915.1,18900.0,18935.0,5125.25,515.0,1351.1,1036.75,20.51,1.0088,334.2,133.734375,108.375,124.234375,159.53125,150.28125,13.0,433.5,19802.0,162.15,133.13,166.42,53.84,56.8,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.85,1215.1,2.6475,1.659,3.1630000000000003,996.1,1.5393,17.355,540.7
2017-02-03 00:04:00,0.7645,34.46,1.2528,367.5,2090.0,0.7677,76.67,2272.0,1.0772,117.7421875,124.325,69.7,0.008859,145.35,443.5,115.875,1735.0,915.1,18895.0,18930.0,5124.75,515.0,1351.1,1037.5,20.51,1.0088,334.3,133.75,108.375,124.234375,159.53125,150.28125,13.0,433.5,19800.0,162.15,133.13,166.42,53.84,56.79,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.84,1215.3,2.6475,1.659,3.165,996.1,1.5393,17.355,540.7
2017-02-03 00:05:00,0.7644,34.47,1.2526,367.5,2090.0,0.76775,76.67,2272.0,1.0771,117.7421875,124.325,69.7,0.0088565,145.35,443.5,115.875,1735.0,915.1,18900.0,18935.0,5124.5,515.0,1351.1,1037.25,20.51,1.0088,334.5,133.75,108.375,124.25,159.53125,150.28125,13.0,433.5,19800.0,162.15,133.13,166.42,53.86,56.8,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.85,1215.1,2.648,1.659,3.165,996.0,1.5393,17.355,540.7
2017-02-03 00:06:00,0.7643,34.47,1.2524,367.5,2090.0,0.76775,76.67,2271.75,1.0771,117.7421875,124.325,69.7,0.0088575,145.35,443.5,115.875,1735.0,914.9,18900.0,18935.0,5124.0,515.0,1350.9,1037.75,20.51,1.0087,334.5,133.75,108.375,124.234375,159.53125,150.28125,13.0,433.5,19798.0,162.15,133.13,166.42,53.85,56.8,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.84,1215.3,2.648,1.659,3.165,996.0,1.5393,17.355,540.7
2017-02-03 00:07:00,0.7644,34.47,1.2524,367.5,2090.0,0.76775,76.7,2271.75,1.0771,117.7421875,124.325,69.7,0.0088575,145.35,443.5,115.875,1735.0,914.9,18895.0,18930.0,5124.0,515.0,1350.9,1037.5,20.51,1.0087,334.5,133.75,108.375,124.234375,159.53125,150.28125,13.0,433.5,19798.0,162.15,133.13,166.42,53.85,56.8,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.84,1215.2,2.648,1.659,3.165,995.7,1.5393,17.35,540.7
2017-02-03 00:08:00,0.7644,34.47,1.2526,367.5,2090.0,0.76775,76.7,2271.75,1.07715,117.7421875,124.325,69.7,0.008858,145.35,443.5,115.875,1735.0,914.9,18895.0,18930.0,5124.25,515.0,1350.9,1037.5,20.51,1.0087,334.5,133.75,108.375,124.234375,159.5625,150.28125,13.0,433.5,19797.0,162.15,133.13,166.42,53.85,56.8,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.85,1215.2,2.6475,1.659,3.165,995.7,1.5393,17.35,540.7
2017-02-03 00:09:00,0.7644,34.47,1.2526,367.5,2090.0,0.76775,76.7,2272.0,1.07705,117.7421875,124.325,69.7,0.008856999999999999,145.35,443.5,115.875,1735.0,915.0,18900.0,18935.0,5124.25,515.0,1350.9,1037.25,20.51,1.0087,334.4,133.75,108.375,124.234375,159.5625,150.28125,13.0,433.5,19797.0,162.15,133.13,166.42,53.86,56.8,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.85,1215.2,2.648,1.659,3.165,995.7,1.5393,17.345,540.7
2017-02-03 00:10:00,0.7643,34.47,1.2526,367.5,2090.0,0.76775,76.58,2272.0,1.077,117.7421875,124.325,69.7,0.008856999999999999,145.35,443.5,115.875,1735.0,915.0,18905.0,18940.0,5124.25,515.0,1350.9,1037.25,20.51,1.0087,334.3,133.75,108.375,124.234375,159.5625,150.28125,13.0,433.25,19798.0,162.15,133.13,166.42,53.85,56.82,3252.0,112.28,17.45,501.25,1.6544,1.5414,2179.0,147.66,56.83,1683.0,53.85,1215.2,2.6485,1.659,3.165,995.7,1.5393,17.345,540.7
