,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2017-04-07 00:01:00,0.7522,31.32,1.2488,361.0,2053.0,0.7467,74.5,2347.5,1.06765,118.203125,132.45,73.05,0.0090685,140.1,420.5,110.125,1771.3,957.1,18685.0,18745.0,5410.5,485.8,1358.7,939.5,16.58,0.9992,308.3,134.90625,108.3046875,125.359375,162.09375,152.15625,13.8,423.5,20553.0,162.76,132.32,172.0,52.5,55.64,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.51,1264.6,2.6575,1.632,3.321,965.6,1.7551,18.4,476.6
2017-04-07 00:02:00,0.7524,31.32,1.2488,361.0,2053.0,0.7467,74.46,2348.25,1.06765,118.1953125,132.45,73.05,0.0090685,140.1,420.5,110.125,1771.3,957.1,18690.0,18750.0,5411.75,485.8,1359.4,939.75,16.58,0.9992,308.3,134.890625,108.3046875,125.34375,162.0625,152.125,13.8,423.5,20558.0,162.76,132.32,172.0,52.52,55.65,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.53,1264.7,2.658,1.632,3.321,965.5,1.7551,18.4,476.6
2017-04-07 00:03:00,0.7526,31.31,1.2489,361.0,2053.0,0.74675,74.44,2348.5,1.06765,118.1953125,132.45,73.05,0.009068000000000001,140.1,420.5,110.125,1771.3,957.1,18685.0,18745.0,5412.0,485.8,1359.5,939.75,16.58,0.9992,308.3,134.890625,108.3046875,125.34375,162.0625,152.125,13.75,423.5,20560.0,162.76,132.32,172.0,52.54,55.67,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.54,1264.3,2.6585,1.6332,3.321,965.5,1.7551,18.4,476.6
2017-04-07 00:04:00,0.7525,31.31,1.2489,361.0,2053.0,0.7467,74.44,2348.0,1.06765,118.1875,132.45,73.05,0.0090685,140.1,420.5,110.125,1771.3,957.1,18685.0,18745.0,5411.0,485.8,1359.2,939.75,16.58,0.9992,308.3,134.890625,108.3046875,125.359375,162.0625,152.125,13.8,423.5,20556.0,162.76,132.32,172.0,52.54,55.66,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.52,1264.4,2.657,1.6332,3.322,965.4,1.7551,18.4,476.6
2017-04-07 00:05:00,0.7525,31.31,1.2489,361.0,2053.0,0.7467,74.44,2347.75,1.0677,118.1875,132.45,73.05,0.009067,140.1,420.5,110.125,1771.3,957.1,18685.0,18745.0,5411.5,485.8,1359.3,939.75,16.58,0.9992,308.3,134.890625,108.3046875,125.34375,162.03125,152.125,13.8,423.5,20555.0,162.76,132.32,172.0,52.54,55.67,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.53,1264.2,2.6575,1.6332,3.322,965.4,1.7551,18.395,476.6
2017-04-07 00:06:00,0.7525,31.31,1.2489,361.0,2053.0,0.7467,74.44,2348.0,1.06765,118.1875,132.45,73.05,0.009064000000000001,140.1,420.5,110.125,1771.3,957.1,18700.0,18755.0,5411.75,485.8,1359.4,939.5,16.58,0.9991,308.3,134.875,108.3046875,125.34375,162.03125,152.09375,13.8,423.5,20558.0,162.76,132.32,172.0,52.55,55.69,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.55,1264.0,2.658,1.6332,3.323,965.3,1.7552,18.39,476.6
2017-04-07 00:07:00,0.7526,31.31,1.2488,361.0,2053.0,0.7467,74.44,2348.25,1.0677,118.1875,132.45,73.05,0.0090635,140.1,420.5,110.125,1771.3,957.1,18715.0,18770.0,5412.5,485.8,1359.9,939.5,16.58,0.9992,308.3,134.875,108.3046875,125.34375,162.03125,152.125,13.8,423.5,20561.0,162.76,132.32,172.0,52.55,55.67,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.54,1264.0,2.6585,1.6325,3.322,965.4,1.7552,18.395,476.6
2017-04-07 00:08:00,0.7528,31.32,1.2488,361.0,2053.0,0.74675,74.44,2348.5,1.0678,118.1875,132.45,73.05,0.0090645,140.1,420.5,110.125,1771.3,957.1,18715.0,18775.0,5413.25,485.8,1360.2,939.5,16.58,0.9992,308.3,134.875,108.3046875,125.328125,162.0,152.09375,13.75,423.5,20563.0,162.76,132.32,172.0,52.55,55.67,3409.0,112.365,23.35,492.0,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.53,1264.0,2.6585,1.6332,3.321,965.3,1.7545,18.39,476.6
2017-04-07 00:09:00,0.7527,31.32,1.2487,361.0,2053.0,0.74665,74.44,2348.75,1.0678,118.1875,132.45,73.05,0.0090655,140.1,420.5,110.125,1771.3,957.1,18710.0,18765.0,5413.5,485.8,1360.2,939.5,16.58,0.9992,308.3,134.875,108.3046875,125.328125,162.0,152.09375,13.75,423.5,20565.0,162.76,132.32,172.0,52.55,55.64,3409.0,112.365,23.35,491.5,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.51,1264.0,2.658,1.6321,3.321,965.1,1.7544,18.39,476.6
2017-04-07 00:10:00,0.7526,31.32,1.2487,361.0,2053.0,0.74665,74.44,2348.25,1.06775,118.1875,132.45,73.05,0.0090655,140.1,420.5,110.125,1771.3,957.1,18705.0,18755.0,5413.0,485.8,1359.8,939.5,16.58,0.9992,308.3,134.890625,108.3046875,125.34375,162.0625,152.125,13.75,423.25,20560.0,162.76,132.32,172.0,52.51,55.64,3409.0,112.365,23.35,491.5,1.6346,1.7453,2146.0,148.15,55.68,1660.0,52.5,1264.5,2.6575,1.6319,3.321,965.5,1.7544,18.4,476.6
