,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2011-03-04 00:01:00,1.0126,58.94,1.6278,734.25,3745.0,1.0276,211.0,1330.5,1.3953,116.17968700000002,132.65,88.55,0.012147,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2374.0,594.4,829.9,1410.0,30.59,1.0725,371.1,108.953125,117.921875,121.21875,118.71875,19.55,827.5,12184.0,122.66,115.98,103.1,102.0,114.96,2984.0,107.595,2361.0,116.12,2430.0,102.0,1419.4,4.489,3.0539,3.773,1835.0,3.0319,34.46,758.8
2011-03-04 00:02:00,1.013,58.94,1.6278,734.25,3745.0,1.0276,211.0,1330.5,1.3954,116.17968700000002,132.65,88.55,0.012147,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2374.0,594.4,829.9,1410.0,30.59,1.0725,371.1,108.953125,117.9375,121.21875,118.71875,19.55,827.5,12184.0,122.66,115.98,103.1,102.0,114.96,2984.0,107.595,2361.0,116.12,2430.0,101.96,1419.5,4.489,3.0539,3.773,1835.0,3.0319,34.46,758.8
2011-03-04 00:03:00,1.0129,58.94,1.6278,734.25,3745.0,1.0276,211.0,1330.75,1.3954,116.1875,132.65,88.55,0.012145999999999999,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2373.75,594.4,829.9,1410.0,30.59,1.0725,371.1,108.953125,117.953125,121.21875,118.75,19.55,827.5,12184.0,122.66,115.98,103.1,102.0,114.87,2984.0,107.595,2361.0,116.12,2430.0,102.01,1419.5,4.4905,3.0539,3.773,1835.0,3.0319,34.46,758.8
2011-03-04 00:04:00,1.0128,58.94,1.6278,734.25,3745.0,1.0276,211.0,1330.75,1.3954,116.1875,132.65,88.55,0.012145999999999999,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2373.75,594.4,829.9,1410.0,30.59,1.0725,371.1,108.953125,117.96875,121.21875,118.75,19.55,827.5,12184.0,122.66,115.98,103.1,102.0,114.87,2984.0,107.595,2361.0,116.12,2430.0,101.96,1419.5,4.4925,3.0539,3.773,1835.0,3.0319,34.465,758.8
2011-03-04 00:05:00,1.013,58.94,1.6277,734.25,3745.0,1.0276,211.0,1331.0,1.3954,116.1875,132.65,88.55,0.012145999999999999,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2373.75,594.4,829.9,1410.0,30.59,1.0725,371.1,108.953125,117.953125,121.21875,118.75,19.55,827.5,12184.0,122.66,115.98,103.1,101.98,114.87,2984.0,107.595,2361.0,116.12,2430.0,101.93,1419.3,4.4925,3.0515,3.773,1835.0,3.0319,34.465,758.8
2011-03-04 00:06:00,1.013,58.94,1.6277,734.25,3745.0,1.0276,211.0,1330.75,1.3954,116.1875,132.65,88.55,0.012145,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2373.5,594.4,829.9,1410.0,30.59,1.0726,371.1,108.953125,117.953125,121.21875,118.75,19.55,827.5,12184.0,122.66,115.98,103.1,101.98,114.87,2984.0,107.595,2361.0,116.12,2430.0,101.89,1419.4,4.491,3.0515,3.773,1835.0,3.0319,34.47,758.8
2011-03-04 00:07:00,1.0127,58.94,1.6277,734.5,3745.0,1.0276,211.0,1330.5,1.3954,116.1875,132.65,88.55,0.012145,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2372.75,594.4,829.6,1410.0,30.59,1.0726,371.1,108.953125,117.953125,121.21875,118.78125,19.55,827.5,12184.0,122.66,115.98,103.1,101.98,114.9,2984.0,107.595,2361.0,116.12,2430.0,101.89,1419.3,4.491,3.0515,3.773,1835.0,3.0319,34.47,758.8
2011-03-04 00:08:00,1.0127,58.94,1.6277,734.5,3745.0,1.0276,211.35,1330.5,1.3954,116.17968700000002,132.65,88.55,0.012145,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2372.0,594.4,829.4,1410.0,30.59,1.0726,371.1,108.94531200000002,117.953125,121.21875,118.78125,19.55,827.5,12184.0,122.66,115.98,103.1,101.98,114.9,2984.0,107.595,2361.0,116.12,2430.0,101.92,1419.4,4.49,3.0515,3.773,1835.0,3.0319,34.45,758.8
2011-03-04 00:09:00,1.0127,58.94,1.6277,734.5,3745.0,1.0276,210.88,1330.5,1.3954,116.17968700000002,132.65,88.55,0.012145,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2372.0,594.4,829.4,1410.0,30.59,1.0726,371.1,108.94531200000002,117.953125,121.21875,118.78125,19.55,827.5,12184.0,122.66,115.98,103.1,101.98,114.91,2984.0,107.595,2361.0,116.12,2430.0,102.0,1419.3,4.49,3.0515,3.773,1835.0,3.0319,34.45,758.8
2011-03-04 00:10:00,1.0127,58.94,1.6277,734.5,3745.0,1.0276,210.88,1330.75,1.3954,116.17968700000002,132.65,88.55,0.012145999999999999,276.35,921.5,115.05,1758.4,1139.3,10695.0,10670.0,2372.5,594.4,829.4,1410.0,30.59,1.0726,371.1,108.94531200000002,117.953125,121.21875,118.78125,19.55,827.5,12184.0,122.66,115.98,103.1,101.98,114.91,2984.0,107.595,2361.0,116.12,2430.0,102.02,1419.3,4.49,3.0515,3.773,1835.0,3.0319,34.47,758.8
