,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2014-11-07 00:01:00,0.8523,32.69,1.5815,370.0,2876.0,0.8731,63.14,2031.5,1.2376,119.125,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16910.0,16960.0,4173.5,1175.2,1031.25,15.84,1.0278,395.4,109.6796875,125.921875,155.71875,140.40625,14.85,517.5,17538.0,151.12,128.14,145.16,77.59,82.4,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.57,1134.1,3.024,2.447,4.407,1192.2,2.1224,15.24,420.8
2014-11-07 00:02:00,0.852,32.69,1.5815,370.0,2876.0,0.8731,63.14,2031.5,1.2376,119.1171875,230.975,88.55,0.008664,187.75,575.25,165.45,1802.5,989.1,16910.0,16960.0,4173.25,1175.2,1032.5,15.84,1.0278,395.4,109.6796875,125.921875,155.71875,140.40625,14.85,517.5,17539.0,151.12,128.14,145.16,77.57,82.4,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.57,1131.8,3.024,2.447,4.407,1191.0,2.1224,15.185,420.8
2014-11-07 00:03:00,0.8524,32.69,1.5815,370.0,2876.0,0.8731,63.14,2031.5,1.2378,119.1171875,230.975,88.55,0.008666,187.75,575.25,165.45,1802.5,989.1,16905.0,16955.0,4173.25,1175.5,1032.5,15.84,1.0278,395.4,109.6796875,125.921875,155.71875,140.40625,14.85,517.5,17539.0,151.12,128.14,145.16,77.56,82.4,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1133.3,3.0245,2.447,4.407,1192.1,2.1224,15.205,420.8
2014-11-07 00:04:00,0.8521,32.69,1.5815,370.0,2876.0,0.8731,63.14,2031.75,1.2377,119.1171875,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16910.0,16960.0,4173.5,1175.5,1032.5,15.84,1.0278,395.4,109.6796875,125.90625,155.71875,140.40625,14.85,517.5,17540.0,151.12,128.14,145.16,77.56,82.4,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1132.6,3.0245,2.447,4.406000000000001,1191.8,2.1243,15.2,420.8
2014-11-07 00:05:00,0.8522,32.72,1.5815,370.0,2876.0,0.8731,63.03,2031.75,1.2377,119.1171875,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16905.0,16955.0,4174.0,1175.5,1032.5,15.84,1.0279,395.4,109.6796875,125.90625,155.71875,140.40625,14.85,517.5,17542.0,151.12,128.14,145.16,77.56,82.4,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.58,1133.1,3.024,2.447,4.406000000000001,1191.5,2.1243,15.2,420.8
2014-11-07 00:06:00,0.8525,32.74,1.5816,370.0,2876.0,0.8731,63.03,2031.5,1.2378,119.1171875,230.975,88.55,0.008667,187.75,575.25,165.45,1802.5,989.1,16900.0,16950.0,4173.0,1175.4,1032.5,15.84,1.0279,395.4,109.6796875,125.90625,155.71875,140.375,14.85,517.5,17539.0,151.12,128.14,145.16,77.56,82.39,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.57,1132.7,3.0245,2.447,4.408,1192.0,2.1243,15.2,420.8
2014-11-07 00:07:00,0.8528,32.74,1.5816,369.75,2876.0,0.8731,63.03,2031.25,1.2378,119.1171875,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16905.0,16955.0,4172.75,1175.5,1032.5,15.84,1.0279,395.5,109.6796875,125.921875,155.71875,140.375,14.85,517.5,17538.0,151.12,128.14,145.16,77.56,82.37,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1132.2,3.023,2.447,4.407,1191.5,2.1243,15.185,420.8
2014-11-07 00:08:00,0.853,32.74,1.5816,369.75,2876.0,0.8732,63.03,2031.25,1.2378,119.1171875,230.975,88.55,0.008666,187.75,575.25,165.45,1802.5,989.1,16900.0,16950.0,4172.5,1175.1,1032.5,15.84,1.0281,395.5,109.6796875,125.921875,155.71875,140.375,14.85,517.5,17537.0,151.12,128.14,145.16,77.56,82.39,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1133.0,3.023,2.447,4.406000000000001,1192.4,2.1243,15.2,420.8
2014-11-07 00:09:00,0.8529,32.73,1.5817,369.75,2876.0,0.8733,63.03,2031.0,1.2378,119.125,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16905.0,16955.0,4172.5,1175.0,1032.5,15.84,1.0281,395.5,109.6796875,125.921875,155.71875,140.40625,14.85,517.5,17536.0,151.12,128.14,145.16,77.56,82.39,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1132.9,3.023,2.447,4.402,1192.3,2.1243,15.195,420.8
2014-11-07 00:10:00,0.853,32.72,1.5817,369.75,2876.0,0.8733,63.03,2031.25,1.2376,119.1171875,230.975,88.55,0.008662999999999999,187.75,575.25,165.45,1802.5,989.1,16910.0,16960.0,4173.0,1175.2,1032.5,15.84,1.0281,395.5,109.6796875,125.921875,155.71875,140.40625,14.85,517.5,17540.0,151.12,128.14,145.16,77.56,82.37,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1132.9,3.0235,2.447,4.401,1191.9,2.1243,15.185,420.8
2014-11-07 00:11:00,0.8529,32.72,1.5817,369.75,2876.0,0.8733,63.03,2031.5,1.2375,119.1171875,230.975,88.55,0.008664,187.75,575.25,165.45,1802.5,989.1,16905.0,16960.0,4173.25,1175.4,1032.5,15.84,1.0279,395.5,109.6796875,125.90625,155.71875,140.40625,14.85,517.5,17540.0,151.12,128.14,145.16,77.56,82.37,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1133.3,3.024,2.447,4.4030000000000005,1192.4,2.1243,15.195,420.8
2014-11-07 00:12:00,0.853,32.73,1.5817,370.0,2876.0,0.8733,63.03,2031.0,1.2376,119.1171875,230.975,88.55,0.008664,187.75,575.25,165.45,1802.5,989.1,16910.0,16960.0,4172.75,1175.3,1033.5,15.84,1.0279,395.8,109.6796875,125.921875,155.71875,140.375,14.85,517.75,17538.0,151.12,128.14,145.16,77.56,82.37,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1133.4,3.024,2.447,4.4030000000000005,1192.0,2.1243,15.2,420.8
2014-11-07 00:13:00,0.853,32.73,1.5815,370.0,2876.0,0.8732,63.03,2031.5,1.2376,119.1171875,230.975,88.55,0.008662999999999999,187.75,575.25,165.45,1802.5,989.1,16930.0,16980.0,4172.75,1175.3,1033.75,15.84,1.0279,396.0,109.6796875,125.921875,155.71875,140.375,14.85,517.75,17539.0,151.12,128.14,145.16,77.56,82.37,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1133.0,3.0235,2.447,4.4030000000000005,1191.9,2.1243,15.19,420.8
2014-11-07 00:14:00,0.8531,32.73,1.5816,370.0,2876.0,0.8732,63.03,2031.25,1.2377,119.1171875,230.975,88.55,0.008664,187.75,575.25,165.45,1802.5,989.1,16925.0,16975.0,4173.0,1175.3,1033.75,15.84,1.0279,396.0,109.6796875,125.921875,155.78125,140.40625,14.85,517.75,17539.0,151.12,128.14,145.16,77.56,82.39,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1133.0,3.0235,2.447,4.4030000000000005,1191.9,2.1243,15.195,420.8
2014-11-07 00:15:00,0.8532,32.74,1.5817,370.0,2876.0,0.8732,63.03,2031.25,1.2379,119.1328125,230.975,88.55,0.008667,187.75,575.25,165.45,1802.5,989.1,16920.0,16970.0,4172.5,1174.9,1033.75,15.84,1.0279,396.0,109.6796875,125.9375,155.8125,140.4375,14.85,517.75,17538.0,151.12,128.14,145.16,77.56,82.39,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.57,1133.3,3.0235,2.447,4.4030000000000005,1191.9,2.1243,15.2,420.8
2014-11-07 00:16:00,0.8531,32.74,1.5817,370.0,2876.0,0.8732,63.03,2031.0,1.2378,119.125,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16915.0,16965.0,4172.0,1174.8,1033.25,15.84,1.0279,395.7,109.6796875,125.9375,155.8125,140.4375,14.85,517.5,17536.0,151.12,128.14,145.16,77.56,82.37,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1133.3,3.0235,2.447,4.402,1191.5,2.1243,15.195,420.8
2014-11-07 00:17:00,0.853,32.71,1.5817,370.0,2876.0,0.8732,63.03,2030.75,1.2377,119.125,230.975,88.55,0.008664,187.75,575.25,165.45,1802.5,989.1,16915.0,16965.0,4172.25,1174.8,1032.75,15.84,1.028,395.7,109.6796875,125.9375,155.8125,140.4375,14.85,517.5,17538.0,151.12,128.14,145.16,77.56,82.35,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1133.2,3.024,2.447,4.402,1191.5,2.1243,15.185,420.8
2014-11-07 00:18:00,0.8531,32.71,1.5816,370.0,2876.0,0.8732,63.03,2031.25,1.2377,119.125,230.975,88.55,0.008662999999999999,187.75,575.25,165.45,1802.5,989.1,16915.0,16965.0,4172.75,1175.0,1032.75,15.84,1.028,395.7,109.6796875,125.9375,155.8125,140.4375,14.85,517.5,17538.0,151.12,128.14,145.16,77.56,82.34,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.55,1133.2,3.0235,2.447,4.402,1191.0,2.1243,15.185,420.8
2014-11-07 00:19:00,0.8531,32.71,1.5816,370.0,2876.0,0.8732,63.03,2030.75,1.2377,119.125,230.975,88.55,0.008664,187.75,575.25,165.45,1802.5,989.1,16905.0,16950.0,4172.0,1175.0,1033.25,15.84,1.028,395.6,109.6796875,125.9375,155.8125,140.4375,14.85,517.25,17536.0,151.12,128.14,145.16,77.56,82.34,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1133.7,3.0235,2.447,4.401,1191.0,2.1243,15.195,420.8
2014-11-07 00:20:00,0.8532,32.71,1.5816,370.0,2876.0,0.8732,63.03,2030.75,1.2377,119.125,230.975,88.55,0.008665,187.75,575.25,165.45,1802.5,989.1,16905.0,16950.0,4171.75,1174.8,1032.75,15.84,1.028,395.6,109.6796875,125.9375,155.8125,140.4375,14.85,517.0,17536.0,151.12,128.14,145.16,77.56,82.33,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.56,1133.7,3.024,2.447,4.401,1191.5,2.1243,15.2,420.8
2014-11-07 00:21:00,0.8532,32.71,1.5816,370.0,2876.0,0.8733,63.03,2030.75,1.2377,119.125,230.975,88.55,0.008667,187.75,575.25,165.45,1802.5,989.1,16905.0,16955.0,4171.75,1174.9,1032.75,15.84,1.028,395.9,109.6796875,125.9375,155.78125,140.46875,14.85,517.0,17536.0,151.12,128.14,145.16,77.56,82.34,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.58,1133.5,3.0235,2.447,4.4030000000000005,1192.5,2.1243,15.2,420.8
2014-11-07 00:22:00,0.8531,32.71,1.5816,370.0,2876.0,0.8733,63.03,2031.25,1.2376,119.125,230.975,88.55,0.008666,187.75,575.25,165.45,1802.5,989.1,16905.0,16955.0,4173.25,1175.2,1032.75,15.84,1.028,395.9,109.6796875,125.9375,155.78125,140.46875,14.85,517.0,17538.0,151.12,128.14,145.16,77.56,82.34,3113.0,110.98,19.4,740.5,2.4948,2.1416,2005.0,144.83,82.34,1921.0,77.58,1133.5,3.0235,2.447,4.4030000000000005,1192.1,2.1243,15.195,420.8
