,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-09-05 00:01:00,0.8161,49.4,1.7573,556.25,2652.0,0.9369,68.35,1232.75,1.4272,113.14843700000002,110.625,69.575,0.00937,146.25,804.5,103.1,12105.0,12200.0,1768.5,523.0,716.5,1217.0,12.61,0.9007,336.2,106.57031200000002,117.265625,119.5625,24.2,761.5,11166.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,800.9,3.233,3.0169,7.39,1376.0,2.7273,12.805,386.9
2008-09-05 00:02:00,0.8161,49.4,1.7573,556.25,2652.0,0.9369,68.35,1232.5,1.4274,113.15625,110.625,69.575,0.00937,146.25,804.5,103.1,12105.0,12200.0,1770.0,523.0,716.5,1217.0,12.61,0.9007,336.2,106.57031200000002,117.28125,119.578125,24.2,761.5,11166.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,800.9,3.233,3.0169,7.39,1376.0,2.7273,12.805,386.9
2008-09-05 00:03:00,0.8164,49.4,1.7574,556.25,2652.0,0.9369,68.35,1232.5,1.4272,113.15625,110.625,69.575,0.009369,146.25,804.5,103.1,12105.0,12200.0,1770.0,523.0,716.5,1217.0,12.61,0.9007,336.2,106.57031200000002,117.28125,119.578125,24.2,761.5,11166.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,800.9,3.233,3.0169,7.39,1376.0,2.7273,12.805,386.9
2008-09-05 00:04:00,0.8164,49.4,1.7571,556.25,2652.0,0.9369,68.35,1232.5,1.4269,113.15625,110.625,69.575,0.009369,146.25,804.5,103.1,12105.0,12200.0,1770.0,523.0,716.5,1217.0,12.61,0.9007,336.2,106.57031200000002,117.28125,119.578125,24.2,761.5,11166.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,800.6,3.233,3.0169,7.39,1376.0,2.7273,12.805,386.9
2008-09-05 00:05:00,0.8163,49.4,1.7571,556.25,2652.0,0.9369,68.35,1232.75,1.4271,113.140625,110.625,69.575,0.009369,146.25,804.5,103.1,12105.0,12200.0,1770.0,523.0,716.5,1217.0,12.61,0.9007,336.2,106.5625,117.265625,119.5625,24.2,761.5,11166.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,801.3,3.233,3.0169,7.39,1376.0,2.7273,12.81,386.9
2008-09-05 00:06:00,0.8163,49.4,1.7567,557.0,2652.0,0.9369,68.35,1233.0,1.427,113.140625,110.625,69.575,0.009370999999999999,146.25,804.5,103.1,12105.0,12200.0,1770.0,523.0,716.5,1217.0,12.61,0.9006,336.2,106.55468700000002,117.265625,119.578125,24.2,761.5,11168.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,801.0,3.233,3.0169,7.39,1376.0,2.7273,12.8,386.9
2008-09-05 00:07:00,0.816,49.4,1.7568,557.0,2652.0,0.9369,68.35,1232.75,1.427,113.13281200000002,110.625,69.575,0.009373999999999999,146.25,804.5,103.1,12105.0,12200.0,1769.0,523.0,716.5,1217.0,12.61,0.9006,336.2,106.55468700000002,117.25,119.578125,24.2,761.5,11168.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.91,801.6,3.233,3.0169,7.39,1376.0,2.7273,12.81,386.9
2008-09-05 00:08:00,0.816,49.4,1.7568,557.0,2652.0,0.9369,68.35,1233.0,1.4269,113.13281200000002,110.625,69.575,0.009373000000000001,146.25,804.5,103.1,12105.0,12200.0,1769.25,523.0,716.5,1217.0,12.61,0.9006,336.2,106.55468700000002,117.25,119.546875,24.2,761.5,11168.0,114.99,109.325,91.14,107.93,106.45,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.91,801.4,3.233,3.0169,7.39,1376.0,2.7273,12.81,386.9
2008-09-05 00:09:00,0.816,49.4,1.7568,557.0,2652.0,0.9369,68.35,1233.25,1.4269,113.125,110.625,69.575,0.009372,146.25,804.5,103.1,12105.0,12200.0,1769.25,523.0,716.5,1217.0,12.61,0.9006,336.2,106.55468700000002,117.234375,119.546875,24.2,761.5,11168.0,114.99,109.325,91.14,107.93,106.46,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.89,801.3,3.233,3.0169,7.39,1376.0,2.7273,12.815,386.9
2008-09-05 00:10:00,0.816,49.4,1.7568,557.0,2652.0,0.9369,68.35,1233.25,1.4269,113.125,110.625,69.575,0.009373999999999999,146.25,804.5,103.1,12105.0,12200.0,1769.25,523.0,716.5,1217.0,12.61,0.9005,336.2,106.55468700000002,117.25,119.546875,24.2,761.5,11168.0,114.99,109.325,91.14,107.93,106.47,3240.0,103.76,30056.0,27236.0,105.87,1552.0,107.9,801.3,3.233,3.0169,7.39,1376.0,2.7273,12.815,386.9
