,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2013-05-03 00:01:00,1.0234,48.75,1.552,661.5,2407.0,0.9878,86.36,1591.25,1.3077,124.77343700000002,149.75,92.825,0.010206999999999999,138.55,790.25,123.7,1739.2,1033.1,13940.0,13995.0,2903.25,935.6,1378.25,17.59,1.0705,407.9,110.328125,133.625,166.0625,149.21875,14.65,732.0,14754.0,147.01,127.0,139.18,93.79,102.65,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.79,1472.3,3.1775,2.8498,4.035,1505.4,2.7731,24.015,499.6
2013-05-03 00:02:00,1.0234,48.74,1.552,661.75,2407.0,0.9877,86.36,1591.25,1.3077,124.77343700000002,149.75,92.825,0.010209000000000001,138.55,790.25,123.7,1739.2,1033.1,13940.0,13995.0,2903.25,935.6,1378.25,17.59,1.0705,407.9,110.328125,133.625,166.0625,149.21875,14.65,732.0,14754.0,147.01,127.0,139.18,93.79,102.65,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.78,1472.0,3.175,2.8498,4.034,1505.4,2.7731,24.01,499.6
2013-05-03 00:03:00,1.0234,48.73,1.5519,661.75,2407.0,0.9878,86.36,1591.25,1.3077,124.77343700000002,149.75,92.825,0.010209000000000001,138.55,790.25,123.7,1739.2,1033.1,13940.0,13995.0,2903.25,935.6,1378.25,17.59,1.0705,407.9,110.328125,133.625,166.0625,149.21875,14.65,732.0,14754.0,147.01,127.0,139.18,93.79,102.65,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.79,1472.3,3.176,2.8498,4.034,1505.4,2.7731,24.03,499.6
2013-05-03 00:04:00,1.0235,48.73,1.5518,661.75,2407.0,0.9878,86.36,1591.5,1.3077,124.77343700000002,149.75,92.825,0.010209000000000001,138.55,790.25,123.725,1739.2,1033.1,13940.0,13995.0,2903.5,935.6,1378.25,17.59,1.0705,407.9,110.328125,133.625,166.0625,149.21875,14.65,732.0,14754.0,147.01,127.0,139.18,93.79,102.64,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.81,1472.6,3.1775,2.8498,4.034,1506.0,2.7731,24.03,499.6
2013-05-03 00:05:00,1.0236,48.73,1.5518,661.75,2407.0,0.9878,86.41,1591.25,1.3076,124.77343700000002,149.75,92.825,0.010206999999999999,138.55,790.25,123.75,1739.2,1033.1,13940.0,13995.0,2903.5,935.6,1378.25,17.59,1.0705,407.9,110.328125,133.640625,166.0625,149.21875,14.65,732.0,14754.0,147.01,127.0,139.18,93.79,102.63,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.8,1472.4,3.1765,2.8498,4.034,1506.0,2.7731,24.03,499.6
2013-05-03 00:06:00,1.0236,48.73,1.5519,661.75,2407.0,0.988,86.41,1591.5,1.3077,124.77343700000002,149.75,92.825,0.010206999999999999,138.55,790.25,123.75,1739.2,1033.1,13940.0,13995.0,2903.5,935.6,1378.25,17.59,1.0705,408.0,110.328125,133.640625,166.0625,149.21875,14.65,732.0,14755.0,147.01,127.0,139.18,93.79,102.63,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.8,1472.3,3.1765,2.8498,4.034,1506.0,2.7731,24.04,499.6
2013-05-03 00:07:00,1.0235,48.73,1.552,661.75,2407.0,0.9879,86.41,1591.25,1.3076,124.77343700000002,149.75,92.825,0.010206999999999999,138.55,790.25,123.75,1739.2,1033.1,13945.0,13995.0,2903.5,935.6,1378.0,17.59,1.0705,408.0,110.328125,133.640625,166.0625,149.21875,14.65,732.0,14755.0,147.01,127.0,139.18,93.79,102.63,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.8,1472.3,3.176,2.8498,4.034,1506.0,2.7731,24.035,499.6
2013-05-03 00:08:00,1.0235,48.73,1.5519,661.75,2407.0,0.9879,86.41,1591.25,1.3076,124.77343700000002,149.75,92.825,0.010208,138.55,790.25,123.75,1739.2,1033.1,13945.0,13995.0,2903.25,935.6,1378.0,17.59,1.0705,408.0,110.328125,133.640625,166.0625,149.21875,14.65,732.0,14754.0,147.01,127.0,139.18,93.79,102.63,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.8,1472.3,3.176,2.8498,4.034,1506.0,2.7731,24.035,499.6
2013-05-03 00:09:00,1.0236,48.73,1.5519,661.75,2407.0,0.9879,86.41,1591.5,1.3076,124.77343700000002,149.75,92.825,0.010206999999999999,138.55,790.25,123.75,1739.2,1033.1,13945.0,13995.0,2903.75,935.6,1378.0,17.59,1.0705,408.0,110.328125,133.625,166.0625,149.21875,14.65,732.0,14757.0,147.01,127.0,139.18,93.79,102.63,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.8,1472.3,3.1755,2.8498,4.034,1506.0,2.7731,24.035,499.6
2013-05-03 00:10:00,1.0236,48.73,1.5519,661.75,2407.0,0.9879,86.41,1591.75,1.3077,124.77343700000002,149.75,92.825,0.010206999999999999,138.55,790.25,123.75,1739.2,1033.1,13945.0,13995.0,2903.75,935.6,1378.0,17.59,1.0705,408.0,110.328125,133.625,166.0625,149.21875,14.65,732.0,14756.0,147.01,127.0,139.18,93.79,102.63,2690.0,110.85,18.95,2.8509,2.7716,1973.0,140.19,102.63,1569.0,93.8,1472.2,3.176,2.8498,4.034,1506.0,2.7731,24.035,499.6
