,@3N#,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2009-08-07 00:01:00,111.265625,0.8353,36.68,1.677,328.0,2848.0,0.9288,60.8,993.0,1.4363,114.53906200000002,100.55,46.65,0.010492,134.3,526.0,88.75,10390.0,10380.0,1599.75,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.671875,116.234375,25.95,496.5,9212.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.52,964.1,2.719,1.9331,3.775,1254.0,2.0509,14.545,525.6
2009-08-07 00:02:00,111.265625,0.8353,36.68,1.677,328.0,2848.0,0.9288,60.8,993.0,1.4363,114.53906200000002,100.55,46.65,0.010492,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.65625,116.25,25.95,496.5,9212.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.5,964.1,2.719,1.9331,3.775,1254.0,2.0509,14.545,525.6
2009-08-07 00:03:00,111.265625,0.8355,36.68,1.677,328.0,2848.0,0.9288,60.8,992.75,1.4363,114.53906200000002,100.55,46.65,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.65625,116.21875,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.48,964.3,2.719,1.9331,3.775,1254.0,2.0509,14.54,525.6
2009-08-07 00:04:00,111.265625,0.8356,36.68,1.677,328.0,2848.0,0.9288,60.8,992.75,1.4367,114.53906200000002,100.55,46.65,0.010493,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9402,343.8,108.09375,115.65625,116.21875,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.54,964.3,2.719,1.9331,3.775,1254.0,2.0509,14.54,525.6
2009-08-07 00:05:00,111.265625,0.8356,36.68,1.677,328.0,2848.0,0.9288,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010493,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9402,343.8,108.09375,115.65625,116.21875,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.4,2.719,1.9331,3.7769999999999997,1254.0,2.0509,14.54,525.6
2009-08-07 00:06:00,111.265625,0.8356,36.68,1.6771,328.0,2848.0,0.9288,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010493,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.203125,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.52,964.5,2.7185,1.9332,3.7769999999999997,1254.0,2.0509,14.54,525.6
2009-08-07 00:07:00,111.265625,0.836,36.68,1.677,328.0,2848.0,0.9288,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010493,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.21875,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.54,964.5,2.7185,1.9332,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:08:00,111.265625,0.8358,36.68,1.677,328.0,2848.0,0.9288,60.8,993.0,1.4365,114.53906200000002,100.55,46.65,0.010493,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.21875,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.6,2.7185,1.9332,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:09:00,111.265625,0.8358,36.68,1.6772,328.0,2848.0,0.9288,60.8,992.75,1.4366,114.53906200000002,100.55,46.65,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.21875,25.95,496.5,9211.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.5,2.7205,1.9335,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:10:00,111.265625,0.8358,36.68,1.6771,328.0,2848.0,0.9287,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.21875,25.95,496.5,9214.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.5,2.719,1.9335,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:11:00,111.265625,0.8358,36.68,1.6772,328.0,2848.0,0.9287,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.21875,25.95,496.5,9213.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.6,2.7214,1.9335,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:12:00,111.265625,0.8358,36.68,1.6773,328.0,2848.0,0.9287,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.234375,25.95,496.5,9214.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.5,2.7214,1.9335,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:13:00,111.265625,0.8358,36.68,1.6774,328.0,2848.0,0.9285,60.8,993.0,1.4366,114.53906200000002,100.55,46.65,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.234375,25.95,496.5,9215.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.58,964.5,2.7214,1.9335,3.78,1254.0,2.0509,14.54,525.6
2009-08-07 00:14:00,111.265625,0.8358,36.68,1.6774,328.0,2848.0,0.9286,60.8,993.25,1.4366,114.53906200000002,100.55,46.65,0.010495,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.234375,25.95,496.5,9215.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.58,964.4,2.7214,1.9335,3.781,1254.0,2.0509,14.54,525.6
2009-08-07 00:15:00,111.265625,0.8358,36.68,1.6774,328.0,2848.0,0.9286,60.8,993.25,1.4366,114.546875,100.55,46.65,0.010495,134.3,526.0,88.75,10390.0,10380.0,1599.75,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.6875,116.25,25.95,496.5,9215.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.58,964.4,2.7214,1.9335,3.781,1254.0,2.0509,14.54,525.6
2009-08-07 00:16:00,111.265625,0.8359,36.68,1.6774,328.0,2848.0,0.9286,60.8,993.25,1.4367,114.55468700000002,100.55,46.6,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.75,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.6875,116.265625,25.95,496.5,9216.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.56,964.3,2.722,1.9335,3.781,1254.0,2.0509,14.54,525.6
2009-08-07 00:17:00,111.265625,0.8358,36.68,1.6774,328.0,2848.0,0.9286,60.8,993.25,1.4365,114.55468700000002,100.55,46.55,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.75,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.6875,116.265625,25.95,496.5,9215.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.56,964.3,2.722,1.9335,3.781,1254.0,2.0509,14.54,525.6
2009-08-07 00:18:00,111.265625,0.8358,36.68,1.6774,328.0,2848.0,0.9286,60.8,993.0,1.4365,114.55468700000002,100.55,46.55,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.6875,116.265625,25.95,496.5,9214.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.56,964.3,2.722,1.9335,3.781,1254.0,2.0509,14.545,525.6
2009-08-07 00:19:00,111.265625,0.8357,36.68,1.6775,328.0,2848.0,0.9286,60.8,993.25,1.4364,114.53906200000002,100.55,46.55,0.010494,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.671875,116.25,25.95,496.5,9214.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.56,964.1,2.7214,1.9335,3.781,1254.0,2.0509,14.545,525.6
2009-08-07 00:20:00,111.265625,0.8357,36.68,1.6775,328.0,2848.0,0.9286,60.8,993.25,1.4365,114.53906200000002,100.55,46.55,0.010495,134.3,526.0,88.75,10390.0,10380.0,1599.5,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.671875,116.25,25.95,496.5,9214.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.53,964.1,2.7214,1.9335,3.78,1254.0,2.0509,14.545,525.6
2009-08-07 00:21:00,111.265625,0.8357,36.68,1.6775,328.0,2848.0,0.9288,60.8,993.75,1.4365,114.53906200000002,100.55,46.55,0.010495,134.3,526.0,88.75,10390.0,10380.0,1600.0,429.1,556.8,1077.75,19.93,0.94,343.8,108.09375,115.671875,116.234375,25.95,496.5,9217.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.53,964.1,2.7245,1.9335,3.78,1254.0,2.0509,14.545,525.6
2009-08-07 00:22:00,111.265625,0.836,36.68,1.6779,327.75,2848.0,0.9289,60.8,993.75,1.4365,114.53906200000002,100.55,46.6,0.010494,134.3,526.0,88.75,10390.0,10380.0,1600.5,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.234375,25.95,496.5,9217.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.57,964.1,2.7245,1.9335,3.78,1254.0,2.0509,14.545,525.6
2009-08-07 00:23:00,111.265625,0.836,36.68,1.678,328.5,2848.0,0.9285,60.8,993.75,1.4365,114.53906200000002,100.55,46.6,0.010494,134.3,526.0,88.75,10390.0,10380.0,1600.25,429.1,556.8,1077.75,19.93,0.9401,343.8,108.09375,115.671875,116.234375,25.95,496.5,9217.0,121.24,115.23,97.88,71.54,74.5,2649.0,107.78,1.9381,2.0439,1494.0,74.47,1748.0,71.55,964.3,2.7245,1.9335,3.78,1254.0,2.0509,14.545,525.6
