,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@US#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,IHO#,IRB#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2008-07-03 00:01:00,0.9529,66.53,1.9806,749.5,3261.0,0.986,75.78,1263.5,1.5821,110.75,112.2,71.1,0.009468,155.5,891.0,104.4,13195.0,13230.0,1817.25,684.5,669.1,1617.25,14.06,0.9861,434.0,105.734375,114.203125,116.109375,875.0,11210.0,110.18,105.49,86.5,144.27,144.94,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.25,943.6,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:02:00,0.9529,66.53,1.9806,749.5,3261.0,0.986,75.78,1264.0,1.5822,110.765625,112.2,71.1,0.009468,155.5,891.0,104.4,13195.0,13230.0,1817.25,684.5,669.1,1617.25,14.06,0.986,434.0,105.734375,114.203125,116.125,875.0,11210.0,110.18,105.49,86.5,144.27,144.94,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.25,943.6,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:03:00,0.9529,66.5,1.9806,749.5,3261.0,0.986,75.78,1263.75,1.5823,110.75,112.2,71.1,0.009468,155.5,891.0,104.4,13195.0,13230.0,1817.25,684.5,669.1,1614.0,14.06,0.986,434.0,105.734375,114.203125,116.109375,872.0,11211.0,110.18,105.49,86.5,144.27,144.94,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.5,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:04:00,0.9529,66.5,1.9806,750.25,3261.0,0.9862,75.78,1264.0,1.5823,110.75,112.2,71.1,0.009468,155.5,891.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1614.5,14.06,0.986,433.3,105.734375,114.203125,116.109375,872.25,11214.0,110.18,105.49,86.5,144.27,144.94,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.5,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:05:00,0.9529,66.5,1.9806,750.25,3261.0,0.9862,75.78,1264.25,1.5823,110.75,112.2,71.1,0.009468,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1614.5,14.06,0.986,433.3,105.734375,114.203125,116.109375,872.0,11214.0,110.18,105.49,86.5,144.27,144.94,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.6,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:06:00,0.9529,66.5,1.9806,750.25,3261.0,0.9862,75.78,1264.0,1.5823,110.75,112.2,71.1,0.009468,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1614.5,14.06,0.986,433.3,105.734375,114.203125,116.109375,872.0,11211.0,110.18,105.49,86.5,144.27,144.94,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.8,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:07:00,0.9529,66.72,1.9806,752.0,3261.0,0.9862,75.78,1264.0,1.5822,110.75781200000002,112.2,71.1,0.009466,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1614.0,14.06,0.9861,433.1,105.734375,114.203125,116.109375,872.0,11211.0,110.18,105.49,86.5,144.27,144.9,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.21,943.7,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:08:00,0.9529,66.72,1.9806,752.5,3261.0,0.9862,75.78,1264.0,1.582,110.75781200000002,112.2,71.1,0.009465000000000001,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1617.0,14.06,0.9859,433.1,105.734375,114.203125,116.109375,872.0,11211.0,110.18,105.49,86.5,144.27,144.9,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.7,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:09:00,0.953,66.72,1.98,753.0,3261.0,0.9862,75.78,1264.0,1.5817,110.75781200000002,112.2,71.1,0.009465000000000001,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1617.75,14.06,0.9858,433.1,105.734375,114.21875,116.109375,874.5,11211.0,110.18,105.49,86.5,144.27,144.9,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.8,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:10:00,0.953,66.72,1.9802,753.0,3261.0,0.9862,75.78,1263.75,1.5818,110.75,112.2,71.1,0.009465000000000001,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1617.75,14.06,0.9858,433.1,105.734375,114.21875,116.109375,872.5,11210.0,110.18,105.49,86.5,144.27,144.9,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.8,4.0165,4.09,13.5,2073.1,3.5603,18.405,404.0
2008-07-03 00:11:00,0.953,66.72,1.9802,752.25,3261.0,0.9862,75.78,1264.0,1.5819,110.75781200000002,112.2,71.125,0.009465000000000001,155.5,890.0,104.4,13195.0,13230.0,1818.25,684.5,669.1,1617.75,14.06,0.9858,433.1,105.734375,114.21875,116.109375,872.5,11214.0,110.18,105.49,86.5,144.27,144.9,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.23,943.8,4.0165,4.09,13.5,2073.1,3.5603,18.39,404.0
2008-07-03 00:12:00,0.953,66.72,1.9802,750.75,3261.0,0.9862,75.78,1264.75,1.582,110.75,112.2,71.125,0.009465000000000001,155.5,890.0,104.4,13195.0,13230.0,1819.5,684.5,669.1,1618.0,14.06,0.9858,433.1,105.734375,114.203125,116.109375,872.5,11215.0,110.18,105.49,86.5,144.27,144.9,3297.0,102.205,41059.0,35510.0,146.08,1785.0,144.22,943.7,4.0165,4.09,13.5,2073.1,3.5603,18.385,404.0
