,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2015-11-06 00:01:00,0.7131,27.86,1.5206,374.5,3270.0,0.7592,62.09,2092.75,1.0888,119.25,171.925,55.425,0.008214,124.05,483.5,134.275,1753.6,859.6,19235.0,19260.0,4693.75,469.0,1186.4,865.75,14.85,1.0053,297.0,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17786.0,156.33,129.35,153.3,45.43,48.26,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.27,2227.0,45.45,1107.4,2.2635,1.4964,2.363,957.7,1.3724,15.0,397.0
2015-11-06 00:02:00,0.7131,27.86,1.5206,374.5,3270.0,0.7592,62.09,2092.75,1.0888,119.25,171.925,55.425,0.0082135,124.05,483.5,134.275,1753.6,859.6,19235.0,19265.0,4693.75,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17785.0,156.33,129.35,153.3,45.43,48.26,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.27,2227.0,45.45,1107.3,2.2635,1.4964,2.3609999999999998,957.7,1.3724,15.0,397.0
2015-11-06 00:03:00,0.713,27.86,1.5204,374.5,3270.0,0.7592,62.09,2092.75,1.0888,119.25,171.925,55.425,0.0082115,124.05,483.5,134.275,1753.6,859.6,19240.0,19275.0,4693.75,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17787.0,156.33,129.35,153.3,45.43,48.24,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.43,1107.3,2.263,1.4964,2.36,957.7,1.3724,15.0,397.0
2015-11-06 00:04:00,0.7128,27.86,1.5203,374.5,3270.0,0.7591,62.09,2092.75,1.0886,119.25,171.925,55.425,0.008212,124.05,483.5,134.275,1753.6,859.6,19245.0,19275.0,4694.0,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17787.0,156.33,129.35,153.3,45.43,48.24,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.43,1107.3,2.2625,1.4964,2.36,957.7,1.3724,15.0,397.0
2015-11-06 00:05:00,0.7129,27.86,1.5203,374.5,3270.0,0.7591,62.09,2092.75,1.0885,119.25,171.925,55.425,0.008212,124.05,483.5,134.275,1753.6,859.6,19245.0,19275.0,4693.75,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17787.0,156.33,129.35,153.3,45.43,48.24,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.44,1107.3,2.262,1.4964,2.36,957.7,1.3724,15.0,397.0
2015-11-06 00:06:00,0.7129,27.86,1.5203,374.5,3270.0,0.7591,62.09,2092.75,1.0885,119.25,171.925,55.425,0.008212,124.05,483.5,134.275,1753.6,859.6,19250.0,19280.0,4694.75,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17790.0,156.33,129.35,153.3,45.43,48.24,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.44,1107.4,2.263,1.4964,2.3609999999999998,957.8,1.3724,15.0,397.0
2015-11-06 00:07:00,0.7129,27.86,1.5202,374.5,3270.0,0.7591,62.09,2093.0,1.0885,119.25,171.925,55.425,0.0082105,124.05,483.5,134.275,1753.6,859.6,19250.0,19290.0,4695.75,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.2,522.25,17791.0,156.33,129.35,153.3,45.43,48.24,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.44,1107.4,2.263,1.4964,2.36,957.8,1.3724,15.0,397.0
2015-11-06 00:08:00,0.7129,27.86,1.5201,374.5,3270.0,0.7591,62.09,2093.25,1.0885,119.25,171.925,55.425,0.00821,124.05,483.5,134.275,1753.6,859.6,19275.0,19300.0,4696.5,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.15,522.25,17794.0,156.33,129.35,153.3,45.43,48.24,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.45,1107.3,2.263,1.4964,2.36,957.8,1.3724,15.0,397.0
2015-11-06 00:09:00,0.7128,27.86,1.5202,374.5,3270.0,0.7591,62.09,2093.25,1.0885,119.25,171.925,55.425,0.0082105,124.05,483.5,134.275,1753.6,859.6,19270.0,19300.0,4696.0,469.0,1186.4,865.5,14.85,1.0053,297.1,109.203125,126.96875,157.96875,154.4375,16.15,522.25,17792.0,156.33,129.35,153.3,45.43,48.25,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.25,2227.0,45.45,1107.3,2.263,1.4964,2.3609999999999998,957.8,1.3724,15.0,397.0
2015-11-06 00:10:00,0.7127,27.86,1.5201,374.5,3270.0,0.7591,62.09,2093.5,1.0885,119.25,171.925,55.425,0.0082105,124.05,483.5,134.275,1753.6,859.6,19275.0,19300.0,4696.0,469.0,1186.4,865.5,14.85,1.0052,297.1,109.203125,126.96875,157.96875,154.4375,16.15,522.25,17792.0,156.33,129.35,153.3,45.43,48.25,3446.0,111.49,22.0,455.25,1.5014,1.3917,1608.0,152.36,48.26,2227.0,45.45,1107.3,2.2625,1.4964,2.3609999999999998,957.8,1.3724,15.0,397.0
