,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2016-11-04 00:01:00,0.7673,34.99,1.2481,347.25,2637.0,0.74655,68.61,2085.25,1.1114,121.078125,118.375,46.475,0.009715999999999999,166.1,409.75,103.725,1634.7,883.1,16865.0,16890.0,4676.25,1155.9,985.75,21.51,1.0279,305.0,141.921875,109.15625,130.078125,175.78125,162.8125,19.55,411.0,17859.0,162.15,131.12,180.36,44.8,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.78,1299.6,2.243,1.4599,2.8110000000000004,996.0,1.4216,18.24,566.0
2016-11-04 00:02:00,0.7672,34.99,1.248,347.25,2637.0,0.7465,68.61,2085.0,1.11135,121.078125,118.375,46.475,0.0097145,166.1,409.75,103.725,1634.7,883.1,16865.0,16895.0,4676.25,1156.2,985.75,21.51,1.0279,305.0,141.921875,109.15625,130.078125,175.78125,162.8125,19.55,411.0,17860.0,162.15,131.12,180.36,44.8,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.78,1299.5,2.243,1.4599,2.8110000000000004,996.0,1.4216,18.24,566.0
2016-11-04 00:03:00,0.7672,34.99,1.248,347.25,2637.0,0.7465,68.61,2085.25,1.11135,121.078125,118.375,46.475,0.0097135,166.1,409.75,103.725,1634.7,883.1,16865.0,16895.0,4676.5,1156.2,985.75,21.51,1.0279,305.0,141.921875,109.15625,130.078125,175.78125,162.8125,19.55,411.0,17860.0,162.15,131.12,180.36,44.8,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.79,1299.5,2.2435,1.4599,2.8089999999999997,996.1,1.4216,18.255,566.0
2016-11-04 00:04:00,0.7672,34.99,1.248,347.25,2637.0,0.7465,68.61,2085.0,1.1113,121.078125,118.375,46.475,0.009715000000000001,166.1,409.75,103.725,1634.7,883.1,16865.0,16890.0,4677.0,1156.2,985.75,21.51,1.0279,305.0,141.921875,109.15625,130.0625,175.78125,162.84375,19.55,411.0,17859.0,162.15,131.12,180.36,44.8,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.8,1299.3,2.2435,1.4598,2.8089999999999997,996.2,1.4216,18.25,566.0
2016-11-04 00:05:00,0.7672,34.99,1.248,347.25,2637.0,0.7465,68.61,2085.0,1.11135,121.078125,118.375,46.475,0.009716500000000001,166.1,409.75,103.725,1634.7,883.1,16865.0,16890.0,4677.0,1156.2,985.75,21.51,1.0279,305.0,141.921875,109.15625,130.078125,175.78125,162.84375,19.55,411.0,17859.0,162.15,131.12,180.36,44.8,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.8,1299.4,2.2435,1.4598,2.8089999999999997,996.1,1.4216,18.25,566.0
2016-11-04 00:06:00,0.7673,34.99,1.2482,347.25,2637.0,0.7466,68.57,2085.0,1.11135,121.0859375,118.375,46.475,0.009719,166.1,409.75,103.725,1634.7,883.1,16860.0,16885.0,4676.5,1156.2,985.75,21.51,1.0279,305.0,141.9375,109.15625,130.078125,175.84375,162.84375,19.55,411.0,17857.0,162.15,131.12,180.36,44.8,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.8,1299.4,2.2435,1.4598,2.8080000000000003,996.2,1.4216,18.255,566.0
2016-11-04 00:07:00,0.7673,34.99,1.2482,347.25,2637.0,0.7466,68.57,2084.75,1.11135,121.0859375,118.375,46.475,0.0097185,166.1,409.75,103.725,1634.7,883.1,16860.0,16885.0,4676.0,1156.2,985.5,21.51,1.0279,305.0,141.9375,109.15625,130.078125,175.84375,162.84375,19.55,411.0,17857.0,162.15,131.12,180.36,44.81,46.49,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.79,1299.4,2.2435,1.4598,2.81,996.3,1.4216,18.255,566.0
2016-11-04 00:08:00,0.7673,34.99,1.2482,347.25,2637.0,0.7466,68.59,2085.0,1.11135,121.0859375,118.375,46.475,0.0097175,166.1,409.75,103.725,1634.7,883.1,16865.0,16890.0,4676.25,1156.2,985.75,21.51,1.0279,305.1,141.9375,109.15625,130.078125,175.84375,162.84375,19.55,411.0,17857.0,162.15,131.12,180.36,44.8,46.48,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.79,1299.4,2.2435,1.4598,2.8089999999999997,996.3,1.4216,18.255,566.0
2016-11-04 00:09:00,0.7673,34.99,1.248,347.25,2637.0,0.7466,68.59,2085.0,1.11135,121.0859375,118.375,46.475,0.009716500000000001,166.1,409.75,103.725,1634.7,883.1,16860.0,16890.0,4676.0,1156.2,985.75,21.51,1.0279,305.1,141.9375,109.15625,130.078125,175.84375,162.84375,19.55,411.0,17857.0,162.15,131.12,180.36,44.8,46.48,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.8,1299.6,2.2435,1.4598,2.8089999999999997,996.3,1.421,18.245,566.0
2016-11-04 00:10:00,0.7673,34.99,1.2481,347.25,2637.0,0.7466,68.59,2085.0,1.1113,121.0859375,118.375,46.475,0.009715000000000001,166.1,409.75,103.725,1634.7,883.1,16870.0,16900.0,4676.5,1156.2,986.25,21.51,1.0278,305.1,141.9375,109.15625,130.078125,175.84375,162.84375,19.55,411.0,17857.0,162.15,131.12,180.36,44.8,46.48,2966.0,111.985,24.25,424.75,1.4584,1.411,2215.0,156.19,46.49,2184.0,44.79,1299.4,2.2435,1.4598,2.8089999999999997,996.3,1.4209,18.24,566.0
