,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2020-11-06 00:01:00,116.44140630000001,0.7264,35.32,1.3128,15705.0,408.5,2331.0,0.76405,70.02,3479.25,1.18295,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.0,1166.3,24335.0,24345.0,11931.75,545.4,1646.5,1104.5,14.39,1.1078,387.7,158.6875,110.421875,138.921875,220.0,174.71875,28.5,607.25,28141.0,176.39,135.84,229.36,37.7,39.9,3185.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.9,1601.0,37.71,1938.7,3.1045,1.1433,2.929,893.6,1.0925,25.285,389.1
2020-11-06 00:02:00,116.44140630000001,0.7263,35.32,1.313,15705.0,408.5,2331.0,0.76405,70.02,3479.0,1.18295,125.8125,135.475,67.4,0.0096715,108.7,563.5,108.275,1911.0,1166.3,24335.0,24345.0,11930.5,545.4,1646.3,1104.5,14.39,1.1078,387.7,158.6875,110.421875,138.9375,220.0,174.71875,28.5,607.0,28141.0,176.38,135.84,229.36,37.7,39.9,3185.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.9,1601.0,37.71,1939.0,3.104,1.1429,2.926,893.6,1.0925,25.29,389.1
2020-11-06 00:03:00,116.44140630000001,0.7264,35.32,1.313,15685.0,408.5,2331.0,0.76405,70.02,3478.75,1.183,125.8125,135.475,67.4,0.0096715,108.7,563.5,108.275,1911.0,1166.5,24345.0,24345.0,11929.0,545.4,1646.2,1104.75,14.39,1.1077,387.7,158.6875,110.421875,138.9375,220.0,174.71875,28.5,607.25,28142.0,176.38,135.84,229.36,37.7,39.9,3186.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.91,1601.0,37.71,1938.7,3.104,1.1429,2.925,893.6,1.0925,25.3,389.1
2020-11-06 00:04:00,116.44140630000001,0.7264,35.32,1.3132,15685.0,408.75,2331.0,0.76405,70.02,3480.25,1.18305,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.0,1166.7,24350.0,24355.0,11937.25,545.4,1646.9,1105.0,14.39,1.1079,387.7,158.6875,110.421875,138.921875,220.0,174.71875,28.5,607.5,28149.0,176.38,135.84,229.36,37.7,39.9,3186.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.91,1601.0,37.72,1939.3,3.105,1.1434,2.924,893.6,1.0925,25.305,389.1
2020-11-06 00:05:00,116.44140630000001,0.7265,35.33,1.3132,15685.0,408.75,2331.0,0.7641,70.02,3480.75,1.183,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.0,1166.7,24350.0,24350.0,11934.5,545.4,1647.3,1105.0,14.39,1.1079,387.8,158.6875,110.421875,138.921875,220.0,174.71875,28.45,607.5,28157.0,176.38,135.84,229.36,37.7,39.86,3186.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.86,1601.0,37.68,1939.1,3.105,1.1422,2.923,893.6,1.0913,25.305,389.1
2020-11-06 00:06:00,116.44140630000001,0.7267,35.34,1.3132,15685.0,408.75,2331.0,0.76415,70.02,3480.5,1.1831,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.0,1166.7,24350.0,24350.0,11936.75,545.4,1647.2,1105.0,14.39,1.108,387.8,158.6875,110.421875,138.921875,220.0,174.71875,28.45,607.5,28151.0,176.38,135.84,229.36,37.7,39.86,3186.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.85,1601.0,37.69,1939.2,3.1045,1.1422,2.9219999999999997,894.9,1.0914,25.32,389.1
2020-11-06 00:07:00,116.44140630000001,0.7267,35.34,1.3132,15685.0,408.75,2331.0,0.7642,70.02,3481.5,1.1831,125.8125,135.475,67.4,0.009672499999999999,108.7,563.5,108.275,1911.0,1166.7,24355.0,24355.0,11940.0,545.4,1647.6,1105.0,14.39,1.108,387.9,158.6875,110.421875,138.9375,220.15625,174.78125,28.45,607.75,28155.0,176.4,135.84,229.36,37.7,39.86,3187.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.88,1601.0,37.69,1939.3,3.105,1.1429,2.9219999999999997,894.9,1.0916,25.32,389.1
2020-11-06 00:08:00,116.44140630000001,0.7267,35.36,1.3134,15680.0,409.25,2331.0,0.7642,70.02,3481.25,1.18315,125.8125,135.475,67.4,0.0096715,108.7,563.5,108.275,1911.0,1167.4,24355.0,24365.0,11940.0,545.4,1647.6,1105.0,14.39,1.108,387.9,158.6875,110.421875,138.9375,220.125,174.75,28.45,608.0,28153.0,176.39,135.84,229.36,37.73,39.88,3188.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.91,1601.0,37.71,1939.4,3.1055,1.1433,2.9219999999999997,894.9,1.0916,25.325,389.1
2020-11-06 00:09:00,116.44140630000001,0.7269,35.35,1.3134,15670.0,409.25,2331.0,0.7642,70.02,3481.5,1.1833,125.8125,135.475,67.4,0.0096715,108.7,563.5,108.275,1911.0,1167.4,24355.0,24365.0,11941.0,545.4,1648.0,1105.25,14.39,1.1081,387.9,158.6875,110.421875,138.921875,220.1875,174.78125,28.45,608.25,28156.0,176.39,135.84,229.36,37.71,39.88,3188.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.9,1601.0,37.7,1939.5,3.1055,1.1431,2.9210000000000003,894.9,1.0922,25.325,389.1
2020-11-06 00:10:00,116.44140630000001,0.7269,35.35,1.3134,15695.0,409.25,2331.0,0.7643,70.02,3482.75,1.1833,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.0,1167.4,24360.0,24365.0,11943.75,545.4,1648.6,1105.5,14.39,1.1081,387.9,158.6875,110.421875,138.921875,220.1875,174.78125,28.45,608.25,28166.0,176.39,135.84,229.36,37.71,39.89,3189.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.9,1601.0,37.71,1939.5,3.106,1.1431,2.9160000000000004,894.9,1.0922,25.325,389.1
2020-11-06 00:11:00,116.44140630000001,0.727,35.37,1.3134,15685.0,409.25,2331.0,0.76435,70.02,3483.25,1.1834,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.1,1168.1,24375.0,24385.0,11946.5,545.4,1648.8,1105.75,14.39,1.1082,388.0,158.671875,110.421875,138.921875,220.15625,174.78125,28.4,608.25,28170.0,176.38,135.84,229.36,37.71,39.88,3190.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.71,1939.7,3.106,1.1435,2.917,894.9,1.0922,25.34,389.1
2020-11-06 00:12:00,116.44140630000001,0.7271,35.37,1.3136,15680.0,409.25,2331.0,0.76435,70.02,3483.0,1.18345,125.8125,135.475,67.4,0.009672,108.7,563.5,108.275,1911.0,1168.1,24370.0,24385.0,11943.25,545.4,1648.8,1105.5,14.39,1.1082,387.8,158.671875,110.421875,138.921875,220.125,174.75,28.4,608.25,28165.0,176.38,135.84,229.36,37.71,39.89,3189.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.71,1940.0,3.1055,1.1435,2.915,896.2,1.0925,25.345,389.1
2020-11-06 00:13:00,116.44140630000001,0.727,35.35,1.3138,15685.0,409.25,2331.0,0.76435,70.02,3482.0,1.1835,125.8125,135.475,67.4,0.009674,108.7,563.5,108.275,1911.0,1167.9,24370.0,24375.0,11940.25,545.4,1648.4,1105.25,14.39,1.1082,387.9,158.671875,110.421875,138.921875,220.125,174.78125,28.45,608.25,28161.0,176.38,135.84,229.36,37.71,39.88,3188.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.7,1940.2,3.105,1.1433,2.9130000000000003,896.2,1.0925,25.35,389.1
2020-11-06 00:14:00,116.44140630000001,0.727,35.35,1.3137,15695.0,409.25,2331.0,0.76435,70.02,3481.5,1.18345,125.8125,135.475,67.4,0.0096745,108.7,563.5,108.275,1911.0,1167.9,24360.0,24365.0,11937.0,545.4,1648.2,1105.25,14.39,1.1082,388.1,158.671875,110.421875,138.921875,220.15625,174.75,28.4,608.0,28155.0,176.38,135.84,229.36,37.71,39.88,3187.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.71,1940.5,3.1035,1.1435,2.915,896.2,1.0925,25.365,389.1
2020-11-06 00:15:00,116.44140630000001,0.727,35.35,1.3137,15705.0,409.25,2331.0,0.7644,70.02,3481.5,1.18345,125.8125,135.475,67.4,0.009674,108.7,563.5,108.275,1911.1,1167.9,24360.0,24365.0,11938.75,545.4,1647.9,1105.25,14.39,1.1082,388.1,158.671875,110.421875,138.921875,220.125,174.78125,28.4,608.0,28157.0,176.38,135.84,229.36,37.71,39.9,3187.0,112.44,26.2,324.0,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.71,1941.0,3.1045,1.1435,2.9139999999999997,896.2,1.0925,25.375,389.1
2020-11-06 00:16:00,116.44140630000001,0.727,35.36,1.3138,15695.0,409.25,2331.0,0.7644,70.02,3482.5,1.1835,125.8125,135.475,67.4,0.0096735,108.7,563.5,108.275,1911.0,1168.1,24370.0,24375.0,11943.5,545.4,1648.2,1105.25,14.39,1.1082,388.1,158.671875,110.421875,138.9375,220.125,174.75,28.4,608.25,28167.0,176.38,135.84,229.36,37.71,39.89,3188.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.9,1601.0,37.73,1941.0,3.106,1.1435,2.917,897.4,1.0925,25.375,389.1
2020-11-06 00:17:00,116.44140630000001,0.7269,35.36,1.3137,15695.0,409.0,2331.0,0.7644,70.02,3483.0,1.18345,125.8125,135.475,67.4,0.009673000000000001,108.7,563.5,108.275,1911.0,1168.6,24380.0,24380.0,11944.25,545.4,1648.4,1105.25,14.39,1.1082,388.1,158.671875,110.421875,138.921875,220.09375,174.75,28.4,608.0,28170.0,176.38,135.84,229.36,37.71,39.88,3189.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.72,1941.8,3.1055,1.1435,2.917,897.5,1.0925,25.39,389.1
2020-11-06 00:18:00,116.44140630000001,0.7269,35.35,1.3136,15715.0,409.0,2331.0,0.7644,70.02,3482.5,1.18345,125.8125,135.475,67.4,0.0096735,108.7,563.5,108.275,1911.0,1168.6,24375.0,24385.0,11942.5,545.4,1648.1,1105.25,14.39,1.1083,388.0,158.671875,110.421875,138.9375,220.09375,174.75,28.4,608.0,28164.0,176.38,135.84,229.36,37.71,39.88,3189.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.72,1941.7,3.106,1.1434,2.918,897.3,1.0926,25.395,389.1
2020-11-06 00:19:00,116.44140630000001,0.7269,35.35,1.3136,15725.0,409.25,2331.0,0.7643,70.02,3481.5,1.1833,125.8125,135.475,67.4,0.009672499999999999,108.7,563.5,108.275,1911.0,1168.5,24370.0,24385.0,11938.0,545.4,1647.6,1105.0,14.39,1.1083,388.0,158.671875,110.421875,138.9375,220.09375,174.71875,28.4,608.25,28155.0,176.38,135.84,229.36,37.71,39.88,3188.0,112.44,26.2,323.75,1.1428,1.0916,1324.0,170.48,39.89,1601.0,37.7,1941.5,3.1055,1.143,2.9160000000000004,896.9,1.0926,25.385,389.1
