,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2015-01-09 00:01:00,0.8101,33.74,1.5086,393.25,3001.0,0.8449,60.38,2052.0,1.1813,119.71875,216.4,78.1,0.008383,178.75,603.25,163.675,1723.0,958.7,17195.0,17265.0,4230.75,463.4,1190.2,1044.0,14.86,0.9841,345.0,109.453125,128.15625,169.625,147.0,17.8,562.5,17797.0,156.43,130.3,158.26,49.22,51.24,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.16,1211.3,2.762,1.7189,2.977,1225.1,1.3471,16.38,390.4
2015-01-09 00:02:00,0.8103,33.74,1.5087,393.25,3001.0,0.8449,60.38,2051.75,1.1816,119.71875,216.4,78.1,0.008388,178.75,603.25,163.675,1723.0,958.7,17160.0,17230.0,4230.0,463.4,1190.2,1044.25,14.86,0.9844,345.0,109.453125,128.15625,169.625,147.0,17.8,562.5,17797.0,156.43,130.3,158.26,49.22,51.25,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.19,1211.5,2.762,1.7189,2.977,1225.1,1.3471,16.38,390.4
2015-01-09 00:03:00,0.8102,33.74,1.5087,393.25,3001.0,0.8449,60.38,2051.5,1.1815,119.71875,216.4,78.1,0.008387,178.75,603.25,163.675,1723.0,958.7,17160.0,17230.0,4229.75,463.4,1190.2,1044.0,14.86,0.9843,345.0,109.4609375,128.15625,169.625,147.03125,17.8,562.5,17797.0,156.43,130.3,158.26,49.22,51.26,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.19,1211.5,2.762,1.7189,2.977,1225.0,1.3471,16.38,390.4
2015-01-09 00:04:00,0.8101,33.74,1.5087,393.25,3001.0,0.8448,60.38,2051.25,1.1815,119.7109375,216.4,78.1,0.008387,178.75,603.25,163.675,1723.0,958.7,17145.0,17210.0,4228.75,463.4,1190.2,1044.0,14.86,0.9843,345.0,109.4609375,128.15625,169.625,147.03125,17.8,562.0,17794.0,156.43,130.3,158.26,49.22,51.23,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.18,1211.5,2.762,1.7189,2.977,1225.0,1.3471,16.38,390.4
2015-01-09 00:05:00,0.8104,33.74,1.509,393.25,3001.0,0.845,60.38,2051.25,1.1818,119.71875,216.4,78.1,0.008392,178.75,603.25,163.675,1723.0,958.7,17125.0,17195.0,4229.0,463.4,1190.2,1044.0,14.86,0.9844,345.0,109.4609375,128.171875,169.65625,147.03125,17.8,562.0,17794.0,156.43,130.3,158.26,49.22,51.27,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.18,1211.6,2.7615,1.7189,2.977,1225.2,1.3471,16.375,390.4
2015-01-09 00:06:00,0.8102,33.74,1.509,393.25,3001.0,0.8449,60.38,2051.5,1.1816,119.7109375,216.4,78.1,0.008389,178.75,603.25,163.675,1723.0,958.7,17145.0,17215.0,4229.75,463.4,1190.2,1044.0,14.86,0.9844,345.0,109.4609375,128.15625,169.65625,147.03125,17.8,562.0,17796.0,156.43,130.3,158.26,49.22,51.27,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.2,1211.6,2.762,1.7189,2.977,1225.2,1.3471,16.375,390.4
2015-01-09 00:07:00,0.8102,33.74,1.509,393.25,3001.0,0.8449,60.38,2051.5,1.1817,119.7109375,216.4,78.1,0.00839,178.75,603.25,163.675,1723.0,958.7,17140.0,17205.0,4229.5,463.4,1190.2,1044.0,14.86,0.9844,345.0,109.4609375,128.15625,169.65625,147.03125,17.8,562.0,17796.0,156.43,130.3,158.26,49.22,51.26,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.18,1211.5,2.7615,1.7189,2.977,1225.2,1.3471,16.38,390.4
2015-01-09 00:08:00,0.8104,33.74,1.5092,393.25,3001.0,0.8449,60.38,2051.5,1.1818,119.7109375,216.4,78.1,0.008392,178.75,603.25,163.675,1723.0,958.7,17150.0,17215.0,4229.5,463.4,1190.2,1044.0,14.86,0.9845,345.0,109.4609375,128.171875,169.65625,147.03125,17.8,562.0,17796.0,156.43,130.3,158.26,49.22,51.27,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.19,1211.6,2.7615,1.7189,2.9760000000000004,1225.2,1.3471,16.38,390.4
2015-01-09 00:09:00,0.8104,33.74,1.5092,393.0,3001.0,0.845,60.38,2051.5,1.1817,119.7109375,216.4,78.1,0.008391,178.75,603.25,163.675,1723.0,958.7,17135.0,17205.0,4229.5,463.4,1190.6,1044.0,14.86,0.9845,345.0,109.4609375,128.171875,169.65625,147.03125,17.8,562.0,17796.0,156.43,130.3,158.26,49.22,51.27,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.16,1211.5,2.761,1.7189,2.9760000000000004,1225.2,1.3471,16.38,390.4
2015-01-09 00:10:00,0.8102,33.74,1.5092,393.0,3001.0,0.845,60.38,2051.5,1.1816,119.7109375,216.4,78.1,0.00839,178.75,603.25,163.675,1723.0,958.7,17150.0,17220.0,4229.5,463.4,1190.8,1044.25,14.86,0.9844,345.0,109.4609375,128.171875,169.65625,147.03125,17.8,562.0,17797.0,156.43,130.3,158.26,49.22,51.27,3109.0,111.08,25.65,492.25,1.7075,1.3305,1970.0,147.55,51.18,2052.0,49.17,1211.6,2.7615,1.7189,2.978,1225.2,1.3471,16.38,390.4
