,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,IHO#,IRB#,LRC#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2013-09-06 00:01:00,0.9129,43.55,1.5611,462.0,2570.0,0.9537,82.3,1651.5,1.3134,118.35156200000002,158.3,89.25,0.010022,117.65,688.75,125.125,1743.3,948.1,13885.0,13990.0,3127.0,509.0,1025.4,1371.0,16.57,1.06,435.8,109.515625,122.296875,136.8125,128.5625,16.25,639.25,14898.0,136.53,122.39,121.6,108.39,115.21,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.36,1371.0,3.252,3.136,3.5610000000000004,1484.4,2.8315,23.275,486.2
2013-09-06 00:02:00,0.9129,43.55,1.5612,462.0,2570.0,0.9537,82.3,1651.5,1.3135,118.35156200000002,158.3,89.25,0.010022,117.65,688.75,125.125,1743.3,948.1,13890.0,13990.0,3127.0,509.0,1025.4,1371.0,16.57,1.06,435.8,109.515625,122.296875,136.8125,128.5625,16.25,639.25,14900.0,136.53,122.39,121.6,108.39,115.21,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.36,1371.1,3.252,3.136,3.5610000000000004,1484.4,2.8315,23.275,486.2
2013-09-06 00:03:00,0.9129,43.55,1.5612,462.0,2570.0,0.9537,82.3,1651.5,1.3135,118.35156200000002,158.3,89.25,0.010023,117.65,688.75,125.125,1743.3,948.1,13880.0,13990.0,3126.75,509.0,1025.4,1371.0,16.57,1.06,435.8,109.515625,122.28125,136.78125,128.53125,16.25,639.25,14900.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.36,1371.3,3.252,3.136,3.5610000000000004,1484.2,2.8315,23.285,486.2
2013-09-06 00:04:00,0.9128,43.55,1.5611,462.0,2570.0,0.9537,82.29,1651.5,1.3134,118.35156200000002,158.3,89.25,0.010023,117.65,688.75,125.125,1743.3,948.1,13880.0,13990.0,3126.75,509.0,1025.4,1371.0,16.57,1.06,435.8,109.515625,122.28125,136.78125,128.53125,16.25,639.25,14900.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.36,1371.2,3.2515,3.136,3.5610000000000004,1484.2,2.8315,23.28,486.2
2013-09-06 00:05:00,0.9128,43.55,1.5611,462.0,2570.0,0.9537,82.29,1651.5,1.3133,118.35156200000002,158.3,89.25,0.010023,117.65,688.75,125.125,1743.3,948.1,13880.0,13990.0,3126.75,509.0,1025.4,1371.0,16.57,1.06,435.8,109.515625,122.28125,136.78125,128.53125,16.25,639.25,14899.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.36,1371.2,3.2515,3.136,3.5610000000000004,1484.2,2.8315,23.285,486.2
2013-09-06 00:06:00,0.9128,43.55,1.5609,462.0,2570.0,0.9537,82.29,1651.5,1.3134,118.35156200000002,158.3,89.25,0.010022,117.65,688.75,125.125,1743.3,948.1,13885.0,13990.0,3126.75,509.0,1025.4,1371.0,16.57,1.06,435.8,109.515625,122.28125,136.75,128.53125,16.25,639.25,14899.0,136.53,122.39,121.6,108.39,115.26,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.37,1371.2,3.2515,3.136,3.5610000000000004,1484.2,2.8315,23.28,486.2
2013-09-06 00:07:00,0.9128,43.55,1.5609,462.0,2570.0,0.9537,82.26,1651.5,1.3133,118.34375,158.3,89.25,0.010022,117.65,688.75,125.125,1743.3,948.1,13890.0,13990.0,3126.5,509.0,1025.4,1371.0,16.57,1.0599,435.8,109.515625,122.28125,136.75,128.53125,16.25,639.25,14901.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.37,1371.3,3.252,3.136,3.5610000000000004,1484.2,2.8315,23.275,486.2
2013-09-06 00:08:00,0.9128,43.55,1.5609,462.0,2570.0,0.9537,82.26,1651.5,1.3133,118.328125,158.3,89.25,0.010022,117.65,688.75,125.125,1743.3,948.1,13885.0,13990.0,3126.75,509.0,1025.4,1371.0,16.57,1.0599,435.8,109.515625,122.234375,136.6875,128.46875,16.25,639.25,14900.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.39,1371.5,3.2515,3.136,3.5610000000000004,1484.2,2.8315,23.27,486.2
2013-09-06 00:09:00,0.9126,43.55,1.5609,462.0,2570.0,0.9537,82.26,1651.5,1.3133,118.328125,158.3,89.25,0.010014,117.65,688.75,125.125,1743.3,948.1,13915.0,13990.0,3126.75,509.0,1025.4,1371.0,16.57,1.0596,435.8,109.515625,122.25,136.65625,128.4375,16.25,639.25,14901.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.39,1371.2,3.2515,3.136,3.5610000000000004,1484.2,2.8315,23.27,486.2
2013-09-06 00:10:00,0.9126,43.55,1.5609,462.0,2570.0,0.9537,82.26,1651.75,1.3132,118.33593700000002,158.3,89.25,0.010014,117.65,688.75,125.125,1743.3,948.1,13920.0,13990.0,3127.25,509.0,1025.7,1371.0,16.57,1.0595,435.8,109.515625,122.25,136.6875,128.46875,16.25,639.25,14903.0,136.53,122.39,121.6,108.39,115.25,2766.0,110.035,21.9,3.1559,2.8407,1749.0,128.85,115.26,1714.0,108.39,1371.1,3.2515,3.136,3.562,1484.2,2.8315,23.275,486.2
