,@AD#,@BO#,@BP#,@C#,@CC#,@CD#,@CT#,@ES#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RS#,@RTY#,@S#,@SB#,@SF#,@SM#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,LRC#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2010-11-05 00:01:00,1.0104,52.25,1.6252,589.25,2785.0,0.9965,143.22,1216.75,1.419,122.171875,110.375,67.7,0.012372,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.0,548.5,731.3,1286.5,32.18,1.0432,348.9,109.97656200000002,127.703125,133.9375,131.3125,18.4,719.75,11388.0,130.54,120.52,117.9,87.08,88.7,2876.0,108.95,1970.0,87.85,1818.0,87.08,1389.6,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.54,782.9
2010-11-05 00:02:00,1.0106,52.25,1.6253,589.5,2785.0,0.9967,143.22,1216.75,1.4193,122.171875,110.375,67.7,0.012371,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.0,548.5,731.3,1286.5,32.18,1.0432,348.9,109.97656200000002,127.703125,133.9375,131.28125,18.4,719.75,11386.0,130.54,120.52,117.9,87.08,88.71,2876.0,108.95,1970.0,87.85,1818.0,87.09,1389.8,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.57,782.9
2010-11-05 00:03:00,1.0104,52.25,1.6253,589.5,2785.0,0.9966,143.0,1216.75,1.4191,122.16406200000002,110.375,67.7,0.012373,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.75,548.5,731.3,1286.5,32.18,1.0432,348.9,109.97656200000002,127.6875,133.9375,131.28125,18.4,719.75,11382.0,130.54,120.52,117.9,87.08,88.7,2876.0,108.95,1970.0,87.85,1818.0,87.1,1389.6,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.56,782.9
2010-11-05 00:04:00,1.0104,52.25,1.6254,589.5,2785.0,0.9965,143.1,1216.75,1.4193,122.16406200000002,110.375,67.7,0.012375,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.5,548.5,731.3,1286.5,32.18,1.0432,348.9,109.97656200000002,127.671875,133.9375,131.28125,18.4,719.75,11382.0,130.54,120.52,117.9,87.08,88.7,2876.0,108.95,1970.0,87.85,1818.0,87.06,1389.7,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.56,782.9
2010-11-05 00:05:00,1.0103,52.25,1.6256,589.5,2785.0,0.996,143.1,1216.5,1.4193,122.16406200000002,110.375,67.7,0.012376,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.5,548.5,731.3,1286.5,32.18,1.0431,348.9,109.97656200000002,127.671875,133.9375,131.28125,18.4,719.75,11380.0,130.54,120.52,117.9,87.08,88.7,2876.0,108.95,1970.0,87.85,1818.0,87.05,1389.7,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.53,782.9
2010-11-05 00:06:00,1.0103,52.21,1.6256,589.5,2785.0,0.996,143.1,1216.5,1.4194,122.15625,110.375,67.7,0.012378,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.5,548.5,731.3,1286.5,32.18,1.0431,348.9,109.97656200000002,127.671875,133.9375,131.28125,18.4,719.75,11381.0,130.54,120.52,117.9,87.08,88.69,2876.0,108.95,1970.0,87.85,1818.0,87.05,1389.4,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.535,782.9
2010-11-05 00:07:00,1.0103,52.21,1.6256,589.5,2785.0,0.9959,143.1,1216.75,1.4193,122.15625,110.375,67.7,0.012378,205.75,775.5,97.65,1675.4,1165.2,9635.0,9650.0,2180.5,548.5,731.3,1286.0,32.18,1.0431,348.9,109.97656200000002,127.65625,133.9375,131.28125,18.4,719.75,11382.0,130.54,120.52,117.9,87.08,88.69,2876.0,108.95,1970.0,87.85,1818.0,87.06,1389.5,3.985,2.3876,3.8680000000000003,1775.9,2.1893,26.54,782.9
2010-11-05 00:08:00,1.0103,52.21,1.6255,589.5,2785.0,0.9962,142.92,1216.5,1.4194,122.15625,110.375,67.7,0.012378,205.75,775.5,97.65,1675.4,1165.2,9630.0,9650.0,2180.5,548.5,731.3,1286.0,32.18,1.0431,348.9,109.97656200000002,127.65625,133.9375,131.21875,18.4,719.75,11380.0,130.54,120.52,117.9,87.08,88.69,2876.0,108.95,1970.0,87.85,1818.0,87.06,1389.3,3.9835,2.3876,3.8680000000000003,1774.0,2.1893,26.53,782.9
2010-11-05 00:09:00,1.0103,52.24,1.6255,589.5,2785.0,0.9962,142.92,1216.5,1.4193,122.16406200000002,110.375,67.7,0.012378,205.75,775.5,97.65,1675.4,1165.2,9630.0,9650.0,2180.25,548.5,731.0,1286.75,32.18,1.0431,348.9,109.97656200000002,127.671875,133.9375,131.25,18.4,719.75,11380.0,130.54,120.52,117.9,87.08,88.7,2876.0,108.95,1970.0,87.85,1818.0,87.06,1389.2,3.9835,2.3876,3.8680000000000003,1773.7,2.1893,26.56,782.9
2010-11-05 00:10:00,1.0103,52.24,1.6257,589.5,2785.0,0.9961,142.92,1216.5,1.4197,122.15625,110.375,67.7,0.012379000000000001,205.75,775.5,97.65,1675.4,1165.2,9630.0,9650.0,2180.25,548.5,731.0,1286.75,32.18,1.0435,348.9,109.97656200000002,127.671875,133.9375,131.21875,18.4,719.75,11380.0,130.54,120.52,117.9,87.08,88.7,2876.0,108.95,1970.0,87.85,1818.0,87.07,1389.2,3.9835,2.3876,3.8680000000000003,1773.2,2.1893,26.56,782.9
