,@3N#,@AD#,@BO#,@BP#,@BTC#,@C#,@CC#,@CD#,@CT#,@ES#,@ETH#,@EU#,@FV#,@GF#,@HE#,@JY#,@KC#,@KW#,@LE#,@MFS#,@MME#,@NIY#,@NKD#,@NQ#,@RTY#,@S#,@SB#,@SF#,@SM#,@TN#,@TU#,@TY#,@UB#,@US#,@VX#,@W#,@YM#,BD#,BL#,BX#,CRD#,EB#,EX#,EZ#,FVS#,GAS#,IHO#,IRB#,OAT#,QBZ#,QC#,QCL#,QGC#,QHG#,QHO#,QNG#,QPL#,QRB#,QSI#,QW#
2021-05-07 00:01:00,116.1796875,0.7778,65.23,1.391,55715.0,724.25,2411.0,0.822,90.74,4198.25,3450.5,1.20755,124.2109375,143.175,114.3,0.0091675,153.55,736.25,115.8,2302.5,1344.8,29375.0,29365.0,13630.75,2239.2,1585.5,17.67,1.1032,430.1,146.453125,110.39453125,132.609375,188.28125,158.5,19.8,760.75,34456.0,170.46,134.91,202.66,65.12,68.47,3997.0,112.095,20.0,552.5,2.0004,2.1201,160.77,68.48,1582.0,65.08,1820.7,4.648,1.9989,2.9330000000000003,1257.9,2.12,27.575,462.2
2021-05-07 00:02:00,116.1796875,0.77775,65.23,1.391,55715.0,724.25,2411.0,0.822,90.74,4198.0,3444.25,1.20755,124.2109375,143.175,114.3,0.009168,153.55,736.25,115.8,2302.5,1344.8,29365.0,29365.0,13629.0,2239.2,1585.5,17.67,1.1032,430.1,146.453125,110.39453125,132.609375,188.28125,158.5,19.8,760.75,34453.0,170.46,134.91,202.66,65.12,68.49,3997.0,112.095,20.0,552.5,2.0004,2.1201,160.77,68.48,1582.0,65.09,1820.8,4.648,1.9989,2.9330000000000003,1257.9,2.12,27.575,462.2
2021-05-07 00:03:00,116.1796875,0.77775,65.2,1.391,55590.0,724.0,2411.0,0.82195,90.74,4198.0,3437.0,1.20755,124.203125,143.175,114.3,0.009168,153.55,735.75,115.8,2302.5,1344.8,29360.0,29365.0,13629.0,2239.2,1584.25,17.67,1.1032,429.9,146.453125,110.39453125,132.609375,188.28125,158.5,19.8,760.25,34453.0,170.46,134.91,202.66,65.12,68.5,3996.0,112.095,20.0,552.5,2.0004,2.1201,160.77,68.48,1582.0,65.09,1820.7,4.6475,1.9989,2.9339999999999997,1257.9,2.12,27.57,462.2
2021-05-07 00:04:00,116.1796875,0.7777,65.2,1.3909,55590.0,723.75,2411.0,0.822,90.74,4198.0,3433.5,1.2076,124.2109375,143.175,114.3,0.0091685,153.55,735.75,115.8,2302.5,1344.8,29355.0,29370.0,13628.75,2239.0,1584.0,17.67,1.1032,429.9,146.453125,110.39453125,132.609375,188.28125,158.5,19.8,760.25,34452.0,170.46,134.91,202.66,65.12,68.5,3996.0,112.095,20.0,552.5,2.0004,2.1201,160.77,68.5,1582.0,65.11,1820.6,4.648,1.9989,2.9339999999999997,1257.3,2.12,27.56,462.2
2021-05-07 00:05:00,116.1796875,0.7778,65.18,1.391,55590.0,723.75,2411.0,0.822,90.72,4198.0,3423.5,1.20765,124.2109375,143.175,114.3,0.009169,153.55,735.75,115.8,2302.5,1344.8,29360.0,29375.0,13629.0,2238.9,1584.0,17.67,1.1032,429.9,146.453125,110.39453125,132.625,188.28125,158.46875,19.8,760.25,34451.0,170.46,134.91,202.66,65.12,68.51,3996.0,112.095,20.0,552.75,2.0004,2.1201,160.77,68.5,1582.0,65.12,1821.0,4.648,1.9995,2.9339999999999997,1258.1,2.12,27.58,462.2
2021-05-07 00:06:00,116.1796875,0.77785,65.21,1.391,55610.0,724.25,2411.0,0.82205,90.72,4198.0,3423.5,1.2077,124.2109375,143.175,114.3,0.009169,153.55,735.75,115.8,2302.5,1344.8,29355.0,29375.0,13628.0,2238.9,1584.25,17.67,1.1032,430.0,146.453125,110.39453125,132.625,188.28125,158.5,19.8,760.5,34453.0,170.46,134.91,202.66,65.12,68.52,3996.0,112.095,20.0,552.75,2.0004,2.1201,160.77,68.52,1582.0,65.13,1821.3,4.648,1.9995,2.9339999999999997,1258.0,2.12,27.58,462.2
2021-05-07 00:07:00,116.1796875,0.7778,65.22,1.391,55615.0,724.0,2411.0,0.82215,90.7,4197.0,3428.0,1.2077,124.2109375,143.175,114.3,0.009169,153.55,735.75,115.8,2302.5,1344.8,29340.0,29350.0,13624.75,2238.4,1584.5,17.67,1.1033,429.9,146.453125,110.39453125,132.625,188.28125,158.5,19.8,760.5,34448.0,170.46,134.91,202.66,65.12,68.51,3996.0,112.095,20.0,552.75,2.0004,2.1201,160.77,68.52,1582.0,65.12,1821.3,4.6485,1.9995,2.9339999999999997,1258.0,2.12,27.575,462.2
2021-05-07 00:08:00,116.1796875,0.7779,65.21,1.391,55480.0,724.25,2411.0,0.82215,90.7,4197.25,3389.0,1.20765,124.2109375,143.175,114.3,0.009169,153.55,735.75,115.8,2302.5,1344.8,29350.0,29360.0,13623.75,2238.5,1584.5,17.67,1.1033,430.0,146.453125,110.39453125,132.625,188.28125,158.5,19.8,760.75,34450.0,170.47,134.91,202.66,65.12,68.52,3996.0,112.095,20.0,552.75,2.0004,2.1201,160.77,68.52,1582.0,65.12,1821.5,4.648,1.9995,2.9339999999999997,1258.3,2.12,27.58,462.2
2021-05-07 00:09:00,116.1796875,0.77785,65.17,1.391,55480.0,724.0,2411.0,0.82215,90.7,4197.25,3392.25,1.20765,124.2109375,143.175,114.3,0.0091685,153.55,735.75,115.8,2302.5,1344.8,29350.0,29360.0,13625.0,2238.5,1584.0,17.67,1.1033,430.0,146.46875,110.39453125,132.609375,188.28125,158.5,19.8,760.75,34451.0,170.47,134.91,202.66,65.12,68.53,3996.0,112.095,20.0,552.75,2.0004,2.1201,160.77,68.52,1582.0,65.13,1821.4,4.648,1.9995,2.9339999999999997,1258.3,2.12,27.575,462.2
2021-05-07 00:10:00,116.1796875,0.77785,65.17,1.3909,55505.0,724.0,2411.0,0.82215,90.77,4197.5,3401.25,1.2076,124.2109375,143.175,114.3,0.0091685,153.55,735.75,115.8,2302.5,1344.8,29350.0,29360.0,13625.25,2238.8,1583.75,17.67,1.1033,430.0,146.46875,110.39453125,132.625,188.28125,158.5,19.8,760.75,34450.0,170.47,134.91,202.66,65.12,68.54,3996.0,112.095,20.0,553.25,2.0004,2.1201,160.77,68.52,1582.0,65.14,1821.3,4.6485,2.0004,2.9339999999999997,1258.6,2.1196,27.57,462.2
